location,local_map_area,role,source
constantinople,thrace_area,AD 395 Eastern Roman capital formation,OUP-EW;CAM-DYNASTY; current THR location converted by the strong historical current
adranos,marmara_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
ajdabiya,cyrenaica_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
akcasehir,pontus_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
akhisar,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
akhmim,upper_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
akkus,pontus_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
aksaray,central_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
aksehir,central_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
akyazi,pontus_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
al_bayda,cyrenaica_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
al_khuimat,cyrenaica_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
al_mima,lower_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
alaiye,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
alasehir,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
alexandria,lower_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
altinekin,central_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
altintas,central_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
amasra,pontus_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
amorgos,aegean_archipelago_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
andravida,morea_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
andritsaina,morea_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
andros,aegean_archipelago_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
angelokastron,northern_greece_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
ankara,central_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
antalya,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
arac,pontus_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
archar,bulgaria_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
argos,morea_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
argyrokastro,albania_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
arilje,serbia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
arta,northern_greece_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
ashmunayn,upper_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
aslanapa,marmara_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
astros,morea_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
aswan,upper_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
asyut,upper_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
atalanti,northern_greece_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
atfih,lower_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
athens,northern_greece_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
atpazari,marmara_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
avlonya,albania_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
ayasuluk,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
ayvacik,marmara_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
babadag,bulgaria_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
bafra,pontus_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
bahariyya,upper_egypt_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
balat,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
balikesir,marmara_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
ballsh,albania_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
balya,marmara_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
banaz,west_anatolia_area,AD 395 Eastern Roman transfer envelope,OUP-EW;CAM-DYNASTY; local M3 mesh proxy
