location,role,selection,source
anaa,capital,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
khurbe,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
ude_baikal,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
selenge,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
khudan,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
bureen,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
khilgo,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
ulenkhe,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
khimni,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
khilgoson,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
sulkhari,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
non,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
ung,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
gan,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
uur,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
zed,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
dobkuri,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
khatgal,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
zelterijin,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
kyakhta,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
tsokh,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
ulaamgom,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
delger_moron,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
menlu,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
eringiin,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
nuomin,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
tsagaan_usun,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
khadanzaa,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
alyanbulag,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
erzin,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
turuum,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
kuile,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
khan_khentii,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
altan_gadas,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
tarvagatai,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
dzaigil,territory,Northern reviewed XIO location slice with local raster-coordinate y below 1945.0,IRAN-XIO; local M3 coordinate index
