tag,name,region,evidence_class,emblem,color1,color2,color3,emblem_color1,emblem_color2,emblem_color3,position_x,position_y,scale_x,scale_y,source,confidence,note
ROM,Roman Empire,Rome,documented_material_motif,ce_eagle.dds,purple,yellow,purple,color2,color2,color1,0.5,0.46,0.70,0.75,P8.1;P20,contested,Period-inspired aquila-like UI emblem only; not a reconstruction of an Augustan state flag or a claim about a fixed vexillum design
JUD,Herodian Judea,Levant,regional_material_reconstruction,ce_palm_tree_simple.dds,yellow,red,white,color2,color3,color1,0.46,0.46,0.68,0.70,P8.1;OCD;P8.1;P20;P20,contested,"Period-inspired Levant material-motif composition for Herodian Judea; an explicitly marked regional UI reconstruction, not a historical flag."
GAL,Herodian Galilee-Peraea,Levant,regional_material_reconstruction,ce_pomegranate.dds,yellow,red,white,color2,color3,color1,0.50,0.46,0.68,0.70,P8.1;OCD;PLE;P8.1;P20;P20,contested,"Period-inspired Levant material-motif composition for Herodian Galilee-Peraea; an explicitly marked regional UI reconstruction, not a historical flag."
BAT,Herodian Batanea,Levant,regional_material_reconstruction,ce_eagle.dds,yellow,red,white,color2,color3,color1,0.54,0.46,0.68,0.70,P8.1;OCD;PLE;P8.1;P20;P20,contested,"Period-inspired Levant material-motif composition for Herodian Batanea; an explicitly marked regional UI reconstruction, not a historical flag."
NAB,Nabataea,Arabia,documented_material_motif,ce_eagle.dds,purple,yellow,black,color2,color2,color1,0.5,0.47,0.70,0.76,NABATAEA-MAP;P20,contested,Period-inspired Nabataean coin-and-cult eagle motif for UI differentiation only; not a reconstruction of a state flag
CAP,Cappadocia,Anatolia,regional_material_reconstruction,ce_eagle.dds,blue,yellow,white,color2,color3,color1,0.46,0.46,0.68,0.70,P8.1;OCD;PLE;P8.1;P20;P20,contested,"Period-inspired Anatolia material-motif composition for Cappadocia; an explicitly marked regional UI reconstruction, not a historical flag."
COM,Commagene,Anatolia,regional_material_reconstruction,ce_bull_head.dds,blue,yellow,white,color2,color3,color1,0.50,0.46,0.68,0.70,P8.1;OCD;PLE;P8.1;P20;P20,contested,"Period-inspired Anatolia material-motif composition for Commagene; an explicitly marked regional UI reconstruction, not a historical flag."
EME,Emesa,Levant,regional_material_reconstruction,ce_star_08.dds,yellow,red,white,color2,color3,color1,0.46,0.50,0.68,0.70,P8.1;OCD;PLE;P8.1;P20;P20,contested,"Period-inspired Levant material-motif composition for Emesa; an explicitly marked regional UI reconstruction, not a historical flag."
THR,Odrysian Thrace,Balkans,regional_material_reconstruction,ce_horse_salient.dds,purple,yellow,white,color2,color3,color1,0.46,0.46,0.68,0.70,P8.1;OCD;PLE;P8.1;P20;P20,contested,"Period-inspired Balkans material-motif composition for Odrysian Thrace; an explicitly marked regional UI reconstruction, not a historical flag."
BOS,Bosporan Kingdom,Pontic,regional_material_reconstruction,ce_horse_salient.dds,purple,yellow,white,color2,color3,color1,0.47,0.45,0.74,0.80,P8.1;OCD;PLE;P8.7;P20;P20,contested,"Period-inspired Pontic material-motif composition for Bosporan Kingdom; an explicitly marked regional UI reconstruction, not a historical flag. Exhaustive audit selected a distinct regional material motif to prevent an identical standard."
