region,emblem,color1,color2,color3,emblem_color1,emblem_color2,emblem_color3,position_x,position_y,scale_x,scale_y,source,confidence,note
Africa,ce_african_sun.dds,yellow,black,red,color1,color2,color3,0.5,0.5,0.82,0.82,P8.5;P20,contested,Regional UI sun motif only; not a reconstruction of any African standard.
Anatolia,ce_eagle.dds,blue,yellow,white,color2,color2,color3,0.5,0.47,0.72,0.78,P8.1;P20,contested,Regional UI eagle motif only; not a reconstruction of any Anatolian standard.
Andes,ce_andean_small_bird.dds,red,yellow,black,color2,color2,color3,0.5,0.5,0.84,0.84,P8.10;P20,contested,Regional UI bird motif only; not a reconstruction of any Andean standard.
Arabia,ce_star_08.dds,green,yellow,white,color2,color2,color3,0.5,0.5,0.78,0.78,P8.6;P20,contested,Regional UI geometric motif only; not a reconstruction of any Arabian standard.
Balkans,ce_annulet.dds,purple,yellow,white,color2,color2,color3,0.5,0.5,0.84,0.84,P8.1;P20,contested,Regional UI annulet motif only; not a reconstruction of any Balkan standard.
Baltic,ce_baltic_rosette_06.dds,green,white,yellow,color2,color2,color3,0.5,0.5,0.82,0.82,P8.7;P20,contested,Regional UI rosette motif only; not a reconstruction of any Baltic standard.
Britain,ce_boar_passant.dds,green,white,yellow,color2,color2,color3,0.5,0.52,0.82,0.70,P8.7;P20,contested,Regional UI boar motif only; not a reconstruction of any British standard.
Caribbean-Amazon,ce_taino_sun.dds,blue,white,yellow,color2,color2,color3,0.5,0.5,0.82,0.82,P8.10;P20,contested,Regional UI sun motif only; not a reconstruction of any Caribbean or Amazonian standard.
Caucasus,ce_horse_salient.dds,red,yellow,white,color2,color2,color3,0.5,0.5,0.83,0.83,P8.2;P20,contested,Regional UI horse motif only; not a reconstruction of any Caucasian standard.
Central Asia,ce_horse_salient.dds,red,yellow,black,color2,color2,color3,0.5,0.5,0.83,0.83,P8.8;P20,contested,Regional UI horse motif only; not a reconstruction of any Central Asian standard.
China,ce_chinese_rosette.dds,red,yellow,white,color2,color2,color3,0.5,0.5,0.78,0.78,P8.3;P20,contested,Regional UI rosette motif only; not a reconstruction of any Chinese standard.
Danube,ce_horse_salient.dds,green,yellow,white,color2,color2,color3,0.5,0.5,0.83,0.83,P8.7;P20,contested,Regional UI horse motif only; not a reconstruction of any Danubian standard.
Eastern Europe,ce_boar_passant.dds,blue,white,yellow,color2,color2,color3,0.5,0.52,0.82,0.70,P8.7;P20,contested,Regional UI boar motif only; not a reconstruction of any eastern-European standard.
Finland,ce_bear_passant.dds,blue,white,yellow,color2,color2,color3,0.5,0.52,0.82,0.70,P8.7;P20,contested,Regional UI bear motif only; not a reconstruction of any Finnic standard.
Germania,ce_boar_passant.dds,green,yellow,white,color2,color2,color3,0.5,0.52,0.82,0.70,P8.7;P20,contested,Regional UI boar motif only; not a reconstruction of any Germanic standard.
India,ce_auspicious_conch_shell_simple.dds,orange,yellow,red,color2,color2,color3,0.5,0.5,0.82,0.82,P8.4;P20,contested,Regional UI conch motif only; not a reconstruction of any Indian standard.
Iran,ce_horse_salient.dds,red,yellow,black,color2,color2,color3,0.5,0.5,0.83,0.83,P8.2;P20,contested,Regional UI horse motif only; not a reconstruction of any Iranian standard.
Ireland,ce_annulet.dds,green,white,yellow,color2,color2,color3,0.5,0.5,0.84,0.84,P8.7;P20,contested,Regional UI annulet motif only; not a reconstruction of any Irish standard.
Japan,ce_star_08.dds,red,white,yellow,color2,color2,color3,0.5,0.5,0.78,0.78,P8.3;P20,contested,Regional UI geometric motif only; not a reconstruction of any Japanese standard.
Korea,ce_star_08.dds,blue,white,yellow,color2,color2,color3,0.5,0.5,0.78,0.78,P8.3;P20,contested,Regional UI geometric motif only; not a reconstruction of any Korean standard.
Lanka,ce_lion_passant.dds,yellow,red,black,color2,color2,color3,0.5,0.52,0.82,0.70,P8.4;P20,contested,Regional UI lion motif only; not a reconstruction of any Lankan standard.
Levant,ce_star_08.dds,yellow,red,white,color2,color2,color3,0.5,0.5,0.78,0.78,P8.1;P20,contested,Regional UI geometric motif only; not a reconstruction of any Levantine standard.
Mesoamerica,ce_star_08.dds,green,yellow,red,color2,color2,color3,0.5,0.5,0.78,0.78,P8.10;P20,contested,Regional UI geometric motif only; not a reconstruction of any Mesoamerican standard.
Mesopotamia,ce_star_08.dds,red,yellow,black,color2,color2,color3,0.5,0.5,0.78,0.78,P8.2;P20,contested,Regional UI geometric motif only; not a reconstruction of any Mesopotamian standard.
North America,ce_annulet.dds,blue,white,yellow,color2,color2,color3,0.5,0.5,0.84,0.84,P8.10;P20,contested,Regional UI annulet motif only; not a reconstruction of any North American standard.
Northern Andes,ce_andean_small_bird.dds,red,yellow,black,color2,color2,color3,0.5,0.5,0.84,0.84,P8.10;P20,contested,Regional UI bird motif only; not a reconstruction of any northern-Andean standard.
Oceania,ce_annulet.dds,blue,white,yellow,color2,color2,color3,0.5,0.5,0.84,0.84,P8.9;P20,contested,Regional UI annulet motif only; not a reconstruction of any Oceanian standard.
Pontic,ce_horse_salient.dds,purple,yellow,white,color2,color2,color3,0.5,0.5,0.83,0.83,P8.7;P20,contested,Regional UI horse motif only; not a reconstruction of any Pontic standard.
Rome,ce_eagle.dds,purple,yellow,white,color2,color2,color3,0.5,0.47,0.72,0.78,P8.1;P20,contested,Regional UI eagle fallback only; the Rome direct standard takes precedence.
Scandinavia,ce_bear_passant.dds,blue,yellow,white,color2,color2,color3,0.5,0.52,0.82,0.70,P8.7;P20,contested,Regional UI bear motif only; not a reconstruction of any Scandinavian standard.
Southeast Asia,ce_auspicious_conch_shell_simple.dds,green,yellow,red,color2,color2,color3,0.5,0.5,0.82,0.82,P8.9;P20,contested,Regional UI conch motif only; not a reconstruction of any Southeast-Asian standard.
Steppe,ce_horse_salient.dds,blue,yellow,white,color2,color2,color3,0.5,0.5,0.83,0.83,P8.8;P20,contested,Regional UI horse motif only; not a reconstruction of any steppe standard.
Tarim,ce_chinese_rosette.dds,yellow,red,white,color1,color2,color3,0.5,0.5,0.78,0.78,P8.3;P20,contested,Regional UI rosette motif only; not a reconstruction of any Tarim standard.
West Africa,ce_african_sun.dds,yellow,black,red,color1,color2,color3,0.5,0.5,0.82,0.82,P8.5;P20,contested,Regional UI sun motif only; not a reconstruction of any West African standard.
