screen,layer,texture,sha256,zero_alpha_percent,opaque_alpha_percent,mean_alpha
ostia,0,loading_screen\gfx\loading_screen_assets\antq\layers\ostia_00.dds,7e951ff0b901bd5c85958b6922f669317aec0aa08ab9965dd8476dc1bd1f2dd7,0.000,100.000,255.000
ostia,1,loading_screen\gfx\loading_screen_assets\antq\layers\ostia_01.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
ostia,2,loading_screen\gfx\loading_screen_assets\antq\layers\ostia_02.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
ostia,3,loading_screen\gfx\loading_screen_assets\antq\layers\ostia_03.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
ostia,4,loading_screen\gfx\loading_screen_assets\antq\layers\ostia_04.dds,e4198d83cebbc9c549246bf4f71ee1170f81d135bf0d693adcf6e8a54b2f7f98,98.655,1.137,3.204
ostia,5,loading_screen\gfx\loading_screen_assets\antq\layers\ostia_05.dds,b4f0ec786b546dab99e87228209c6aaa0e533c73197e4328a63df2c7afe547e1,98.862,0.961,2.708
ostia,6,loading_screen\gfx\loading_screen_assets\antq\layers\ostia_06.dds,ce049c5a6465d2bd8ecbe29f7abcbe3785a1be8696a8921a3ed71925e0140be0,99.705,0.225,0.675
ostia,7,loading_screen\gfx\loading_screen_assets\antq\layers\ostia_07.dds,b6ca71a90b669e776393a07e5c62ca6d29e917ec47b7076e6cb3d4630362f186,99.218,0.604,1.802
forum,0,loading_screen\gfx\loading_screen_assets\antq\layers\forum_00.dds,822ba54048c243070a21c9fda7325da68b0c518562ef48da4595998750cb8f7f,0.000,100.000,255.000
forum,1,loading_screen\gfx\loading_screen_assets\antq\layers\forum_01.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
forum,2,loading_screen\gfx\loading_screen_assets\antq\layers\forum_02.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
forum,3,loading_screen\gfx\loading_screen_assets\antq\layers\forum_03.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
forum,4,loading_screen\gfx\loading_screen_assets\antq\layers\forum_04.dds,99882eb32ca9ebfe1ea2bcf43ee998ad6facabdddff2cab438996d07008cc89d,98.744,1.044,2.969
forum,5,loading_screen\gfx\loading_screen_assets\antq\layers\forum_05.dds,27034112e742ab376ac4771959da6abd78df970d95abcdcf1deb3b04d2b9e503,99.218,0.650,1.850
forum,6,loading_screen\gfx\loading_screen_assets\antq\layers\forum_06.dds,49c03460eb6c9a91e592a69653b58238ebcb7b7c652516e4edef836c538aa729,98.980,0.934,2.504
forum,7,loading_screen\gfx\loading_screen_assets\antq\layers\forum_07.dds,46e4ce0071501d0c56d567fd8ca7f8075aae3d9f3563876df68f231181450c65,99.627,0.341,0.913
alexandria,0,loading_screen\gfx\loading_screen_assets\antq\layers\alexandria_00.dds,9bad823a73fc6ab400e581e924b6231bd8d2dd0cd4a722bef14992bb292ddaeb,0.000,100.000,255.000
alexandria,1,loading_screen\gfx\loading_screen_assets\antq\layers\alexandria_01.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
alexandria,2,loading_screen\gfx\loading_screen_assets\antq\layers\alexandria_02.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
alexandria,3,loading_screen\gfx\loading_screen_assets\antq\layers\alexandria_03.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
alexandria,4,loading_screen\gfx\loading_screen_assets\antq\layers\alexandria_04.dds,a11096638e05cbdad24f0b133ab65d49bda634a6c9b6a3d93de7bee3ba99d507,98.950,0.733,2.328
alexandria,5,loading_screen\gfx\loading_screen_assets\antq\layers\alexandria_05.dds,2823f8d518755cc4e8373436c50d964c325cc1865251eeb4a4384e524d8663ae,98.959,0.825,2.417
alexandria,6,loading_screen\gfx\loading_screen_assets\antq\layers\alexandria_06.dds,2083af400959659a34a087af626e19087f0ac6284fb483086080f55f558e44d9,99.113,0.711,2.070
alexandria,7,loading_screen\gfx\loading_screen_assets\antq\layers\alexandria_07.dds,110aa2bfab61ed5c040492501acc40a3ccfa23dab871d8fcf634de8baf0b76a7,99.608,0.286,0.884
changan,0,loading_screen\gfx\loading_screen_assets\antq\layers\changan_00.dds,a3ddef48badf5aceec33b35a2620cfa645d36c5a71e85d827ce73c776c9ee110,0.000,100.000,255.000
changan,1,loading_screen\gfx\loading_screen_assets\antq\layers\changan_01.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
changan,2,loading_screen\gfx\loading_screen_assets\antq\layers\changan_02.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
changan,3,loading_screen\gfx\loading_screen_assets\antq\layers\changan_03.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
changan,4,loading_screen\gfx\loading_screen_assets\antq\layers\changan_04.dds,4bf498a004e9148cdb0b8bea61dd5c58611e0dfa45038e30542bf21d5e667042,99.060,0.820,2.263
changan,5,loading_screen\gfx\loading_screen_assets\antq\layers\changan_05.dds,9d25a77f6371b85ba19902f2c44146422b8aa2dbdf6f924e7116e8446c188873,98.870,0.884,2.610
changan,6,loading_screen\gfx\loading_screen_assets\antq\layers\changan_06.dds,20a30d9a4aa7b6152bc9861cc61bba03b376f9ac21a29c9e704e8fcd456342d1,98.936,0.876,2.506
changan,7,loading_screen\gfx\loading_screen_assets\antq\layers\changan_07.dds,629b7cade403f988ba7fd54f277703ffd2d31c1ceb13e82997f5cc88e6ea44f8,99.544,0.376,1.075
meroe,0,loading_screen\gfx\loading_screen_assets\antq\layers\meroe_00.dds,86e2add071eaf55b32b6c51af8ab782b0f74958e7db334302493d7725a4fcc14,0.000,100.000,255.000
meroe,1,loading_screen\gfx\loading_screen_assets\antq\layers\meroe_01.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
meroe,2,loading_screen\gfx\loading_screen_assets\antq\layers\meroe_02.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
meroe,3,loading_screen\gfx\loading_screen_assets\antq\layers\meroe_03.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
meroe,4,loading_screen\gfx\loading_screen_assets\antq\layers\meroe_04.dds,cbe7163d21924173d136db6e3e588705bb4c69707c55563ecb777baf31f456e1,98.794,1.058,2.914
meroe,5,loading_screen\gfx\loading_screen_assets\antq\layers\meroe_05.dds,ddc61189a3e2c64c8066dfe866dab62d1ed9e481d813870b8b180ec4ec2333e2,99.094,0.724,2.109
meroe,6,loading_screen\gfx\loading_screen_assets\antq\layers\meroe_06.dds,b92a20e751705e770637ae7f2ad67a5cef65a1966550b3d091f2bd31efcfef12,99.208,0.667,1.882
meroe,7,loading_screen\gfx\loading_screen_assets\antq\layers\meroe_07.dds,791e017b06569484db15446cdcdc7290231bc4e60d6eb6e8f88faa692104b86f,99.365,0.489,1.457
rhine,0,loading_screen\gfx\loading_screen_assets\antq\layers\rhine_00.dds,79065d3c49ff116b510bece746bd28548f563638c822ef340fa027b111e83709,0.000,100.000,255.000
rhine,1,loading_screen\gfx\loading_screen_assets\antq\layers\rhine_01.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
rhine,2,loading_screen\gfx\loading_screen_assets\antq\layers\rhine_02.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
rhine,3,loading_screen\gfx\loading_screen_assets\antq\layers\rhine_03.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
rhine,4,loading_screen\gfx\loading_screen_assets\antq\layers\rhine_04.dds,b0c91749c01d82d4c05a55546730dc465f1fa949fb0980431cf77cfc8776a55a,98.389,1.417,3.893
rhine,5,loading_screen\gfx\loading_screen_assets\antq\layers\rhine_05.dds,cc5184cfc58c34afb16da7c959bca759265af61884af4f1d077472ab75486b86,99.152,0.742,2.044
rhine,6,loading_screen\gfx\loading_screen_assets\antq\layers\rhine_06.dds,f4f3aaaabd18b67c1dc044999ee2e6d8d5b31839d96c7d83a2bbe867ac752e93,99.733,0.203,0.611
rhine,7,loading_screen\gfx\loading_screen_assets\antq\layers\rhine_07.dds,74cdc2031eee0545aa76227274f06cdb7745895b4081c4d1f68b92eabefafafb,99.129,0.637,1.970
teotihuacan,0,loading_screen\gfx\loading_screen_assets\antq\layers\teotihuacan_00.dds,f3e886962b1d9af5a9876877f02c8deae0a63147ea9c3bdeef46e1762bdd6b82,0.000,100.000,255.000
teotihuacan,1,loading_screen\gfx\loading_screen_assets\antq\layers\teotihuacan_01.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
teotihuacan,2,loading_screen\gfx\loading_screen_assets\antq\layers\teotihuacan_02.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
teotihuacan,3,loading_screen\gfx\loading_screen_assets\antq\layers\teotihuacan_03.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
teotihuacan,4,loading_screen\gfx\loading_screen_assets\antq\layers\teotihuacan_04.dds,8fc3da40c4be94c749ebfd03508c780759a3e91b68433c821e10a13a3c241ef8,98.854,0.923,2.678
teotihuacan,5,loading_screen\gfx\loading_screen_assets\antq\layers\teotihuacan_05.dds,50f93b5282f77377c3cfe8c3529d29e5d1168508bc859a37c65fbd324ef10224,99.191,0.712,1.958
teotihuacan,6,loading_screen\gfx\loading_screen_assets\antq\layers\teotihuacan_06.dds,0c561a1442daa672eb61bfae5ef33cd853d4361229067913e59e6e46d40c50c6,99.204,0.727,1.953
teotihuacan,7,loading_screen\gfx\loading_screen_assets\antq\layers\teotihuacan_07.dds,62017db02ca645db0ddb32b28673683496d14a28775203b3a6b649e33b472a83,99.339,0.584,1.601
campus_martius,0,loading_screen\gfx\loading_screen_assets\antq\layers\campus_martius_00.dds,da30c4e7a80f7bd3779abbca8539c07722386b6ca2c0a008cd34aa9b90f31469,0.000,100.000,255.000
campus_martius,1,loading_screen\gfx\loading_screen_assets\antq\layers\campus_martius_01.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
campus_martius,2,loading_screen\gfx\loading_screen_assets\antq\layers\campus_martius_02.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
campus_martius,3,loading_screen\gfx\loading_screen_assets\antq\layers\campus_martius_03.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
campus_martius,4,loading_screen\gfx\loading_screen_assets\antq\layers\campus_martius_04.dds,0b12b0e78960e3fc61e6b81f7a288d83a07d6a56f407ea2721fe514876a8c8ee,98.864,0.880,2.616
campus_martius,5,loading_screen\gfx\loading_screen_assets\antq\layers\campus_martius_05.dds,e1eb0d25e544311ef1589ac750c0c78a992cdc00eb1070e1097af595d29925b6,98.954,0.855,2.459
campus_martius,6,loading_screen\gfx\loading_screen_assets\antq\layers\campus_martius_06.dds,41351d9dc16a24914b5a0aae26c3b91551433eb8c742c90a31e74184de37a5de,98.704,1.121,3.114
campus_martius,7,loading_screen\gfx\loading_screen_assets\antq\layers\campus_martius_07.dds,349bac9892f0c0cb5289ab9a3471746b4c283d078a6f1c6634bc4fc54da7f244,99.836,0.121,0.370
arikamedu,0,loading_screen\gfx\loading_screen_assets\antq\layers\arikamedu_00.dds,e8715c59447de9955c6d75493a4cb0be33088df617f8580730482b118dcdcf0c,0.000,100.000,255.000
arikamedu,1,loading_screen\gfx\loading_screen_assets\antq\layers\arikamedu_01.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
arikamedu,2,loading_screen\gfx\loading_screen_assets\antq\layers\arikamedu_02.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
arikamedu,3,loading_screen\gfx\loading_screen_assets\antq\layers\arikamedu_03.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
arikamedu,4,loading_screen\gfx\loading_screen_assets\antq\layers\arikamedu_04.dds,aaef4b200f7d485b0ab7fdf8ddf30440ca6b990cee3d6956c3695d6cc93d95b9,99.034,0.846,2.330
arikamedu,5,loading_screen\gfx\loading_screen_assets\antq\layers\arikamedu_05.dds,9d72c5a9361cf5a076d14c0a5e187eb8a14d70df0543411a4c3c93731c62c078,98.411,1.307,3.745
arikamedu,6,loading_screen\gfx\loading_screen_assets\antq\layers\arikamedu_06.dds,4b2c31700d417b3772c5aa599066b1091c4c0ff39113e57ea970c165d84c5b9b,99.046,0.771,2.233
arikamedu,7,loading_screen\gfx\loading_screen_assets\antq\layers\arikamedu_07.dds,b2c9ad52945294470b97f3ccab6e2de69827245abb87e7283fa58bfaf53800c7,99.969,0.009,0.053
jenne,0,loading_screen\gfx\loading_screen_assets\antq\layers\jenne_00.dds,1109403b55674154d71fcf7a3ef4590d2a4c82bebf6e465e3cb414d22d9e3794,0.000,100.000,255.000
jenne,1,loading_screen\gfx\loading_screen_assets\antq\layers\jenne_01.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
jenne,2,loading_screen\gfx\loading_screen_assets\antq\layers\jenne_02.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
jenne,3,loading_screen\gfx\loading_screen_assets\antq\layers\jenne_03.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
jenne,4,loading_screen\gfx\loading_screen_assets\antq\layers\jenne_04.dds,4725760430514d847fef13179d11afcc6bcc9e3df8ae1f10d460c3648f2cd914,99.029,0.756,2.238
jenne,5,loading_screen\gfx\loading_screen_assets\antq\layers\jenne_05.dds,9e8dc1fa289d1ad576874564e2a07550f17ecc8ab80dc39340db5395ae34d686,98.859,0.920,2.669
jenne,6,loading_screen\gfx\loading_screen_assets\antq\layers\jenne_06.dds,2f43ef74cf728b3d7b3416d609661126cf6151bdaaebe7889fe033a0dd607ec1,99.028,0.763,2.253
jenne,7,loading_screen\gfx\loading_screen_assets\antq\layers\jenne_07.dds,bd4a880a02f757bc4146579a091ad749fbce62ad0329b23c01dedbdcaa35f8d7,99.325,0.530,1.562
monte_alban,0,loading_screen\gfx\loading_screen_assets\antq\layers\monte_alban_00.dds,3d77a4bfae75d5842e22f5351777d465ddc9dfaab03c75f0c3e51d85b562e63f,0.000,100.000,255.000
monte_alban,1,loading_screen\gfx\loading_screen_assets\antq\layers\monte_alban_01.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
monte_alban,2,loading_screen\gfx\loading_screen_assets\antq\layers\monte_alban_02.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
monte_alban,3,loading_screen\gfx\loading_screen_assets\antq\layers\monte_alban_03.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
monte_alban,4,loading_screen\gfx\loading_screen_assets\antq\layers\monte_alban_04.dds,eeff4ab19a6b165783bb3e0a94f2e0d035363838b4ed6ebdf51b6f2b3db56402,98.777,1.002,2.877
monte_alban,5,loading_screen\gfx\loading_screen_assets\antq\layers\monte_alban_05.dds,8b417a90b41c5fedad43075d6ecace9727d3a82119d414b5a7d2309f904d14c6,99.445,0.470,1.323
monte_alban,6,loading_screen\gfx\loading_screen_assets\antq\layers\monte_alban_06.dds,9861b7799606d094223bb6c92ea1fc7c7a784c8290a1b348cc1dc56b64227a1d,99.300,0.593,1.668
monte_alban,7,loading_screen\gfx\loading_screen_assets\antq\layers\monte_alban_07.dds,00be1591eb0246704d5f2771b30069a43aea6b6e9bf76aaf811363a40dfd93e6,98.956,0.932,2.539
palmyra,0,loading_screen\gfx\loading_screen_assets\antq\layers\palmyra_00.dds,a5f3183655d9532cbb0be3ec47adc568c8105e7a6b55935edcc98cf35ee4acdd,0.000,100.000,255.000
palmyra,1,loading_screen\gfx\loading_screen_assets\antq\layers\palmyra_01.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
palmyra,2,loading_screen\gfx\loading_screen_assets\antq\layers\palmyra_02.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
palmyra,3,loading_screen\gfx\loading_screen_assets\antq\layers\palmyra_03.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
palmyra,4,loading_screen\gfx\loading_screen_assets\antq\layers\palmyra_04.dds,761dbf9e5dc7aff0e9481f38c0995e9052453b02933dbf3018320c05afcfaa2f,99.112,0.704,2.057
palmyra,5,loading_screen\gfx\loading_screen_assets\antq\layers\palmyra_05.dds,7540f66652c73de83dc3ff10bb8a9ba5208d8e7aecfecb11a816677b0c11a5b8,99.164,0.715,1.999
palmyra,6,loading_screen\gfx\loading_screen_assets\antq\layers\palmyra_06.dds,92baf942d0b89f8828f7d5f6e4f6954a58d203b220508266f8d4e2d7414fe3ab,99.099,0.700,2.077
palmyra,7,loading_screen\gfx\loading_screen_assets\antq\layers\palmyra_07.dds,0b4bc994aa061f4a57a76a9771eed226f82dce8dd605bf5ec92a4dbc260baea4,99.394,0.521,1.453
pompeii,0,loading_screen\gfx\loading_screen_assets\antq\layers\pompeii_00.dds,55dc23a73eadaa5eaae15e90cc32124fb8dcc55fa8b78e83d5afd63388b8149e,0.000,100.000,255.000
pompeii,1,loading_screen\gfx\loading_screen_assets\antq\layers\pompeii_01.dds,694389d32614ccaf3135a8d48ecfa87b86491d89578628dc3491a6b30dd75235,100.000,0.000,0.000
