design_tag,engine_tag,name,map_capital,location_count,culture,religion,government_type,reform,seeded_locations,placements,emblem,source,confidence
VCS,VCS,Vicus,apurlec,2,antq_vicus,antq_andean,tribe,antq_andean_irrigated_valley_network,2,4,ce_andean_small_double_headed_feline.dds,MET-VICUS;CWP-ANDES;P8.10,contested
VIR,VIR,Gallinazo,chan_chan,6,antq_gallinazo,antq_andean,tribe,antq_andean_irrigated_valley_network,4,4,ce_andean_chimu_bird_disk.dds,PNAS-VIR;WIL-GAL;CWP-ANDES;P8.10,contested
NAZ,NAZ,Nazca,cahuachi,4,antq_nazca,antq_andean,tribe,antq_andean_ceremonial_centre_network,2,3,ce_andean_small_tocapu_03.dds,CAM-NASCA-EIP;CWP-ANDES;MET-ANDES-1500;P8.10,secure
LIM,XCW,Lima Culture,rimaq,8,antq_lima_central_coast,antq_andean,tribe,antq_andean_irrigated_valley_network,4,4,ce_andean_small_fish_double.dds,MET-ANDES-1500;CWP-ANDES;P8.10,contested
ATC,XDI,Atico-Caraveli Valley,atico,4,antq_atico_caraveli,antq_andean,tribe,antq_andean_irrigated_valley_network,4,4,ce_andean_chango_bird.dds,CWP-ANDES;MET-ANDES-1500;P8.10,contested
CBA,XDL,Cusco Basin,qusqu,9,antq_cusco_late_formative,antq_andean,tribe,antq_andean_highland_community_network,4,4,ce_andean_small_cross_cusco.dds,CUSCO-FORMATIVE;CWP-ANDES;P8.10,contested
REC,REC,Recuay,waricoto,1,antq_recuay,antq_andean,tribe,antq_andean_highland_community_network,1,2,ce_andean_cross_chavin.dds,MET-ANDES-1500;CWP-ANDES;P8.10,contested
HUA,XHJ,Huarpa,huaman_karpa,14,antq_huarpa,antq_andean,tribe,antq_andean_highland_community_network,4,4,ce_andean_cross_huari.dds,ANT-HUARPA;MET-ANDES-1500;CWP-ANDES;P8.10,secure
PUK,XHK,Pukara,ayaviri,10,antq_pukara,antq_andean,tribe,antq_andean_ceremonial_centre_network,3,7,ce_andean_twin_deities.dds,CWP-ANDES;MET-ANDES-1500;P8.10,secure
TIW,TIW,Early Tiwanaku,tiwanaku,7,antq_tiwanaku,antq_andean,tribe,antq_andean_ceremonial_centre_network,3,7,ce_andean_cross_tiwanaku.dds,CWP-ANDES;MET-ANDES-1500;P8.10,secure
WNK,WNK,Wankarani,oruro,8,antq_wankarani,antq_andean,tribe,antq_wankarani_mound_village_network,4,4,ce_andean_small_puma.dds,JFA-WANK;LAA-WANK;CWP-ANDES;P8.10,secure
MRH,XHL,Cajamarca-Marcahuamachuco,markahuamachuco,6,antq_cajamarca_marcahuamachuco,antq_andean,tribe,antq_andean_highland_community_network,4,4,ce_andean_small_mask.dds,CWP-ANDES;MET-ANDES-1500;P8.10,contested
UTC,UTC,Upper Utcubamba,karajia,7,antq_upper_utcubamba,antq_andean,tribe,antq_andean_highland_community_network,4,4,ce_andean_small_bird_03.dds,CWP-ANDES;P8.10,contested
YUN,YUN,Eastern Yunga Valley Networks,incarraqay,6,antq_eastern_yunga,antq_andean,tribe,antq_andean_highland_community_network,4,4,ce_andean_small_double_spiral.dds,CWP-ANDES;P8.10,contested
MYB,MYB,Moyobamba Foothill,moyobamba,3,antq_moyobamba_foothill,antq_andean,tribe,antq_andean_highland_community_network,3,4,ce_andean_small_bird_02.dds,CWP-ANDES;P8.10,contested
