design_tag,engine_tag,name,kind,map_capital,location_count,culture,religion,government_type,reform,emblem,source,confidence
NAB,NAB,Nabataea,subject,shoubak,35,antq_nabataean_arab,antq_arabian_polytheism,monarchy,antq_client_monarchy,ce_eagle.dds,P8.1;OCD;PLE,secure
SAB,XBI,Saba,country,marib,25,antq_south_arabian,antq_south_arabian_religion,monarchy,antq_regional_kingship,ce_ibex_goat_passant.dds,P8.6;CAH-XI,secure
HIM,HIM,Himyar,country,dhafar,35,antq_south_arabian,antq_south_arabian_religion,monarchy,antq_regional_kingship,ce_bull_head.dds,P8.6;CAH-XI;PLE,secure
QAT,QAT,Qataban,country,bayhan,9,antq_south_arabian,antq_south_arabian_religion,monarchy,antq_regional_kingship,ce_ibex_ram_horn_shield.dds,P8.6;CAH-XI,secure
HAD,XBJ,Hadramawt,country,shabwa,24,antq_south_arabian,antq_south_arabian_religion,monarchy,antq_regional_kingship,ce_crescent_moon.dds,P8.6;CAH-XI,secure
KIN,KIN,Kindah,sop,aqiq_banu_uqayi,44,antq_arab,antq_arabian_polytheism,tribe,antq_tribal_kingdom,ce_horse_salient.dds,P8.6;CAH-XI;PLE,secure
THM,XEQ,Thamud,sop,khaybar,45,antq_arab,antq_arabian_polytheism,tribe,antq_tribal_kingdom,ce_ibex_segreant.dds,PLN-ARAB;STR-ARAB;THAMUD-EPIG,contested
AGR,AGR,Agraeans,sop,dumat_al_jandal,30,antq_arab,antq_arabian_polytheism,tribe,antq_tribal_kingdom,ce_bow_arrows_03.dds,STR-ARAB;PLN-ARAB,contested
GRH,GRH,Gerrha,country,al_ahsa,13,antq_arab,antq_arabian_polytheism,monarchy,antq_regional_kingship,ce_bull_head_ringed.dds,OCD-GERRHA;THAJ-ARCH;PLN-ARAB,contested
QTR,XER,Cataraei,sop,al_bidda,15,antq_arab,antq_arabian_polytheism,tribe,antq_tribal_kingdom,ce_star_08.dds,PLN-ARAB;PTO-ARAB,contested
OMN,OMN,Omanitae,sop,suhar,21,antq_arab,antq_arabian_polytheism,tribe,antq_tribal_kingdom,ce_african_ram_horns.dds,PLN-ARAB;PLE,contested
BED,BED,Chaulotaeans,sop,fayd,56,antq_arab,antq_arabian_polytheism,tribe,antq_tribal_kingdom,ce_bow_arrow.dds,STR-ARAB;P8.6,contested
