design_tag,engine_tag,name,region,kind,map_capital,location_count,culture,religion,government_type,reform,emblem,source,confidence
CAT,XBV,Catuvellauni,Britain,country,st_albans,12,antq_catuvellaunian,antq_celtic_religion,tribe,antq_catuvellaunian_oppidum_kingship,ce_horse_salient.dds,P8.7;CAH-XI;PTO-GEO-II2,secure
TRI,XBW,Trinovantes,Britain,country,colchester,6,antq_trinovantian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_horse_head.dds,P8.7;CAH-XI;PLE;PTO-GEO-II2,secure
ICE,XBX,Iceni,Britain,country,norwich,13,antq_icenian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_boar_passant.dds,P8.7;CAH-XI;PLE;PTO-GEO-II2,secure
BRI,XBY,Brigantes,Britain,country,ripon,22,antq_brigantian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_cartwheel.dds,P8.7;CAH-XI;PLE;PTO-GEO-II2,secure
ATB,XBZ,Atrebates,Britain,country,basingstoke,10,antq_british_atrebatic,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_horse_courant.dds,P8.7;CAH-XI;PLE;PTO-GEO-II2,secure
SIL,XCA,Silures,Britain,country,monmouth,9,antq_silurian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_spear_head_byzantine.dds,P8.7;CAH-XI;PLE;PTO-GEO-II2,contested
ORD,XCB,Ordovices,Britain,country,carnarvon,9,antq_ordovician,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_stag_head_antlers_embowed.dds,P8.7;CAH-XI;PTO-GEO-II2,contested
DUM,DUM,Dumnonii,Britain,country,exeter,11,antq_dumnonian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_spiral.dds,P8.7;CAH-XI;PTO-GEO-II2,contested
BRT,XDJ,Cantiaci,Britain,sop,canterbury,5,antq_cantiacian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_boar_head.dds,P8.7;PTO-GEO-II2,contested
REG,XES,Regni,Britain,sop,chichester,7,antq_regnian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_deer_kneeling.dds,P8.7;PTO-GEO-II2,contested
BLG,XET,Belgae,Britain,sop,salisbury,6,antq_british_belgic,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_horse_heads_addorsed.dds,P8.7;PTO-GEO-II2,contested
DUR,XEU,Durotriges,Britain,sop,dorchester,4,antq_durotrigian,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_bull_head.dds,P8.7;PTO-GEO-II2,contested
DOB,DOB,Dobunni,Britain,sop,cirencester,15,antq_dobunnic,antq_celtic_religion,tribe,antq_tribal_kingdom,ce_horse_trippant.dds,P8.7;PTO-GEO-II2,contested
