design_tag,engine_tag,name,map_capital,location_count,culture,religion,government_type,reform,emblem,source,confidence
PRZ,XEC,Greater-Poland Przeworsk Group,gniezno,35,antq_przeworsk,antq_baltic_slavic,tribe,antq_tribal_kingdom,ce_spear_head_random_small.dds,UW-PRZEWORSK;P8.7,contested
LPR,LPR,Lesser-Poland Przeworsk Group,krakow,40,antq_przeworsk,antq_baltic_slavic,tribe,antq_tribal_kingdom,ce_horse_heads_addorsed.dds,UW-PRZEWORSK;PAN-LPR;P8.7,contested
ILM,ILM,Msta-Ilmen Late Dyakovo Horizon,borovichi,49,antq_late_dyakovo_north,antq_finnic,tribe,antq_tribal_kingdom,ce_deer_kneeling.dds,RA-DYAKOVO-UPPER;GERMANIA-NEVA,contested
PLH,PLH,Pskov-Luga Striated Pottery Group,pskov,51,antq_striated_pottery_north,antq_finnic,tribe,antq_tribal_kingdom,ce_spiral.dds,GERMANIA-NEVA,contested
BLF,BLF,Beloe-Mologa Late Dyakovo Horizon,beloozero,33,antq_late_dyakovo_north,antq_finnic,tribe,antq_tribal_kingdom,ce_fish_okeane.dds,RA-DYAKOVO-UPPER,contested
MOK,MOK,Moskva-Oka Late Dyakovo Culture,kaluga,59,antq_late_dyakovo,antq_finnic,tribe,antq_tribal_kingdom,ce_stag_head_shield.dds,RAS-DYAKOVO;RA-DYAKOVO-UPPER,contested
UVF,UVF,Nizhny-Novgorod Gorodets Group,gorodets,31,antq_gorodets,antq_finnic,tribe,antq_tribal_kingdom,ce_boar_passant_mane.dds,BSE-GORODETS,contested
UVD,UVD,Upper Volga Late Dyakovo Horizon,tver,47,antq_late_dyakovo,antq_finnic,tribe,antq_tribal_kingdom,ce_spiral_star_06.dds,RA-DYAKOVO-UPPER,contested
KLY,KLY,Klyazma Late Dyakovo Horizon,vladimir,31,antq_late_dyakovo,antq_finnic,tribe,antq_tribal_kingdom,ce_cartwheel.dds,RA-DYAKOVO-UPPER,contested
WHT,WHT,Late Kargopol Culture,kargopol,29,antq_late_kargopol,antq_finnic,tribe,antq_tribal_kingdom,ce_fish_okeane.dds,ENC-NEEU,contested
MZN,XFJ,Late Belomorye Culture,arkhangelsk,7,antq_late_belomorye,antq_finnic,tribe,antq_tribal_kingdom,ce_crescent_moon_02.dds,ENC-NEEU,contested
VYG,VYG,Pidzh Culture,yarensk,27,antq_pidzh,antq_finnic,tribe,antq_tribal_kingdom,ce_spiral.dds,ENC-NEEU,contested
MRV,XED,Sura-Volga Gorodets Culture,alatyr,43,antq_gorodets,antq_finnic,tribe,antq_tribal_kingdom,ce_boar_passant_mane.dds,BSE-GORODETS,contested
TGD,TGD,Tsna-Upper Don Gorodets Horizon,tambov,41,antq_gorodets,antq_finnic,tribe,antq_tribal_kingdom,ce_spear_head_random_small.dds,BSE-GORODETS,contested
SMD,XEE,Smolensk Dnieper-Dvina Group,smolensk,46,antq_dnieper_dvina,antq_baltic_slavic,tribe,antq_tribal_kingdom,ce_spiral_star_06.dds,AWE-DNIEPER-DVINA,contested
RZM,RZM,Oka-Moksha Gorodets Culture,ardatov,45,antq_gorodets,antq_finnic,tribe,antq_tribal_kingdom,ce_stag_head_shield.dds,BSE-GORODETS,contested
BLR,BLR,Upper Dnieper-Dvina Culture,minsk,56,antq_dnieper_dvina,antq_baltic_slavic,tribe,antq_tribal_kingdom,ce_cartwheel.dds,AWE-DNIEPER-DVINA,contested
NEM,XFK,Upper Neman Striated Pottery Group,grodno,39,antq_striated_pottery_neman,antq_baltic_slavic,tribe,antq_tribal_kingdom,ce_spiral.dds,LIT-NEMAN-STRIATED,contested
PDL,PDL,Podolian Lipița Group,kamianets_podilskyi,25,antq_lipita,antq_baltic_slavic,tribe,antq_tribal_kingdom,ce_horse_heads_addorsed.dds,AAC-LIPITA;P8.7,contested
RLG,RLG,Red-Ruthenian Lipița Group,lviv,36,antq_lipita,antq_baltic_slavic,tribe,antq_tribal_kingdom,ce_spiral_star_06.dds,AAC-LIPITA;P8.7,contested
DNP,DNP,Desna Zarubintsy Group,chernihiv,39,antq_zarubintsy,antq_baltic_slavic,tribe,antq_tribal_kingdom,ce_spear_head_random_small.dds,RAS-ZAR;P8.7,contested
RBD,RBD,Right-Bank Zarubintsy Group,kyiv,39,antq_zarubintsy,antq_baltic_slavic,tribe,antq_tribal_kingdom,ce_cartwheel.dds,RAS-ZAR;P8.7,contested
LBD,LBD,Left-Bank Zarubintsy Group,pereiaslav,23,antq_zarubintsy,antq_baltic_slavic,tribe,antq_tribal_kingdom,ce_boar_passant_mane.dds,RAS-ZAR;P8.7,contested
KRL,XEF,Ladoga Early Iron-Age Horizon,kizhi,22,antq_ladoga_iron_age,antq_finnic,tribe,antq_tribal_kingdom,ce_fish_okeane.dds,GERMANIA-NEVA,contested
