design_tag,engine_tag,name,map_capital,location_count,culture,religion,government_type,reform,emblem,source,confidence
AUD,XFS,Audumbara,nagarkot,25,antq_audumbara_hill,antq_brahmanism,republic,antq_indian_ganasangha,ce_elephant_asian.dds,BM-TRIBAL-COINS;P8.4,contested
NMS,XFT,Northern Satrapy of Mathura,mathura,6,antq_shauraseni_prakrit,antq_brahmanism,monarchy,antq_indo_scythian_kingship,ce_horse_salient.dds,OX-MTH;BM-MATHURA;P8.4,contested
PCM,PCM,Panchala Mitra Kingdom,bareilly,22,antq_panchala_prakrit,antq_brahmanism,monarchy,antq_northern_indian_coin_kingship,ce_cartwheel.dds,ASI-MITRA;IGNCA-PANCHALA;P8.4,contested
KSM,KSM,Kaushambi Mitra Kingdom,prayag,5,antq_kaushambi_prakrit,antq_brahmanism,monarchy,antq_northern_indian_coin_kingship,ce_elephant_asian.dds,ASI-MITRA;P8.4,contested
AYM,AYM,Ayodhya Mitra Kingdom,awadh,24,antq_kosala_prakrit,antq_brahmanism,monarchy,antq_northern_indian_coin_kingship,ce_bull_head.dds,ASI-MITRA;P8.4,contested
KSH,XFU,Kashi Janapada,varanasi,12,antq_kashi_prakrit,antq_brahmanism,monarchy,antq_northern_indian_coin_kingship,ce_circle.dds,ASI-MITRA;P8.4,contested
MLL,XFV,Malla Assemblies,kushinagar,6,antq_malla_prakrit,antq_brahmanism,republic,antq_indian_ganasangha,ce_spiral.dds,ASI-MITRA;P8.4,contested
GNG,XDP,Magadha,patna,13,antq_magadhi_prakrit,antq_brahmanism,monarchy,antq_northern_indian_coin_kingship,ce_elephant_asian.dds,ASI-MITRA;P8.4;CAH-XI,contested
VDJ,VDJ,Videha Janapada,darbhanga,18,antq_videha_prakrit,antq_brahmanism,republic,antq_indian_ganasangha,ce_spiral_star_06.dds,ASI-MITRA;P8.4,contested
AGA,AGA,Anga Janapada,bhagalpur,6,antq_anga_prakrit,antq_brahmanism,monarchy,antq_northern_indian_coin_kingship,ce_fish_naiant.dds,ASI-MITRA;P8.4,contested
PDR,PDR,Pundravardhana,bogra,20,antq_pundra_early_historic,antq_brahmanism,monarchy,antq_pundranagara_urban_kingship,ce_bull_head.dds,UNESCO-MAHASTHAN;CAM-BANGLADESH;P8.4,contested
RAR,XFW,Rarh,bardhaman,14,antq_rarh_early_historic,antq_brahmanism,tribe,antq_bengal_riverine_community_network,ce_spiral.dds,CAM-BANGLADESH;P8.4,contested
VNG,VNG,Vanga,nadia,20,antq_vanga_early_historic,antq_brahmanism,tribe,antq_bengal_riverine_community_network,ce_fish_naiant.dds,CAM-BANGLADESH;P8.4,contested
SMT,SMT,Samatata,sonargaon,18,antq_samatata_early_historic,antq_brahmanism,tribe,antq_bengal_riverine_community_network,ce_fishes_in_pale_shield.dds,CAM-BANGLADESH;P8.4,contested
HRK,HRK,Harikela,pilak,13,antq_harikela_early_historic,antq_brahmanism,tribe,antq_bengal_riverine_community_network,ce_spiral_star_06.dds,CAM-BANGLADESH;P8.4,contested
CNP,XFX,Chota Nagpur Megalithic Networks,ranchi,27,antq_chota_nagpur_megalithic,antq_eastern_hill_traditions,tribe,antq_eastern_megalithic_community_network,ce_spear_head_random_small.dds,OUP-NEINDIA;P8.4,contested
AMB,XFY,Ambari Horizon,guwahati,11,antq_ambari_horizon,antq_eastern_hill_traditions,tribe,antq_eastern_hill_valley_network,ce_spiral.dds,ASI-AMBARI;OUP-NEINDIA;P8.4,contested
DDV,DDV,Doyang-Dhansiri Valley,dimapur,8,antq_doyang_dhansiri,antq_eastern_hill_traditions,tribe,antq_eastern_hill_valley_network,ce_deer_kneeling.dds,OUP-NEINDIA;P8.4,contested
KJH,KJH,Khasi-Jaintia Highlands,sohra,8,antq_khasi_jaintia_highland,antq_eastern_hill_traditions,tribe,antq_eastern_hill_valley_network,ce_spiral_star_06.dds,OUP-NEINDIA;P8.4,contested
UBR,UBR,Upper Brahmaputra Foothills,dibrugarh,8,antq_upper_brahmaputra,antq_eastern_hill_traditions,tribe,antq_eastern_hill_valley_network,ce_fish_okeane.dds,OUP-NEINDIA;P8.4,contested
SDY,SDY,Sadiya Foothills,sadiya,7,antq_sadiya_foothill,antq_eastern_hill_traditions,tribe,antq_eastern_hill_valley_network,ce_deer_kneeling.dds,OUP-NEINDIA;P8.4,contested
MYL,MYL,Monyul Highlands,paro,9,antq_monyul_highland,antq_eastern_hill_traditions,tribe,antq_himalayan_highland_network,ce_crescent_moon_02.dds,UCL-BHUTAN;OUP-NEINDIA;P8.4,contested
SKM,SKM,Sikkim Foothills,yuksom,5,antq_sikkim_foothill,antq_eastern_hill_traditions,tribe,antq_himalayan_highland_network,ce_crescent_moon.dds,UCL-BHUTAN;OUP-NEINDIA;P8.4,contested
IMV,IMV,Imphal Valley Networks,imphal,2,antq_imphal_valley,antq_eastern_hill_traditions,tribe,antq_eastern_hill_valley_network,ce_spiral.dds,OUP-NEINDIA;P8.4,contested
