design_tag,engine_tag,name,map_capital,location_count,culture,religion,government_type,reform,emblem,source,confidence
ARI,XFZ,Aria,herat,15,antq_arian,antq_eastern_iranian_traditions,monarchy,antq_arian_satrapal_court,ce_spear_head_byzantine.dds,IRAN-ARIA;P8.2;P8.8,contested
YNC,YNC,Yancai,emba,34,antq_yancai_aorsi,antq_tengri,tribe,antq_yancai_aorsi_confederacy,ce_horse_courant.dds,HAN-WR;UNESCO-CA-NOMADS;WIL-SAR,contested
SRY,SRY,Saryarka Late Iron-Age Horizon,ulytau,31,antq_saryarka_late_iron,antq_tengri,tribe,antq_saryarka_late_iron_network,ce_spiral_star_06.dds,UNESCO-CA-NOMADS;WIL-SAR,contested
GMU,GMU,Gumo,aksu,6,antq_aksu_oasis,antq_tarim_oasis_traditions,monarchy,antq_han_western_regions_kingship,ce_bow_arrow.dds,HAN-WR;IRAN-AKS,contested
QIM,XGA,Qiemo,charchan,6,antq_qiemo_oasis,antq_tarim_oasis_traditions,monarchy,antq_han_western_regions_kingship,ce_ibex_goat_passant.dds,HAN-WR,contested
YQI,YQI,Yanqi,karasahr,7,antq_yanqi_oasis,antq_tarim_oasis_traditions,monarchy,antq_han_western_regions_kingship,ce_circle.dds,HAN-WR;HHS-WR,contested
SHC,SHC,Shache,yarkand,4,antq_yarkand_oasis,antq_tarim_oasis_traditions,monarchy,antq_han_western_regions_kingship,ce_horse_head.dds,HAN-WR;IRAN-YAR,contested
PUL,PUL,Puli,sarikol,4,antq_puli_highland,antq_tarim_oasis_traditions,monarchy,antq_han_western_regions_kingship,ce_stag.dds,HAN-WR,contested
FJS,FJS,Further Jushi,beshbalik,9,antq_further_jushi,antq_tarim_oasis_traditions,monarchy,antq_han_western_regions_kingship,ce_bow_arrows_03.dds,HAN-WR;HHS-WR,contested
IWL,IWL,Yiwulu,hami,3,antq_hami_oasis,antq_tarim_oasis_traditions,monarchy,antq_han_western_regions_kingship,ce_crescent_moon.dds,HAN-WR;IRAN-CT,contested
DNH,DNH,Danhuan,urumqi,1,antq_danhuan_oasis,antq_tarim_oasis_traditions,monarchy,antq_han_western_regions_kingship,ce_spiral.dds,HAN-WR;HHS-WR,contested
