design_tag,engine_tag,name,map_capital,location_count,former_mss_locations,culture,religion,government_type,reform,seeded_locations,placements,emblem,source,confidence
SLC,SLC,Basin South-Lake Communities,chalco,4,4,antq_basin_south_lake,antq_mesoamerican,tribe,antq_mesoamerican_formative_civic_network,2,4,ce_fish_okeane.dds,INAH-CUICUILCO-TEO;P8.10,contested
PTF,PTF,Puebla-Tlaxcala Formative Centers,cholollan,16,16,antq_puebla_tlaxcala_formative,antq_mesoamerican,tribe,antq_mesoamerican_formative_civic_network,4,9,ce_cartwheel.dds,INAH-CANTONA;P8.10,contested
MRF,MRF,Morelos Formative Communities,cuauhnahuac,6,6,antq_morelos_formative,antq_mesoamerican,tribe,antq_mesoamerican_formative_civic_network,2,4,ce_spiral.dds,INAH-CHALCATZINGO;P8.10,contested
NHC,NHC,Northern Highland Corridor Communities,ixmiquilpan,14,14,antq_northern_highland_corridor,antq_mesoamerican,tribe,antq_mesoamerican_exchange_corridor_network,4,8,ce_spear_head_random_small.dds,P8.10;CAH-XI,contested
TPC,XGS,Tamtoc-Panuco Communities,tamtoc,6,6,antq_tamtoc_panuco,antq_mesoamerican,tribe,antq_mesoamerican_formative_civic_network,2,5,ce_fish_okeane.dds,INAH-TAMTOC;P8.10,contested
GLS,XGT,Gulf Lowland-Sierra Networks,xalapa,13,13,antq_gulf_lowland_sierra,antq_mesoamerican,tribe,antq_mesoamerican_exchange_corridor_network,4,5,ce_asian_animist_sun.dds,INAH-TAPAK;P8.10,contested
GPC,GPC,Guerrero Pacific Communities,tlapan,13,13,antq_guerrero_pacific,antq_mesoamerican,tribe,antq_mesoamerican_exchange_corridor_network,4,5,ce_spear_head_random_small.dds,P8.10;CAH-XI,contested
ONH,ONH,Oaxaca Northwest Highland Communities,huajuapan,6,6,antq_oaxaca_northwest_highland,antq_mesoamerican,tribe,antq_mesoamerican_highland_community_network,2,4,ce_cartwheel.dds,P8.10;CAH-XI,contested
IZA,IZA,Izapa-Soconusco Center,huehuetan,4,4,antq_izapa_soconusco,antq_mesoamerican,tribe,antq_mesoamerican_urban_ritual_center,2,5,ce_spiral.dds,INAH-IZAPA;P8.10,contested
CPH,CPH,Chiapas Highland-Lowland Networks,zinacantan,11,11,antq_chiapas_highland_lowland,antq_mesoamerican,tribe,antq_mesoamerican_highland_community_network,3,6,ce_cartwheel.dds,INAH-IZAPA;P8.10;CAH-XI,contested
TEO,XCQ,Teotihuacan,tehotihuacan,10,9,antq_teotihuacano,antq_mesoamerican,tribe,antq_mesoamerican_urban_ritual_center,3,6,ce_asian_animist_sun.dds,P8.10;CAH-XI,secure
CUI,XCR,Cuicuilco,azcapotzalco,1,0,antq_teotihuacano,antq_mesoamerican,tribe,antq_mesoamerican_formative_civic_network,1,4,ce_spiral.dds,P8.10;CAH-XI,contested
