design_tag,engine_tag,name,kind,map_capital,location_count,culture,religion,government_type,reform,emblem,source,confidence
GER,XDK,Angrivarii,sop,hanover,13,antq_angrivarian,antq_germanic_religion,tribe,antq_tribal_kingdom,ce_spear_head_random_small.dds,TAC-ANN-II;TAC-GER;OCD-GER,contested
AES,AES,Aestii,sop,konigsberg,16,antq_aestian,antq_baltic_slavic,tribe,antq_tribal_kingdom,ce_spiral_star_06.dds,P8.7;TAC-GER;OCD-GER,contested
WBB,WBB,West Balt Barrow Culture,sop,barten,15,antq_west_balt_barrows,antq_baltic_slavic,tribe,antq_tribal_kingdom,ce_crescent_moon_02.dds,PAN-WBB,contested
BPC,BPC,Brushed Pottery Culture,sop,kernave,50,antq_brushed_pottery_baltic,antq_baltic_slavic,tribe,antq_tribal_kingdom,ce_cartwheel.dds,VU-BRUSH,contested
WSC,WSC,West Lithuanian Stone-Circle Culture,sop,medininkai,27,antq_west_lithuanian_circle,antq_baltic_slavic,tribe,antq_tribal_kingdom,ce_spiral.dds,LIT-WLSC,contested
ETG,ETG,Early Tarand-Grave Horizon,sop,tallinn,29,antq_early_tarand,antq_baltic_slavic,tribe,antq_tribal_kingdom,ce_star_08.dds,UT-TARAND,contested
FIN,XBU,Fenni,sop,helsinge,32,antq_finnic_culture,antq_finnic,tribe,antq_tribal_kingdom,ce_deer_kneeling.dds,P8.7;TAC-GER;OCD-GER,contested
SUE,XDZ,Suebi,sop,augsburg,68,antq_suebian,antq_germanic_religion,tribe,antq_tribal_kingdom,ce_spear_head_random_small.dds,P8.7;STR-GER;TAC-GER;OCD-GER,contested
GTL,GTL,Gutae,sop,skara,39,antq_germanic,antq_germanic_religion,tribe,antq_tribal_kingdom,ce_boar_passant_mane.dds,PTO-GEO-II11;OCD-GER,contested
SKN,XEP,Chaedini,sop,lund,13,antq_germanic,antq_germanic_religion,tribe,antq_tribal_kingdom,ce_horse_heads_addorsed.dds,PTO-GEO-II11;OCD-GER,contested
SNR,SNR,Dauciones,sop,oslo,63,antq_germanic,antq_germanic_religion,tribe,antq_tribal_kingdom,ce_fish_okeane.dds,PTO-GEO-II11;OCD-GER,contested
NNR,NNR,Hilleviones,sop,bodo,54,antq_germanic,antq_germanic_religion,tribe,antq_tribal_kingdom,ce_stag_head_shield.dds,PLN-NH-IV96;OCD-GER,contested
