design_tag,engine_tag,name,map_capital,province,location_count,former_phl_locations,culture,religion,government_type,reform,seeded_locations,placements,emblem,source,confidence
LZC,LZC,Northwest Luzon Coastal Communities,binalatongan,samtoy_province,4,4,antq_northwest_luzon_coast,antq_austronesian_religion,tribe,antq_philippine_coastal_river_network,2,3,ce_boat_shield.dds,NMP-PH-METAL;NMP-PH-JARS,contested
CXR,CXR,Central Luzon River Communities,pulilan,pampanga_province,5,5,antq_central_luzon_river,antq_austronesian_religion,tribe,antq_philippine_coastal_river_network,2,3,ce_fish_naiant.dds,NMP-PH-METAL;NMP-PH-JARS,contested
MBL,XGX,Manila Bay-Laguna Communities,maynila,katagalugan_province,6,6,antq_manila_bay_laguna,antq_austronesian_religion,tribe,antq_philippine_coastal_river_network,2,4,ce_asian_animist_sun.dds,NMP-PH-METAL;NMP-PH-JARS,contested
BCP,BCP,Bicol Peninsula Metal-Age Communities,naga_bikol,ibalong_province,6,6,antq_bicol_peninsula_metal_age,antq_austronesian_religion,tribe,antq_philippine_coastal_river_network,2,3,ce_spiral_star_06.dds,NMP-PH-METAL;NMP-PH-JARS;BELLINA-SHK,contested
MDR,XGY,Mindoro Maritime Communities,kalapang,mait_province,4,4,antq_mindoro_maritime,antq_austronesian_religion,tribe,antq_philippine_cave_coast_network,2,3,ce_conch_shell.dds,ATENEO-MINDORO;NMP-PH-JARS,contested
PNY,PNY,Panay Metal-Age Communities,irong_irong,panay_province,5,5,antq_panay_metal_age,antq_austronesian_religion,tribe,antq_philippine_mortuary_community_network,2,3,ce_spiral.dds,NMP-PH-METAL;NMP-PH-JARS;BELLINA-SHK,contested
NGR,XGZ,Negros Metal-Age Communities,tanjay,buglas_province,4,4,antq_negros_metal_age,antq_austronesian_religion,tribe,antq_philippine_mortuary_community_network,2,3,ce_circle.dds,NMP-PH-METAL;NMP-PH-JARS,contested
CBH,XHA,Cebu-Bohol Island Communities,singhapala,central_visayas_province,4,4,antq_cebu_bohol_island,antq_austronesian_religion,tribe,antq_philippine_island_exchange_network,2,3,ce_fishes_in_pale_shield.dds,NMP-KALANAY;BELLINA-SHK,contested
PLW,PLW,Palawan Cave-Coast Communities,taytay,palawan_province,3,3,antq_palawan_cave_coast,antq_austronesian_religion,tribe,antq_philippine_cave_coast_network,2,3,ce_boat_shield.dds,NMP-TABON;NMP-PH-JARS,contested
AGS,AGS,Agusan River Communities,butuan,agusan_province,6,6,antq_agusan_river,antq_austronesian_religion,tribe,antq_philippine_coastal_river_network,2,3,ce_fish_okeane.dds,NMP-PH-METAL;NMP-PH-JARS,contested
LNO,XHB,Lanao Coast-Lake Communities,malabang,agus_province,3,3,antq_lanao_coast_lake,antq_austronesian_religion,tribe,antq_philippine_coastal_river_network,2,3,ce_crescent_moon.dds,NMP-PH-METAL;NMP-PH-JARS,contested
PCT,XHC,Pulangi-Cotabato Basin Communities,kuta_watu,mindanao_province,8,8,antq_pulangi_cotabato_basin,antq_austronesian_religion,tribe,antq_philippine_coastal_river_network,3,4,ce_cartwheel.dds,NMP-PH-METAL;NMP-PH-JARS,contested
MTT,MTT,Maitum-Sarangani Mortuary Communities,makar,tagloc_province,2,2,antq_maitum_sarangani,antq_austronesian_religion,tribe,antq_philippine_mortuary_community_network,2,3,ce_asian_animist_sun.dds,CCP-MAITUM;NMP-PH-JARS,contested
ZBG,ZBG,Zamboanga Peninsula Communities,samboangan,zamboanga_province,6,6,antq_zamboanga_peninsula,antq_austronesian_religion,tribe,antq_philippine_coastal_river_network,2,3,ce_spear_head_random_small.dds,NMP-PH-METAL;NMP-PH-JARS;BELLINA-SHK,contested
SLU,SLU,Sulu Island Communities,maimbung,sulu_province,3,3,antq_sulu_island,antq_austronesian_religion,tribe,antq_philippine_island_exchange_network,2,3,ce_conch_shell.dds,NMP-PH-METAL;NMP-PH-JARS;BELLINA-SHK,contested
