design_tag,engine_tag,name,region,map_capital,location_count,source,confidence
PHL,PHL,Philippine Societies,Southeast Asia,maynila,69,P8.9;CAH-XI,secure
INS,INS,Island Southeast Asian Societies,Southeast Asia,maba_celebes,68,P8.9;CAH-XI,contested
PLA,XDG,Plains and Coastal Societies,North America,omaha,51,P8.10;CAH-XI,contested
KRS,XDL,Korean Peninsula Societies,Korea,suwon,50,P8.3;SAM,contested
CAU,XDI,Caucasian Highland Societies,Caucasus,tbilisi,47,P8.2;CAH-XI,contested
AND,AND,Andean Societies,Andes,arequipa,27,P8.10;CAH-XI,contested
CHI,XCX,Chibchan Societies,Northern Andes,paribari,16,P8.10;CAH-XI,secure
MEL,MEL,Melanesian Societies,Oceania,daga_papua,3,P8.9;CAH-XI,contested
MIC,XDS,Micronesian Societies,Oceania,mariana,3,P8.9;CAH-XI,contested
ARA,XDB,Arawak Societies,Caribbean-Amazon,guamontey,1,P8.10;CAH-XI,secure
CAR,XDD,Carib Societies,Caribbean-Amazon,carucairi,1,P8.10;CAH-XI,secure
PAC,XDH,Pacific Coast Societies,North America,monterey_coast,1,P8.10;CAH-XI,contested
TUP,XDC,Tupi Societies,Caribbean-Amazon,manaos,1,P8.10;CAH-XI,secure
