region,key,name,sheet,quadrant,master,resolver_paths,dimensions,compression,source_basis,status
generic,nobles,Landed Elites,assets_queue/generated/pop_types/sheets/pop_sheet_01_generic_upper.png,top_left,assets_queue/generated/pop_types/masters/generic/nobles.png,main_menu/gfx/interface/icons/pops/nobles.dds;main_menu/gfx/interface/icons/map_modes/nobles.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
generic,clergy,Priesthoods,assets_queue/generated/pop_types/sheets/pop_sheet_01_generic_upper.png,top_right,assets_queue/generated/pop_types/masters/generic/clergy.png,main_menu/gfx/interface/icons/pops/clergy.dds;main_menu/gfx/interface/icons/map_modes/clergy.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
generic,burghers,Urban Citizens,assets_queue/generated/pop_types/sheets/pop_sheet_01_generic_upper.png,bottom_left,assets_queue/generated/pop_types/masters/generic/burghers.png,main_menu/gfx/interface/icons/pops/burghers.dds;main_menu/gfx/interface/icons/map_modes/burghers.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
generic,laborers,Artisans and Laborers,assets_queue/generated/pop_types/sheets/pop_sheet_01_generic_upper.png,bottom_right,assets_queue/generated/pop_types/masters/generic/laborers.png,main_menu/gfx/interface/icons/pops/laborers.dds;main_menu/gfx/interface/icons/map_modes/laborers.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
generic,soldiers,Military Households,assets_queue/generated/pop_types/sheets/pop_sheet_02_generic_lower.png,top_left,assets_queue/generated/pop_types/masters/generic/soldiers.png,main_menu/gfx/interface/icons/pops/soldiers.dds;main_menu/gfx/interface/icons/map_modes/soldiers.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
generic,peasants,Cultivators,assets_queue/generated/pop_types/sheets/pop_sheet_02_generic_lower.png,top_right,assets_queue/generated/pop_types/masters/generic/peasants.png,main_menu/gfx/interface/icons/pops/peasants.dds;main_menu/gfx/interface/icons/map_modes/peasants.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
generic,tribesmen,Tribal Communities,assets_queue/generated/pop_types/sheets/pop_sheet_02_generic_lower.png,bottom_left,assets_queue/generated/pop_types/masters/generic/tribesmen.png,main_menu/gfx/interface/icons/pops/tribesmen.dds;main_menu/gfx/interface/icons/map_modes/tribesmen.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
generic,slaves,Enslaved People,assets_queue/generated/pop_types/sheets/pop_sheet_02_generic_lower.png,bottom_right,assets_queue/generated/pop_types/masters/generic/slaves.png,main_menu/gfx/interface/icons/pops/slaves.dds;main_menu/gfx/interface/icons/map_modes/slaves.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
african_gfx,nobles,Landed Elites,assets_queue/generated/pop_types/sheets/pop_sheet_03_african_upper.png,top_left,assets_queue/generated/pop_types/masters/african_gfx/nobles.png,main_menu/gfx/interface/graphical_cultures/african_gfx/pops/nobles.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
african_gfx,clergy,Priesthoods,assets_queue/generated/pop_types/sheets/pop_sheet_03_african_upper.png,top_right,assets_queue/generated/pop_types/masters/african_gfx/clergy.png,main_menu/gfx/interface/graphical_cultures/african_gfx/pops/clergy.dds,128x128 RGBA,DXT5 + full mip chain,installed EU5 pop portrait contact sheet; generated four-up ancient material-culture reinterpretation,complete
