design_tag,engine_tag,name,map_capital,province,location_count,former_ins_locations,culture,culture_group,religion,government_type,reform,seeded_locations,placements,emblem,source,confidence
BGT,XHD,Banggai-Tomini Maritime,banggai,banggai_province,6,6,antq_banggai_tomini_maritime,antq_austronesian_group,antq_austronesian_religion,tribe,antq_sulawesi_coastal_exchange_network,4,4,ce_fish_naiant.dds,ANU-SULAWESI;SPAFA-TOPOGARO,contested
BNC,BNC,Bone-Cenrana Coastal,bone,bone_province,5,5,antq_bone_cenrana_coast,antq_austronesian_group,antq_austronesian_religion,tribe,antq_sulawesi_coastal_exchange_network,4,4,ce_asian_animist_sun.dds,ANU-SULAWESI,contested
BGU,BGU,Bungku-Kendari Coast,bungku,bungku_province,5,5,antq_bungku_kendari_coast,antq_austronesian_group,antq_austronesian_religion,tribe,antq_sulawesi_coastal_exchange_network,4,4,ce_spear_head_random_small.dds,ANU-SULAWESI;SPAFA-TOPOGARO,contested
BTM,BTM,Buton-Muna Island,butung,butung_province,6,6,antq_buton_muna_island,antq_austronesian_group,antq_austronesian_religion,tribe,antq_sulawesi_island_exchange_network,4,4,ce_boat_shield.dds,ANU-SULAWESI,contested
LRP,LRP,Lore-Poso Highland,loree,donggala_province,7,7,antq_lore_poso_highland,antq_austronesian_group,antq_austronesian_religion,tribe,antq_sulawesi_highland_mortuary_network,4,4,ce_spiral.dds,UNESCO-LORE;SPAFA-TOPOGARO,contested
GRT,XHE,Gorontalo-Tomini,gorontalo,gorontalo_province,7,7,antq_gorontalo_tomini,antq_austronesian_group,antq_austronesian_religion,tribe,antq_sulawesi_peninsula_community_network,4,4,ce_fish_okeane.dds,ANU-SULAWESI,contested
MKS,MKS,South Sulawesi Coastal,gowa,makassar_province,6,6,antq_south_sulawesi_coast,antq_austronesian_group,antq_austronesian_religion,tribe,antq_sulawesi_coastal_exchange_network,4,4,ce_cartwheel.dds,ANU-SULAWESI,contested
KRM,XHF,Karama Valley Metal-Age,kalumpang,mamudju_province,6,6,antq_karama_valley_metal_age,antq_austronesian_group,antq_austronesian_religion,tribe,antq_sulawesi_river_lake_network,4,4,ce_circle.dds,BRIN-KARAMA;ANU-SULAWESI,contested
MNH,MNH,North Sulawesi Peninsula,manado,manado_province,4,4,antq_north_sulawesi_peninsula,antq_austronesian_group,antq_austronesian_religion,tribe,antq_sulawesi_peninsula_community_network,4,4,ce_deer_kneeling.dds,ANU-SULAWESI,contested
LWM,LWM,Matano-Luwu Lake-Coast,matano,palopo_province,5,5,antq_matano_luwu_lake_coast,antq_austronesian_group,antq_austronesian_religion,tribe,antq_sulawesi_river_lake_network,4,4,ce_spiral_star_06.dds,ANU-SULAWESI,contested
NHM,NHM,North Halmahera Metal-Age,jailolo,ternate_province,6,6,antq_north_halmahera_metal_age,antq_north_maluku_group,antq_austronesian_religion,tribe,antq_north_maluku_metal_age_network,4,4,ce_conch_shell.dds,ANU-MALUKU,contested
SHM,XHG,South Halmahera Metal-Age,maba_celebes,tidore_province,5,5,antq_south_halmahera_metal_age,antq_north_maluku_group,antq_austronesian_religion,tribe,antq_north_maluku_metal_age_network,4,4,ce_fishes_in_pale_shield.dds,ANU-MALUKU,contested
