family,variant,resolver_path,dimensions,compression,render_source,installed_source,installed_sha256,output_sha256,historical_basis,status
artillery,knowledge,gfx/interface/advance/artillery_institution_advance.dds,256x256,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,advance/artillery_institution_advance.dds,eb720837c23174472a825308496e7cb5822f73060b2551453551fbaf9bf52b11,5d70d5e7bbd0366a5b1b83e424397e32acc39b528ba39232db128c1d20ee27dd,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
artillery,advance,gfx/interface/advance/bng_artillery_corps.dds,256x256,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,advance/bng_artillery_corps.dds,3211fda74ca1c89b88a83c9f21e26bed177a2cbe88d8541bb3119d11a39176a4,5d70d5e7bbd0366a5b1b83e424397e32acc39b528ba39232db128c1d20ee27dd,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
artillery,advance,gfx/interface/advance/imperial_artillery.dds,256x256,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,advance/imperial_artillery.dds,db00e78b0db4606c00abaf4e8b06218ed62695a862f815e5f988999b8eadc0e9,5d70d5e7bbd0366a5b1b83e424397e32acc39b528ba39232db128c1d20ee27dd,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
population,unrest,gfx/interface/advance/pacify_population_advance.dds,256x256,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_population_summary.png,advance/pacify_population_advance.dds,6d4391c93431e0e7ec78c120a936715f3fc9cd8fec31823cc292ee334ec0ee70,46655ffdfeeed62afea375c57286463c81962675ce68770b8e83fe00dae152d7,Regional-neutral ancient household group; clothing and material culture bounded to the ANTIQVITAS AD 1-476 presentation contract.,exact-path ancient mirror
artillery,advance,gfx/interface/advance/raj_expanded_artillery_arm.dds,256x256,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,advance/raj_expanded_artillery_arm.dds,7e2c1cefb65aeb3be3b8c540b0a0bd45ff1632f2bb8cc21af926f9fc016380d2,5d70d5e7bbd0366a5b1b83e424397e32acc39b528ba39232db128c1d20ee27dd,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
artillery,workshop,gfx/interface/advance/russian_artillery_yard.dds,256x256,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,advance/russian_artillery_yard.dds,7df005e3b0313750cf9182f797d3a8d706dc6821ee54084090f89fe9a672409c,5d70d5e7bbd0366a5b1b83e424397e32acc39b528ba39232db128c1d20ee27dd,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
artillery,fortification,gfx/interface/buttons/flats/artillery_bonus.dds,100x100,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,buttons/flats/artillery_bonus.dds,1606caa3cb8d5e09053e6f9b10d9a39896d9d59b61d33c92335ee536c3d69162,d20e5748e22eda62c0ce48c7e4191ddc0c72dc6c75c11aa9bd1e962b0b0277db,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
population,summary,gfx/interface/buttons/flats/population_button.dds,100x100,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_population_summary.png,buttons/flats/population_button.dds,5720b405992c0fd517774f3854115d577e3ec672f8ff1474b32a9337dad5eb9e,a163a452428aef994222cd500b1297af4b1e9c1cfb97d6763423487a59608f97,Regional-neutral ancient household group; clothing and material culture bounded to the ANTIQVITAS AD 1-476 presentation contract.,exact-path ancient mirror
population,decline,gfx/interface/icons/alerts_icons/location_depopulation.dds,128x128,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_population_summary.png,icons/alerts_icons/location_depopulation.dds,16ca29965d743a946832976edc12b7ec69cbe3f48c3f2a2859ad3aec0db0e09a,b5f37e457969d79d71fb63588ed92ff79f3e82100e2ba4bc45186f5905337f22,Regional-neutral ancient household group; clothing and material culture bounded to the ANTIQVITAS AD 1-476 presentation contract.,exact-path ancient mirror
population,warning,gfx/interface/icons/alerts_icons/pops_wanting_stuff.dds,128x128,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_population_summary.png,icons/alerts_icons/pops_wanting_stuff.dds,437f79d6f1ab55f2c486fe0035889f26236d22c3318c190879815b28b9d2e7d5,5b46cf279bc1ab94b8082cc44cb37a48d375a07d5ad213fae424f85a3f29dd6e,Regional-neutral ancient household group; clothing and material culture bounded to the ANTIQVITAS AD 1-476 presentation contract.,exact-path ancient mirror
artillery,workshop,gfx/interface/icons/buildings/moscow_artillery_yard.dds,128x128,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,icons/buildings/moscow_artillery_yard.dds,66dea1f9dc636e0f1fa6b61ced5e38d2b69378a6045b95c1afc4b457ba2122f1,be385f00b4a497f41224613a773dd268b88ae4d7339c2de0e32de20e594d2f8c,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
artillery,workshop,gfx/interface/icons/buildings/segovia_artillery_academy.dds,128x128,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,icons/buildings/segovia_artillery_academy.dds,dbad472e24a65e8e9f85e4b0dd076af372fe54899bad8da35ca57eac082d3d18,be385f00b4a497f41224613a773dd268b88ae4d7339c2de0e32de20e594d2f8c,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
population,unrest,gfx/interface/icons/cabinet_actions/pacify_population.dds,128x128,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_population_summary.png,icons/cabinet_actions/pacify_population.dds,da83f1ae9e6e90d1884453266d3dc06835a6eaa145e5dbbc09c639457d252a9d,2b78a1b1df33d749b2278d890a3860ec2bd88d22dca5476c112b038e93e1f369,Regional-neutral ancient household group; clothing and material culture bounded to the ANTIQVITAS AD 1-476 presentation contract.,exact-path ancient mirror
artillery,barrage,gfx/interface/icons/flat_icons/siege_occupation/artillery_2.dds,128x128,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,icons/flat_icons/siege_occupation/artillery_2.dds,69b2de6aefff29188a9e6b31980bf9fe9f7a69f5db33db6de6a47ceb59b06b98,fe7241b1d126fd371ba5d5b788690671c21f87a82b30f4fa56bd6afbdaf44a49,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
population,needs,gfx/interface/icons/flat_icons/trade_market/trade_categories/population_needs.dds,128x128,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_population_summary.png,icons/flat_icons/trade_market/trade_categories/population_needs.dds,437f79d6f1ab55f2c486fe0035889f26236d22c3318c190879815b28b9d2e7d5,2b78a1b1df33d749b2278d890a3860ec2bd88d22dca5476c112b038e93e1f369,Regional-neutral ancient household group; clothing and material culture bounded to the ANTIQVITAS AD 1-476 presentation contract.,exact-path ancient mirror
artillery,category,gfx/interface/icons/government_reforms/illustrations/horse_artillery.dds,64x90,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,icons/government_reforms/illustrations/horse_artillery.dds,0cc9f35e491e33440a9bcc88195d1fadd0492c86d855ba85124f00900e6ab814,daf8db4d00244972e24deb454516f7194577c22ed46a36f31af910f435e81e32,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
artillery,knowledge,gfx/interface/icons/institutions/artillery_institution.dds,128x128,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,icons/institutions/artillery_institution.dds,03bd013b31653a5343dc2753205b40c31e32db4a8c22603642333d33c339e37e,be385f00b4a497f41224613a773dd268b88ae4d7339c2de0e32de20e594d2f8c,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
population,summary,gfx/interface/icons/location_icons/new/population.dds,128x128,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_population_summary.png,icons/location_icons/new/population.dds,178d462546c1a2d71bcc583ed0ae374029b89bef1bd1ac4505d5b7840abebd31,60cf796ac260953b504b1b7f5037e4558d3988b302055040d1228e13456e1978,Regional-neutral ancient household group; clothing and material culture bounded to the ANTIQVITAS AD 1-476 presentation contract.,exact-path ancient mirror
population,growth,gfx/interface/icons/location_icons/new/population_growth.dds,240x240,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_population_summary.png,icons/location_icons/new/population_growth.dds,61632b939f86c33dd4bd301b6238c17092e89b3bccfb71f78dde14b30460dddc,8ab812c79a4f104d58aeddeb30c48834d08c745f7a5e17db002eef4124b1a943,Regional-neutral ancient household group; clothing and material culture bounded to the ANTIQVITAS AD 1-476 presentation contract.,exact-path ancient mirror
population,legacy,gfx/interface/icons/location_icons/new/population_old.dds,128x128,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_population_summary.png,icons/location_icons/new/population_old.dds,ad23412e4fa494bffea0cfa023e4df7e6788841922e91172ebc59f3896709e96,ad26e0b5bd78f4234ab61881b4e7ef4d354da237a996dabfec2a31c2bcc57c6c,Regional-neutral ancient household group; clothing and material culture bounded to the ANTIQVITAS AD 1-476 presentation contract.,exact-path ancient mirror
population,summary,gfx/interface/icons/location_icons/population.dds,128x128,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_population_summary.png,icons/location_icons/population.dds,f7aea06b03b84ee9370475fe577089099df916e3db6a52302b52cb48c03cfdef,60cf796ac260953b504b1b7f5037e4558d3988b302055040d1228e13456e1978,Regional-neutral ancient household group; clothing and material culture bounded to the ANTIQVITAS AD 1-476 presentation contract.,exact-path ancient mirror
population,summary,gfx/interface/icons/map_modes/population.dds,128x128,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_population_summary.png,icons/map_modes/population.dds,32c1ea0ea5a54c7f4a69fb48d3374b9b084d377b43bba6bde2b77b0b58c738e1,60cf796ac260953b504b1b7f5037e4558d3988b302055040d1228e13456e1978,Regional-neutral ancient household group; clothing and material culture bounded to the ANTIQVITAS AD 1-476 presentation contract.,exact-path ancient mirror
artillery,construction,gfx/interface/icons/modifier_types/army_artillery_build_cost_modifier.dds,64x64,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,icons/modifier_types/army_artillery_build_cost_modifier.dds,dba6bd8b733d7874749cbd3b9458c5c1062e189577ad7dead60d5ed410c955a5,4308fe4202fc24631328d0753c62bfc2bc445ca7b46e05320cc3defcc865dda4,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
artillery,maintenance,gfx/interface/icons/modifier_types/army_artillery_maintenance_cost_modifier.dds,64x64,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,icons/modifier_types/army_artillery_maintenance_cost_modifier.dds,6ef627b02ae0f6d43b2746b6dcbd66b5f4d7246de933a99a40b687ca79494f1f,4308fe4202fc24631328d0753c62bfc2bc445ca7b46e05320cc3defcc865dda4,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
artillery,power,gfx/interface/icons/modifier_types/army_artillery_power.dds,64x64,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,icons/modifier_types/army_artillery_power.dds,ac3dc4e9bc316e62629c522d29ecda3ff58eb9d278f295e9c57d233b71e540f9,7673782559f9e152e82925ffe48e0273678b7e323fad8af11e1f7ceab26b4d73,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
artillery,reinforcement,gfx/interface/icons/modifier_types/army_artillery_reinforce_cost_modifier.dds,64x64,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,icons/modifier_types/army_artillery_reinforce_cost_modifier.dds,eccb9e40379c6ff4353b48c4f8044cc8b00837153ebbdbe43439cfe5329a8e05,8364c4a90f63d2d6220c4300c417c0c9247e7b89b4db59cb72c2fd6135f216d5,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
artillery,fortification,gfx/interface/icons/modifier_types/artillery_bonus_vs_fort.dds,64x64,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,icons/modifier_types/artillery_bonus_vs_fort.dds,01740e99f61e82a1095d6ca1f22aab051518f29dee974edef75afc9a309d0e2c,7018e255d6cbaeef7d9c54c162bb952213e64b4f81b4b543696d8df00b4302bf,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
population,capacity,gfx/interface/icons/modifier_types/global_population_capacity_modifier.dds,64x64,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_population_summary.png,icons/modifier_types/global_population_capacity_modifier.dds,b93ba12e59ed5ad417854d49303ce7f576156b5d484903514abaf4b1877bbeb5,4d395ea79be9537e1a207e072c1f534d8f2af561f1233d09347e2e9e1580028b,Regional-neutral ancient household group; clothing and material culture bounded to the ANTIQVITAS AD 1-476 presentation contract.,exact-path ancient mirror
population,growth,gfx/interface/icons/modifier_types/global_population_growth.dds,64x64,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_population_summary.png,icons/modifier_types/global_population_growth.dds,1c9254a45f6b0f54c75378ebfe0b54a12532b4a9b9c5bb1fc0aadff4afc94e1e,4d395ea79be9537e1a207e072c1f534d8f2af561f1233d09347e2e9e1580028b,Regional-neutral ancient household group; clothing and material culture bounded to the ANTIQVITAS AD 1-476 presentation contract.,exact-path ancient mirror
population,unrest,gfx/interface/icons/modifier_types/pacify_population.dds,64x64,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_population_summary.png,icons/modifier_types/pacify_population.dds,af3f8499c77f8a3888e118ca84fdc1854f5fe7ff8eccd31399f72b4670de54f4,7a1c4968a593b542eb647781da262730065482f6eecbd964fd1b7e4ba664ee62,Regional-neutral ancient household group; clothing and material culture bounded to the ANTIQVITAS AD 1-476 presentation contract.,exact-path ancient mirror
population,capacity,gfx/interface/icons/modifier_types/total_population_capacity_modifier.dds,64x64,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_population_summary.png,icons/modifier_types/total_population_capacity_modifier.dds,b93ba12e59ed5ad417854d49303ce7f576156b5d484903514abaf4b1877bbeb5,4d395ea79be9537e1a207e072c1f534d8f2af561f1233d09347e2e9e1580028b,Regional-neutral ancient household group; clothing and material culture bounded to the ANTIQVITAS AD 1-476 presentation contract.,exact-path ancient mirror
population,overcrowding,gfx/interface/icons/modifiers/overpopulation.dds,128x128,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_population_summary.png,icons/modifiers/overpopulation.dds,3a150430ce720df85fedeccd29607eabc7e49a25779858793664f835169be8c3,a6cf5bdb67e5e7bee028b7c78c1730df113d846e1ab5cb0f27b4ffbf91515ca0,Regional-neutral ancient household group; clothing and material culture bounded to the ANTIQVITAS AD 1-476 presentation contract.,exact-path ancient mirror
population,summary,gfx/interface/icons/resources/total_population.dds,256x256,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_population_summary.png,icons/resources/total_population.dds,61d32e5527607c3045f607acbe767bbcfc2ae62cda7f3c16ea6707c90692db0e,ff19c144f5973003600445daed82452fc9cbbfdd489445cdfdde30d991e8671a,Regional-neutral ancient household group; clothing and material culture bounded to the ANTIQVITAS AD 1-476 presentation contract.,exact-path ancient mirror
artillery,barrage,gfx/interface/icons/sort/artillery_barrage.dds,64x64,DXT5 + full mip chain,assets_queue/ui_resolvers/antq_torsion_ballista.png,icons/sort/artillery_barrage.dds,655db50d469285bea95e0fca0a327e752dbeecdf792bcd91d1e8d93a78c0923f,7673782559f9e152e82925ffe48e0273678b7e323fad8af11e1f7ceab26b4d73,"Two-armed torsion stone-thrower; Vitruvius, De architectura 10.10-12; Marsden, Greek and Roman Artillery (1969).",exact-path ancient mirror
