design_tag,engine_tag,name,region,map_capital,location_count,former_wms_locations,culture,religion,government_type,reform,seeded_locations,placements,emblem,source,confidence
NYS,XGU,Nayarit Shaft-Tomb Communities,Mesoamerica,ahuacatlan,6,6,antq_nayarit_shaft_tomb,antq_mesoamerican,tribe,antq_west_mexican_shaft_tomb_chiefdom,2,3,ce_spiral.dds,INAH-WEST-SHAFT,contested
TJC,TJC,Central Jalisco Teuchitlan Networks,Mesoamerica,etzatlan,10,10,antq_central_jalisco_teuchitlan,antq_mesoamerican,tribe,antq_teuchitlan_civic_center_network,3,4,ce_cartwheel.dds,INAH-TEUCHITLAN,contested
SJB,SJB,Southern Jalisco Basin Communities,Mesoamerica,sayula,8,8,antq_southern_jalisco_basin,antq_mesoamerican,tribe,antq_west_mexican_shaft_tomb_chiefdom,3,4,ce_deer_kneeling.dds,INAH-WEST-SHAFT;INAH-COLIMA,contested
COL,XGV,Colima-Coahuayana Communities,Mesoamerica,coliman,10,10,antq_colima_coahuayana,antq_mesoamerican,tribe,antq_west_mexican_shaft_tomb_chiefdom,3,5,ce_fish_okeane.dds,INAH-COLIMA,contested
BJC,BJC,Chupicuaro-Bajio Communities,Mesoamerica,yuririapundaro,8,8,antq_chupicuaro_bajio,antq_mesoamerican,tribe,antq_west_mexican_basin_community_network,3,5,ce_spiral.dds,INAH-CHUPICUARO,contested
PHC,PHC,Patzcuaro Highland Communities,Mesoamerica,patzcuaro,7,7,antq_patzcuaro_highland,antq_mesoamerican,tribe,antq_west_mexican_basin_community_network,3,4,ce_fish_okeane.dds,INAH-WEST-MEXICO,contested
MBC,MBC,Central Michoacan Basin Communities,Mesoamerica,zinapecuaro,11,11,antq_central_michoacan_basin,antq_mesoamerican,tribe,antq_west_mexican_basin_community_network,3,5,ce_cartwheel.dds,INAH-WEST-MEXICO;INAH-CHUPICUARO,contested
TVC,TVC,Toluca Valley Formative Communities,Mesoamerica,ixtlahuaca,9,9,antq_toluca_valley_formative,antq_mesoamerican,tribe,antq_west_mexican_basin_community_network,3,7,ce_asian_animist_sun.dds,INAH-TOLUCA,contested
MZC,MZC,Mezcala-Balsas Preurban Communities,Mesoamerica,tepecoacuilco,6,6,antq_mezcala_balsas_preurban,antq_mesoamerican,tribe,antq_west_mexican_highland_corridor_network,2,3,ce_spear_head_random_small.dds,INAH-MEZCALA,contested
JZH,JZH,Jalisco-Zacatecas Highland Communities,Mesoamerica,huaxtla,15,15,antq_jalisco_zacatecas_highland,antq_mesoamerican,tribe,antq_west_mexican_highland_corridor_network,4,5,ce_deer_kneeling.dds,INAH-WEST-SHAFT;INAH-WEST-MEXICO,contested
SDR,XGW,Ancestral Sonoran Desert Communities,North America,shiewhibak,8,8,antq_ancestral_sonoran_desert,antq_north_american,tribe,antq_sonoran_desert_farming_network,3,4,ce_asian_animist_sun.dds,NPS-SONORAN,contested
