design_tag,engine_tag,path,primary_culture,resident_cultures,accepted_cultures,tolerated_cultures,future_path_cultures,source,confidence
ROM,XAA,provincial_citizenship,antq_latin,antq_aeduan|antq_aeolian|antq_allobrogian|antq_ambarrian|antq_ambianian|antq_andecavian|antq_aquitanian|antq_aramaic|antq_ardiaean|antq_arevacian|antq_armorican|antq_artabrian|antq_arvernian|antq_asturian|antq_atrebatian|antq_aulerci_cenomanian|antq_aulerci_diablintian|antq_aulerci_eburovician|antq_auscian|antq_ausetanian|antq_autariatan|antq_autrigonian|antq_baiocassian|antq_bastetan|antq_bastulian|antq_belgic|antq_bellian|antq_bellovacian|antq_bigerrionian|antq_bithynian|antq_biturigan_cubian|antq_bracaran|antq_breucian|antq_cabalian|antq_cadurcian|antq_caletian|antq_cantabrian|antq_carian|antq_caristian|antq_carnutian|antq_carpetanian|antq_cataonian|antq_cavaric|antq_celtiberian|antq_celtician|antq_ceretanian|antq_ceutronian|antq_chalybian|antq_cisalpine_gallic|antq_consorannian|antq_contestanian|antq_convenian|antq_coriosolitan|antq_cynetan|antq_dardanian|antq_delmatian|antq_dentheletian|antq_edetan|antq_egyptian|antq_elisycean|antq_elusatian|antq_enchelean|antq_etruscan|antq_gabalian|antq_galatian_tectosagian|antq_gallaecian|antq_gigurrian|antq_greek_koine|antq_helvetian|antq_helvian|antq_henetian|antq_homonadean|antq_iacetanian|antq_iapodian|antq_iberian|antq_ilercavonian|antq_ilergetian|antq_illyrian|antq_indigetan|antq_ionian|antq_lacetanian|antq_latin|antq_lemovician|antq_leucian|antq_liburnian_culture|antq_ligurian|antq_limican|antq_lingonian|antq_luggonian|antq_lusitanian|antq_lusonian|antq_lycaonian|antq_lycian|antq_lydian|antq_lyncestian|antq_macedonian|antq_maedian|antq_mariandynian|antq_mediomatrician|antq_moesian|antq_morinian|antq_mysian|antq_namnetian|antq_nervian|antq_nitiobrigian|antq_noric|antq_nuragic|antq_olcadian|antq_orestian|antq_oretan|antq_oscan_umbrian|antq_osismian|antq_paeonian|antq_paesician|antq_pamphylian|antq_pannonian|antq_paphlagonian|antq_parisian|antq_parthinian|antq_pelagonian|antq_pelendonian|antq_petrocorian|antq_phoenician_punic|antq_phrygian|antq_pictonian|antq_pisidian|antq_pleraean|antq_redonian|antq_remian|antq_rhaetic|antq_rutenian|antq_saluvian|antq_santonian|antq_scordiscan|antq_sedetanian|antq_segusiavian|antq_senonian|antq_sequanian|antq_suessetanian|antq_suessionian|antq_tarbellian|antq_taulantian|antq_thracian|antq_tibarenian|antq_tolistobogian|antq_treverian|antq_triballian|antq_trocmian|antq_turdetanian|antq_turdulian|antq_turmodigian|antq_turonian|antq_unellian|antq_vaccaean|antq_vardulian|antq_vasconian|antq_veliocassian|antq_venetian|antq_venetic|antq_vettonian|antq_viromanduian|antq_viviscan|antq_vocontian|antq_volcan_arecomican|antq_volcan_tectosagian,antq_etruscan|antq_greek_koine|antq_oscan_umbrian|antq_venetic,antq_aeduan|antq_aeolian|antq_allobrogian|antq_ambarrian|antq_ambianian|antq_andecavian|antq_aquitanian|antq_aramaic|antq_ardiaean|antq_arevacian|antq_armorican|antq_artabrian|antq_arvernian|antq_asturian|antq_atrebatian|antq_aulerci_cenomanian|antq_aulerci_diablintian|antq_aulerci_eburovician|antq_auscian|antq_ausetanian|antq_autariatan|antq_autrigonian|antq_baiocassian|antq_bastetan|antq_bastulian|antq_belgic|antq_bellian|antq_bellovacian|antq_bigerrionian|antq_bithynian|antq_biturigan_cubian|antq_bracaran|antq_breucian|antq_cabalian|antq_cadurcian|antq_caletian|antq_cantabrian|antq_carian|antq_caristian|antq_carnutian|antq_carpetanian|antq_cataonian|antq_cavaric|antq_celtiberian|antq_celtician|antq_ceretanian|antq_ceutronian|antq_chalybian|antq_cisalpine_gallic|antq_consorannian|antq_contestanian|antq_convenian|antq_coriosolitan|antq_cynetan|antq_dardanian|antq_delmatian|antq_dentheletian|antq_edetan|antq_egyptian|antq_elisycean|antq_elusatian|antq_enchelean|antq_gabalian|antq_galatian_tectosagian|antq_gallaecian|antq_gigurrian|antq_helvetian|antq_helvian|antq_henetian|antq_homonadean|antq_iacetanian|antq_iapodian|antq_iberian|antq_ilercavonian|antq_ilergetian|antq_illyrian|antq_indigetan|antq_ionian|antq_lacetanian|antq_lemovician|antq_leucian|antq_liburnian_culture|antq_ligurian|antq_limican|antq_lingonian|antq_luggonian|antq_lusitanian|antq_lusonian|antq_lycaonian|antq_lycian|antq_lydian|antq_lyncestian|antq_macedonian|antq_maedian|antq_mariandynian|antq_mediomatrician|antq_moesian|antq_morinian|antq_mysian|antq_namnetian|antq_nervian|antq_nitiobrigian|antq_noric|antq_nuragic|antq_olcadian|antq_orestian|antq_oretan|antq_osismian|antq_paeonian|antq_paesician|antq_pamphylian|antq_pannonian|antq_paphlagonian|antq_parisian|antq_parthinian|antq_pelagonian|antq_pelendonian|antq_petrocorian|antq_phoenician_punic|antq_phrygian|antq_pictonian|antq_pisidian|antq_pleraean|antq_redonian|antq_remian|antq_rhaetic|antq_rutenian|antq_saluvian|antq_santonian|antq_scordiscan|antq_sedetanian|antq_segusiavian|antq_senonian|antq_sequanian|antq_suessetanian|antq_suessionian|antq_tarbellian|antq_taulantian|antq_thracian|antq_tibarenian|antq_tolistobogian|antq_treverian|antq_triballian|antq_trocmian|antq_turdetanian|antq_turdulian|antq_turmodigian|antq_turonian|antq_unellian|antq_vaccaean|antq_vardulian|antq_vasconian|antq_veliocassian|antq_venetian|antq_vettonian|antq_viromanduian|antq_viviscan|antq_vocontian|antq_volcan_arecomican|antq_volcan_tectosagian,,P8.1;CAH-XI;P10,secure
HAN,XAR,commandery_integration,antq_zhongyuan_han,antq_austronesian|antq_ba_han|antq_chu_han|antq_dian|antq_hexi_han|antq_jin_han|antq_lelang_gojoseon|antq_lingnan_yue|antq_min_yue|antq_poyang_han|antq_qiang|antq_qilu_han|antq_qin_han|antq_shu_han|antq_vietic|antq_wu_yue|antq_yan_han|antq_yelang|antq_zhongyuan_han,antq_ba_han|antq_chu_han|antq_hexi_han|antq_jin_han|antq_poyang_han|antq_qilu_han|antq_qin_han|antq_shu_han|antq_wu_yue|antq_yan_han,antq_austronesian|antq_dian|antq_lelang_gojoseon|antq_lingnan_yue|antq_min_yue|antq_qiang|antq_vietic|antq_yelang,,P8.3;BHR;CAM-HAN-REG;P10,secure
PAR,XAH,satrapal_pluralism,antq_parthian,antq_aramaic|antq_carmanian|antq_hyrcanian|antq_judean|antq_median|antq_parthian|antq_phoenician_punic|antq_saka|antq_syriac,antq_hyrcanian|antq_median,antq_aramaic|antq_carmanian|antq_judean|antq_phoenician_punic|antq_saka|antq_syriac,,P8.2;CAH-XI;P10,secure
SAT,SAT,prakrit_dravidian_compact,antq_deccan_prakrit,antq_deccan_prakrit|antq_proto_telugu_kannada,antq_proto_telugu_kannada,,,P8.4;CAH-XI;P10,contested
YUE,YUE,bactrian_confederational_compact,antq_bactrian,antq_bactrian,antq_saka|antq_sogdian,antq_kucha_oasis,antq_kucha_oasis|antq_saka|antq_sogdian,HAN-WR;IRAN-KUC;CAH-XI;P10,contested
XIO,XIO,tributary_confederation,antq_xiongnu,antq_xiongnu,,antq_wuhuan|antq_xianbei,antq_wuhuan|antq_xianbei,P8.3;CAH-XI;P10,contested
ARM,XAO,armenian_highland_court,antq_armenian,antq_armenian|antq_kartvelian,antq_kartvelian,,,P8.2;CAH-XI;P10,contested
THR,THR,odrysian_hellenic_court,antq_greek_koine,antq_bessian|antq_odrysian|antq_sapaean|antq_thracian,antq_bessian|antq_odrysian|antq_sapaean|antq_thracian,,,P8.1;OCD;PLE;P10,contested
CAP,CAP,cappadocian_hellenic_court,antq_greek_koine,antq_cappadocian|antq_macronian|antq_mossynoecian,antq_cappadocian,antq_macronian|antq_mossynoecian,,P8.1;OCD;PLE;P10,contested
COM,XAE,commagene_layered_court,antq_aramaic,antq_aramaic|antq_cilician_pedian|antq_cilician_trachean|antq_comanaean|antq_leucosyrian,antq_comanaean|antq_leucosyrian,antq_cilician_pedian|antq_cilician_trachean,,P8.1;OCD;PLE;P10,contested
ISK,XAX,indo_scythian_layered_rule,antq_saka,antq_gandhari|antq_indo_aryan,antq_gandhari,antq_indo_aryan,,P8.4;CAH-XI;P10,contested
HIM,HIM,himyarite_sabaean_compact,antq_himyarite,antq_himyarite|antq_sabaean,antq_sabaean,,,UNESCO-SABA;HIMYAR-HIST;P10,contested
SAB,XBI,sabaean_himyarite_compact,antq_sabaean,antq_himyarite|antq_sabaean,antq_himyarite,,,UNESCO-SABA;HIMYAR-HIST;P10,contested
BEJ,XBH,red_sea_nile_pluralism,antq_meroitic,antq_meroitic|antq_nilotic,antq_nubian,antq_nilotic,antq_nubian,P8.5;CAH-XI;P10,contested
