vanilla_culture,controlled_locations,m4_profile_candidates,regions,sample_locations
farsi_culture,215,antq_parthian:148|antq_persian:60|antq_saka:7,Iran:215,abadeh;abadeh_tashk;abarkuh;abiz;agh_qala;aligurdaz;anar;anarak
greek_culture,195,antq_aramaic:11|antq_greek_koine:22|antq_latin:162,Anatolia:11|Balkans:22|Rome:162,adranos;ahtopol;akcasehir;akhisar;alaiye;alasehir;amorgos;anamur
muscovite,183,antq_uralic:7|antq_venedi:176,Eastern Europe:176|Finland:7,alexandrovskaya_sloboda;alikovo;arkhangelskoye_vologda;beloe;bogorodskoye_pereyaslavl;bolshaya_yakshanga;bolshoye_murashkino;bolshoye_selo
novgorodian,176,antq_uralic:6|antq_venedi:170,Eastern Europe:170|Finland:6,alferovskaya;andomsky_pogost;ashevo;babayevo;badozhsky;beloozero;belye_kresty;bereznik
mongolian_culture,170,antq_han:16|antq_xiongnu:154,China:16|Steppe:154,altan_gadas;altayn_ovor_gobi;alyanbulag;amarbayas_galang;anaa;avga;avnagar;avraga
castilian,168,antq_latin:168,Rome:168,adrada;agreda;aguilar_de_campoo;alarcon;alba_de_tormes;albacete;alcala_de_henares;alcaraz
zhongyuan_culture,157,antq_han:157,China:157,baima_daming;baofeng;biyang;changge;changshe;changtan;changyuan;chaocheng
shu_culture,156,antq_han:156,China:156,anyue;anzhou;banan;baxian;bishan;bochuan;cangxi;changning_changning
jin_culture,144,antq_han:144,China:144,anbian;anding;ansai;anyang;baideng;baoan;baoan_baoan;baode
khorezmian_culture,138,antq_bactrian:20|antq_sogdian:118,Central Asia:136|Tarim:2,aiwanj;akhsikath;akhsisek;aksu;aktas_kystagy;akto;alat;almalik_chach
danube_bavarian,136,antq_germanic:48|antq_latin:88,Germania:48|Rome:88,amberg;amstetten;andechs;austria_baden;bad_ischl;bavaria_regen;beilngries;berchtesgaden
korean_culture,134,antq_korean:134,Korea:134,aju;anak;andong;baekcheon;bonghwa;bongju;boryeong;boseong
