culture,locations,population_thousands
antq_aeduan,11,349.008
antq_allobrogian,9,348.600
antq_ambarrian,5,134.740
antq_ambianian,3,113.401
antq_andecavian,8,319.022
antq_aquitanian,5,92.778
antq_armorican,5,202.729
antq_arvernian,21,680.132
antq_atrebatian,8,253.103
antq_aulerci_cenomanian,5,173.895
antq_aulerci_diablintian,4,114.862
antq_aulerci_eburovician,6,287.631
antq_auscian,5,186.305
antq_baiocassian,6,234.645
antq_belgic,87,1914.470
antq_bellovacian,5,170.143
antq_bigerrionian,4,132.193
antq_biturigan_cubian,9,255.513
antq_cadurcian,4,167.622
antq_caletian,5,227.729
antq_carnutian,18,554.656
antq_cavaric,4,123.157
antq_ceutronian,8,180.889
antq_consorannian,3,71.627
antq_convenian,4,141.381
antq_coriosolitan,4,157.710
antq_elisycean,5,149.460
antq_elusatian,7,159.556
antq_gabalian,4,92.131
antq_helvian,6,165.743
antq_lemovician,17,559.999
antq_leucian,4,112.473
antq_ligurian,3,65.658
antq_lingonian,11,339.253
antq_mediomatrician,4,111.102
antq_morinian,4,144.518
antq_namnetian,5,205.865
antq_nervian,4,81.013
antq_nitiobrigian,3,102.650
antq_osismian,5,189.585
antq_parisian,5,200.224
antq_petrocorian,5,177.394
antq_pictonian,14,446.255
antq_redonian,5,215.050
antq_remian,5,142.282
antq_rutenian,9,321.020
antq_saluvian,9,327.734
antq_santonian,11,331.737
antq_segusiavian,10,318.740
antq_senonian,14,432.844
antq_sequanian,14,432.078
antq_suessionian,6,143.295
antq_tarbellian,3,78.855
antq_treverian,5,128.111
antq_turonian,5,189.165
antq_unellian,6,231.206
antq_veliocassian,5,265.263
antq_venetian,3,91.882
antq_viromanduian,3,125.819
antq_viviscan,6,186.385
antq_vocontian,8,170.039
antq_volcan_arecomican,6,219.324
antq_volcan_tectosagian,8,236.640
