region,macro,target_thousands,source,confidence,note
Africa,sub_saharan_africa,10000,P8.5;P12.4,contested,Kush Horn and African societies allocation
Anatolia,other_old_world,7000,P8.1;P12.4,contested,Anatolian client and regional allocation
Andes,americas,3800,P8.10;P12.4,contested,Andean allocation
Arabia,other_old_world,8000,P8.6;P12.4,contested,Arabian peninsula allocation
Balkans,other_old_world,4500,P8.1;P12.4,contested,Balkan client and regional allocation
Baltic,non_roman_europe,350,P8.7;P12.4,contested,Baltic allocation
Britain,non_roman_europe,1900,P8.7;P12.4,contested,Pre-conquest Britain allocation
Caribbean-Amazon,americas,1500,P8.10;P12.4,contested,Caribbean and Amazonian allocation
Caucasus,other_old_world,5000,P8.2;P12.4,contested,Caucasian allocation
Central Asia,central_steppe,2200,P8.8;P12.4,contested,Central Asian allocation
China,han,57671,P8.3;P12.4;BHR,secure,Han census allocation
Danube,non_roman_europe,1050,P8.7;P12.4,contested,Danubian frontier allocation
Eastern Europe,non_roman_europe,600,P8.7;P12.4,contested,Eastern European allocation
Finland,non_roman_europe,150,P8.7;P12.4,contested,Finnic allocation
Germania,non_roman_europe,3000,P8.7;P12.4,contested,Plan target for Germania
India,india,38800,P8.4;P12.4,contested,Indian regional allocation
Iran,parthia,6300,P8.2;P12.4,contested,Iranian part of Parthian target
Ireland,non_roman_europe,300,P8.7;P12.4,contested,Hibernian allocation
Japan,japan,800,P8.3;P12.4,contested,Yayoi allocation
Korea,korea,1500,P8.3;P12.4,contested,Korean allocation
Lanka,india,1200,P8.4;P12.4,contested,Lankan part of Indian subcontinental target
Levant,other_old_world,3500,P8.1;P12.4,contested,Levantine client and regional allocation
Mesoamerica,americas,6000,P8.10;P12.4,contested,Mesoamerica-heavy allocation
Mesopotamia,parthia,2700,P8.2;P12.4,contested,Mesopotamian part of Parthian target
North America,americas,1800,P8.10;P12.4,contested,North American allocation
Northern Andes,americas,900,P8.10;P12.4,contested,Northern Andean allocation
Oceania,other_old_world,1500,P8.9;P12.4,contested,Western Pacific allocation excluding intentional empties
Pontic,non_roman_europe,700,P8.7;P12.4,contested,Pontic allocation
Rome,roman_empire,47500,P8.1;P12.4,secure,Roman Empire population target
Scandinavia,non_roman_europe,450,P8.7;P12.4,contested,Scandinavian allocation
Southeast Asia,southeast_asia,4000,P8.9;P12.4,contested,Southeast Asian allocation
Steppe,central_steppe,1800,P8.8;P12.4,contested,Steppe allocation
Tarim,central_steppe,1000,P8.3;P12.4,contested,Tarim allocation
West Africa,sub_saharan_africa,2529,P8.5;P12.4,contested,West African allocation
