macro,target_thousands,min_thousands,max_thousands,source,confidence,note
world,230000,195500,264500,P12.4,contested,Global AD 1 target used by the plan
roman_empire,47500,45000,50000,P12.4,secure,Roman Empire target within plan range
han,57671,57671,57671,P12.4;BHR,secure,AD 2 Han census target
parthia,9000,8000,10000,P12.4,contested,Parthian realm target within plan range
india,40000,35000,45000,P12.4,contested,Subcontinental target within plan range
southeast_asia,4000,3000,5000,P12.4,contested,Mainland and island Southeast Asian target
korea,1500,1000,2000,P12.4,contested,Korean peninsula target within plan range
japan,800,600,1000,P12.4,contested,Yayoi Japan target within plan range
central_steppe,5000,4000,6000,P12.4,contested,Central Asia plus steppe target within plan range
sub_saharan_africa,12529,10000,15000,P12.4,contested,Sub-Saharan target within plan range
americas,14000,10000,15000,P12.4,contested,Americas target within plan range
non_roman_europe,8500,8000,12000,P12.4,contested,Non-Roman European target with Germania at 3000
other_old_world,29500,,,P12.4;CAH-XI,contested,Residual Mediterranean West Asian and Oceania allocation required to close the global total
