region,culture,religion,source,confidence,note
Africa,antq_nubian,antq_kushite_amun,P8.5;P10;P11,contested,Regional population scaffold
Anatolia,antq_greek_koine,antq_hellenic,P8.1;P10;P11,contested,Greek-Anatolian regional scaffold
Andes,antq_andean_regional,antq_andean,P8.10;P10;P11,contested,Generic non-uniform AD 1 Andean regional scaffold; Moche emerges later
Arabia,antq_arab,antq_arabian_polytheism,P8.6;P10;P11,contested,Arabian regional scaffold
Balkans,antq_greek_koine,antq_hellenic,P8.1;P10;P11,contested,Balkan regional scaffold
Baltic,antq_baltic,antq_baltic_slavic,P8.7;P10;P11,contested,Baltic regional scaffold
Britain,antq_brittonic,antq_celtic_religion,P8.7;P10;P11,contested,British regional scaffold
Caribbean-Amazon,antq_arawak,antq_caribbean,P8.10;P10;P11,contested,Caribbean-Amazonian scaffold
Caucasus,antq_armenian,antq_arsacid_zoroastrianism,P8.2;P10;P11,contested,Caucasian regional scaffold
Central Asia,antq_sogdian,antq_arsacid_zoroastrianism,P8.8;P10;P11,contested,Central Asian regional scaffold
China,antq_han,antq_chinese_state_cult,P8.3;P10;P11,secure,Han population scaffold
Danube,antq_dacian,antq_baltic_slavic,P8.7;P10;P11,contested,Danubian regional scaffold
Eastern Europe,antq_venedi,antq_baltic_slavic,P8.7;P10;P11,contested,Eastern European regional scaffold
Finland,antq_uralic,antq_finnic,P8.7;P10;P11,contested,Finnic regional scaffold
Germania,antq_germanic,antq_germanic_religion,P8.7;P10;P11,contested,Germanic regional scaffold
India,antq_indo_aryan,antq_brahmanism,P8.4;P10;P11,contested,Indian regional scaffold
Iran,antq_parthian,antq_arsacid_zoroastrianism,P8.2;P10;P11,secure,Parthian regional scaffold
Ireland,antq_gaelic,antq_celtic_religion,P8.7;P10;P11,contested,Hibernian regional scaffold
Japan,antq_wa,antq_kami,P8.3;P10;P11,contested,Yayoi regional scaffold
Korea,antq_korean,antq_korean_muism,P8.3;P10;P11,contested,Korean regional scaffold
Lanka,antq_indo_aryan,antq_theravada,P8.4;P10;P11,secure,Lankan regional scaffold
Levant,antq_aramaic,antq_hellenic,P8.1;P10;P11,contested,Levantine regional scaffold
Mesoamerica,antq_teotihuacano,antq_mesoamerican,P8.10;P10;P11,contested,Mesoamerican regional scaffold
Mesopotamia,antq_aramaic,antq_arsacid_zoroastrianism,P8.2;P10;P11,contested,Mesopotamian regional scaffold
North America,antq_algonquian,antq_north_american,P8.10;P10;P11,contested,North American regional scaffold
Northern Andes,antq_chibchan,antq_andean,P8.10;P10;P11,contested,Northern Andean regional scaffold
Oceania,antq_austronesian,antq_austronesian_religion,P8.9;P10;P11,contested,Oceania regional scaffold
Pontic,antq_sarmatian,antq_tengri,P8.7;P10;P11,contested,Pontic regional scaffold
Rome,antq_latin,antq_religio_romana,P8.1;P10;P11,secure,Roman regional scaffold
Scandinavia,antq_germanic,antq_germanic_religion,P8.7;P10;P11,contested,Scandinavian regional scaffold
Southeast Asia,antq_mon,antq_mahayana,P8.9;P10;P11,contested,Southeast Asian regional scaffold
Steppe,antq_xiongnu,antq_tengri,P8.8;P10;P11,contested,Steppe regional scaffold
Tarim,antq_bactrian,antq_mahayana,P8.3;P10;P11,contested,Tarim regional scaffold
West Africa,antq_mande,antq_west_african,P8.5;P10;P11,contested,West African regional scaffold
