religion,semantic_group,native_group,profile,slots,influence,modifiers,enable_date,source,confidence,note
antq_religio_romana,antq_classical_pagan_group,folk_european_group,mediterranean_civic,2,yes,tolerance_own=0.75;tolerance_heathen=1.00;monthly_religious_influence=0.08;maximum_religious_influence=300;monthly_legitimacy=0.03,1.1.1,P11;CAH-XI,secure,Roman civic polytheism
antq_hellenic,antq_classical_pagan_group,folk_european_group,mediterranean_civic,2,yes,tolerance_own=0.75;tolerance_heathen=1.00;monthly_religious_influence=0.08;maximum_religious_influence=300;monthly_legitimacy=0.03,1.1.1,P11;CAH-XI,secure,Greek civic polytheism
antq_early_christianity,antq_christian_group,christian,christian_missionary,3,yes,tolerance_own=1.00;tolerance_heretic=0.50;monthly_religious_influence=0.10;maximum_religious_influence=400;global_pop_conversion_speed_modifier=0.08;global_max_literacy=2,30.1.1,ANTIQVITAS master plan §9,secure,Pre-Nicene Christian communities
antq_judaism,antq_abrahamic_group,israelite_group,jewish_covenantal,2,yes,tolerance_own=1.50;tolerance_heathen=0.50;monthly_religious_influence=0.06;maximum_religious_influence=250;global_pop_conversion_speed_modifier=-0.10;monthly_legitimacy=0.02,1.1.1,P11;OCD,secure,Second Temple Judaism and diaspora
antq_arsacid_zoroastrianism,antq_iranian_religion_group,zoroastrian_group,iranian_state,2,yes,tolerance_own=1.00;tolerance_heathen=0.50;monthly_religious_influence=0.08;maximum_religious_influence=300;global_pop_conversion_speed_modifier=0.02;monthly_legitimacy=0.03,1.1.1,P11;CAH-XI,secure,Arsacid syncretic Zoroastrianism
antq_manichaeism,antq_iranian_religion_group,manichaean_group,manichaean_missionary,3,yes,tolerance_own=1.00;tolerance_heretic=1.00;monthly_religious_influence=0.10;maximum_religious_influence=350;global_pop_conversion_speed_modifier=0.10;global_max_literacy=2,240.1.1,ANTIQVITAS master plan §9; IRAN-MANI,secure,Manichaean future faith scaffold
antq_theravada,antq_buddhist_group,buddhist,buddhist_monastic,2,yes,tolerance_own=1.00;tolerance_heathen=1.00;monthly_religious_influence=0.08;maximum_religious_influence=300;global_pop_conversion_speed_modifier=0.04;global_max_literacy=2,1.1.1,P11;CAH-XI,secure,Lankan Buddhist tradition
antq_mahayana,antq_buddhist_group,buddhist,buddhist_monastic,2,yes,tolerance_own=1.00;tolerance_heathen=1.00;monthly_religious_influence=0.08;maximum_religious_influence=300;global_pop_conversion_speed_modifier=0.04;global_max_literacy=2,1.1.1,P11;CAH-XI,secure,Mahayana and Silk Road tradition
antq_brahmanism,antq_indian_religion_group,dharmic,brahmanical_ritual,2,yes,tolerance_own=1.00;tolerance_heathen=0.75;monthly_religious_influence=0.07;maximum_religious_influence=300;global_pop_conversion_speed_modifier=0.02;monthly_legitimacy=0.03,1.1.1,P11;CAH-XI,secure,Pre-Puranic Hindu tradition
antq_jainism,antq_indian_religion_group,dharmic,jain_community,2,yes,tolerance_own=1.25;tolerance_heathen=1.00;monthly_religious_influence=0.06;maximum_religious_influence=250;global_pop_conversion_speed_modifier=-0.05;global_life_expectancy=0.02,1.1.1,P11;CAH-XI,secure,Jain communities
antq_chinese_state_cult,antq_east_asian_religion_group,folk_asian_group,han_state_rites,2,yes,tolerance_own=0.75;tolerance_heathen=1.00;monthly_religious_influence=0.08;maximum_religious_influence=300;global_pop_conversion_speed_modifier=0.01;monthly_legitimacy=0.04,1.1.1,P11;BHR,secure,Confucian rites and folk cults
antq_daoism,antq_east_asian_religion_group,folk_asian_group,daoist_organized,2,yes,tolerance_own=1.00;tolerance_heathen=1.00;monthly_religious_influence=0.07;maximum_religious_influence=275;global_pop_conversion_speed_modifier=0.03;global_monthly_prosperity=0.02,142.1.1,ANTIQVITAS master plan §9; CAM-CM,secure,Daoist future organization scaffold
antq_kami,antq_east_asian_religion_group,folk_asian_group,east_asian_local,1,no,tolerance_own=0.75;tolerance_heathen=1.00;global_pop_conversion_speed_modifier=-0.05;global_monthly_food_modifier=0.01;global_monthly_prosperity=0.01,1.1.1,P11;CAH-XI,contested,Early Japanese ritual communities
antq_korean_muism,antq_east_asian_religion_group,folk_asian_group,east_asian_local,1,no,tolerance_own=0.75;tolerance_heathen=1.00;global_pop_conversion_speed_modifier=-0.05;global_monthly_food_modifier=0.01;global_monthly_prosperity=0.01,1.1.1,P11;CAH-XI,contested,Korean ritual communities
antq_tengri,antq_steppe_religion_group,folk_asian_group,steppe_sky,1,no,tolerance_own=0.75;tolerance_heathen=0.50;global_pop_conversion_speed_modifier=-0.05;land_morale_modifier=0.02,1.1.1,P11;CAH-XI,secure,Steppe sky cults
antq_bon,antq_steppe_religion_group,folk_asian_group,highland_forest_local,1,no,tolerance_own=0.75;tolerance_heathen=0.75;global_pop_conversion_speed_modifier=-0.10;global_monthly_food_modifier=0.02;global_hostile_attrition=0.02,1.1.1,P11;CAH-XI,contested,Tibetan highland traditions
antq_kemetic,antq_nile_religion_group,folk_african_group,nile_state_temple,2,yes,tolerance_own=0.75;tolerance_heathen=1.00;monthly_religious_influence=0.07;maximum_religious_influence=275;monthly_legitimacy=0.03;global_monthly_prosperity=0.02,1.1.1,P11;CAH-XI,secure,Egyptian temple religion
antq_kushite_amun,antq_nile_religion_group,folk_african_group,nile_state_temple,2,yes,tolerance_own=0.75;tolerance_heathen=1.00;monthly_religious_influence=0.07;maximum_religious_influence=275;monthly_legitimacy=0.03;global_monthly_prosperity=0.02,1.1.1,P11;CAH-XI,secure,Meroitic Kushite state cult
antq_aksumite_paganism,antq_nile_religion_group,folk_african_group,nile_state_temple,2,yes,tolerance_own=0.75;tolerance_heathen=1.00;monthly_religious_influence=0.07;maximum_religious_influence=275;monthly_legitimacy=0.03;global_monthly_prosperity=0.02,1.1.1,P11;CAH-XI,secure,Pre-conversion Aksumite religion
antq_arabian_polytheism,antq_arabian_religion_group,folk_asian_group,arabian_temple_network,2,yes,tolerance_own=0.75;tolerance_heathen=0.75;monthly_religious_influence=0.06;maximum_religious_influence=250;monthly_legitimacy=0.02;global_monthly_food_modifier=0.01,1.1.1,P11;CAH-XI,secure,Arabian cults and Kaaba tradition
antq_south_arabian_religion,antq_arabian_religion_group,folk_asian_group,arabian_temple_network,2,yes,tolerance_own=0.75;tolerance_heathen=0.75;monthly_religious_influence=0.06;maximum_religious_influence=250;monthly_legitimacy=0.02;global_monthly_food_modifier=0.01,1.1.1,P11;CAH-XI,secure,Sabaean and Himyarite cults
