location,historical_name,layer,anchor_kind,culture,source,confidence,decision,audit_flags,note
aalst,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
aarau,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
abbeville,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
acerenza,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
acqui,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
adra,Abdera,reviewed_identity,roman_identity,antq_bastetan,PLE:265762;PLN:265762/abdera;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 265762; AD 1 name resource 265762/abdera.
adrada,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
adranos,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
agde,Agatha,reviewed_identity,roman_identity,antq_elisycean,PLE:147985;PLN:147985/agatha;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 147985; AD 1 name resource 147985/agatha.
agen,Aginnum,reviewed_direct,curated,antq_latin,PLE:138169,secure,reviewed_override,,Pleiades exact Aginnum settlement point at 44.20491 0.62001; reviewed against the installed Agen location
agramunt,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
agreda,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
aguiar,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
aguilar_de_campoo,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
aignay,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
ainsa,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
aire,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
