location,culture,historical_name,source,confidence,note
adra,antq_bastetan,Abdera,PLE:265762;PLN:265762/abdera;R2,tier2,Reviewed modern-field identity for Pleiades place 265762; AD 1 name resource 265762/abdera.
agde,antq_elisycean,Agatha,PLE:147985;PLN:147985/agatha;R2,tier2,Reviewed modern-field identity for Pleiades place 147985; AD 1 name resource 147985/agatha.
aix_en_provence,antq_saluvian,Aquae Sextiae,PLE:148053;PLN:148053/col-aquae-sextiae;R2,tier2,Reviewed modern-field identity for Pleiades place 148053; AD 1 name resource 148053/col-aquae-sextiae.
akhisar,antq_lydian,Thyateira,PLE:550924;PLN:550924/thyateira;R2,tier2,Reviewed modern-field identity for Pleiades place 550924; AD 1 name resource 550924/thyateira.
aksaray,antq_cataonian,Archelais,PLE:619164;PLN:619164/col-claudia-archelais;R2,tier2,Reviewed modern-field identity for Pleiades place 619164; AD 1 name resource 619164/col-claudia-archelais.
alasehir,antq_ionian,Philadelpheia,PLE:550822;PLN:550822/philadelpheia;R2,tier2,Pleiades explicitly associates place 550822 with this modern field; AD 1 name resource 550822/philadelpheia.
alba,antq_cisalpine_gallic,Alba Pompeia,PLE:383564;PLN:383564/alba-pompeia;R2,tier2,Pleiades explicitly associates place 383564 with this modern field; AD 1 name resource 383564/alba-pompeia.
albenga,antq_ligurian,Albingaunum,PLE:157803;PLN:157803/albingaunum;R2,tier2,Reviewed modern-field identity for Pleiades place 157803; AD 1 name resource 157803/albingaunum.
albi,antq_rutenian,Albiga,PLE:246155;PLN:246155/albiga;R2,tier2,Reviewed modern-field identity for Pleiades place 246155; AD 1 name resource 246155/albiga.
aleria,antq_ligurian,Aleria,PLE:472048;PLN:472048/aleria;R2,tier2,Reviewed modern-field identity for Pleiades place 472048; AD 1 name resource 472048/aleria.
algeciras,antq_turdetanian,Iulia Traducta,PLE:256235;PLN:256235/iulia-traducta;R2,tier2,Pleiades explicitly associates place 256235 with this modern field; AD 1 name resource 256235/iulia-traducta.
almunecar,antq_bastetan,Sexi,PLE:266038;PLN:266038/sexi;R2,tier2,Reviewed modern-field identity for Pleiades place 266038; AD 1 name resource 266038/sexi.
andros,antq_greek_koine,Andros,PLE:589692;PLN:589692/andros;R2,tier2,Reviewed modern-field identity for Pleiades place 589692; AD 1 name resource 589692/andros.
angers,antq_andecavian,Iuliomagus,PLE:138400;PLN:138400/iuliomagus;R2,tier2,Reviewed modern-field identity for Pleiades place 138400; AD 1 name resource 138400/iuliomagus.
arlon,antq_belgic,Orolaunum,PLE:109232;PLN:109232/orolaunum;R2,tier2,Reviewed modern-field identity for Pleiades place 109232; AD 1 name resource 109232/orolaunum.
