location,culture,historical_name,pleiades_id,name_id,match_basis,offset_px,note
adra,antq_bastetan,Abdera,265762,abdera,reviewed_exact_identity,9.49,Reviewed modern-field identity for Pleiades place 265762; AD 1 name resource 265762/abdera.
agde,antq_elisycean,Agatha,147985,agatha,reviewed_exact_identity,10.75,Reviewed modern-field identity for Pleiades place 147985; AD 1 name resource 147985/agatha.
aix_en_provence,antq_saluvian,Aquae Sextiae,148053,col-aquae-sextiae,reviewed_exact_identity,17.55,Reviewed modern-field identity for Pleiades place 148053; AD 1 name resource 148053/col-aquae-sextiae.
akhisar,antq_lydian,Thyateira,550924,thyateira,reviewed_exact_identity,14.84,Reviewed modern-field identity for Pleiades place 550924; AD 1 name resource 550924/thyateira.
aksaray,antq_cataonian,Archelais,619164,col-claudia-archelais,reviewed_exact_identity,12.10,Reviewed modern-field identity for Pleiades place 619164; AD 1 name resource 619164/col-claudia-archelais.
alasehir,antq_ionian,Philadelpheia,550822,philadelpheia,reviewed_explicit_modern_identity,18.96,Pleiades explicitly associates place 550822 with this modern field; AD 1 name resource 550822/philadelpheia.
alba,antq_cisalpine_gallic,Alba Pompeia,383564,alba-pompeia,reviewed_explicit_modern_identity,20.50,Pleiades explicitly associates place 383564 with this modern field; AD 1 name resource 383564/alba-pompeia.
albenga,antq_ligurian,Albingaunum,157803,albingaunum,reviewed_exact_identity,14.00,Reviewed modern-field identity for Pleiades place 157803; AD 1 name resource 157803/albingaunum.
albi,antq_rutenian,Albiga,246155,albiga,reviewed_exact_identity,19.30,Reviewed modern-field identity for Pleiades place 246155; AD 1 name resource 246155/albiga.
aleria,antq_ligurian,Aleria,472048,aleria,reviewed_exact_identity,6.37,Reviewed modern-field identity for Pleiades place 472048; AD 1 name resource 472048/aleria.
algeciras,antq_turdetanian,Iulia Traducta,256235,iulia-traducta,reviewed_explicit_modern_identity,8.77,Pleiades explicitly associates place 256235 with this modern field; AD 1 name resource 256235/iulia-traducta.
almunecar,antq_bastetan,Sexi,266038,sexi,reviewed_exact_identity,9.22,Reviewed modern-field identity for Pleiades place 266038; AD 1 name resource 266038/sexi.
andros,antq_greek_koine,Andros,589692,andros,reviewed_exact_identity,15.41,Reviewed modern-field identity for Pleiades place 589692; AD 1 name resource 589692/andros.
angers,antq_andecavian,Iuliomagus,138400,iuliomagus,reviewed_exact_identity,14.69,Reviewed modern-field identity for Pleiades place 138400; AD 1 name resource 138400/iuliomagus.
arlon,antq_belgic,Orolaunum,109232,orolaunum,reviewed_exact_identity,5.77,Reviewed modern-field identity for Pleiades place 109232; AD 1 name resource 109232/orolaunum.
arras,antq_atrebatian,Nemetacum,109194,nemetacum,reviewed_exact_identity,5.82,Reviewed modern-field identity for Pleiades place 109194; AD 1 name resource 109194/nemetacum.
arta,antq_greek_koine,Ambracia,530794,ambracia,reviewed_exact_identity,10.62,Reviewed modern-field identity for Pleiades place 530794; AD 1 name resource 530794/ambracia.
assisi,antq_oscan_umbrian,Asisium,413037,asisium,reviewed_exact_identity,11.32,Reviewed modern-field identity for Pleiades place 413037; AD 1 name resource 413037/asisium.
asti,antq_cisalpine_gallic,Hasta,383669,hasta,reviewed_exact_identity,11.27,Reviewed modern-field identity for Pleiades place 383669; AD 1 name resource 383669/hasta.
asyut,antq_egyptian,Lykopolis,756593,lykopolis,reviewed_exact_identity,16.14,Reviewed modern-field identity for Pleiades place 756593; AD 1 name resource 756593/lykopolis.
auch,antq_auscian,Elimberrum,246379,elimberrum,reviewed_exact_identity,15.04,Reviewed modern-field identity for Pleiades place 246379; AD 1 name resource 246379/elimberrum.
auxerre,antq_senonian,Autessiodurum,138206,autessiodurum,reviewed_exact_identity,13.82,Reviewed modern-field identity for Pleiades place 138206; AD 1 name resource 138206/autessiodurum.
avallon,antq_senonian,Aballo,177427,aballo,reviewed_exact_identity,5.83,Reviewed modern-field identity for Pleiades place 177427; AD 1 name resource 177427/aballo.
avignon,antq_cavaric,Avennio,148004,avennio,reviewed_exact_identity,20.21,Reviewed modern-field identity for Pleiades place 148004; AD 1 name resource 148004/avennio.
avranches,antq_unellian,Ingena,69518,ingena,reviewed_explicit_modern_identity,14.98,Pleiades explicitly associates place 69518 with this modern field; AD 1 name resource 69518/ingena.
baeza,antq_oretan,Vivatia,266099,vivatia,reviewed_explicit_modern_identity,9.53,Pleiades explicitly associates place 266099 with this modern field; AD 1 name resource 266099/vivatia.
balat,antq_ionian,Miletus,599799,miletus,reviewed_exact_identity,7.84,Reviewed modern-field identity for Pleiades place 599799; AD 1 name resource 599799/miletus.
bar_sur_aube,antq_belgic,Segessera,109335,segessera,reviewed_exact_identity,8.24,Reviewed modern-field identity for Pleiades place 109335; AD 1 name resource 109335/segessera.
barcelona,antq_lacetanian,Barcino,246343,col-barcino,reviewed_exact_identity,15.98,Reviewed modern-field identity for Pleiades place 246343; AD 1 name resource 246343/col-barcino.
barletta,antq_oscan_umbrian,Barduli,442498,barduli,reviewed_exact_identity,7.02,Reviewed modern-field identity for Pleiades place 442498; AD 1 name resource 442498/barduli.
bayeux,antq_baiocassian,Augustodurum,69471,augustodurum,reviewed_exact_identity,16.85,Reviewed modern-field identity for Pleiades place 69471; AD 1 name resource 69471/augustodurum.
beauvais,antq_bellovacian,Caesaromagus,108844,caesaromagus,reviewed_exact_identity,9.50,Reviewed modern-field identity for Pleiades place 108844; AD 1 name resource 108844/caesaromagus.
belgrad,antq_pannonian,Singidunum,207443,singidunum,reviewed_exact_identity,29.92,Reviewed modern-field identity for Pleiades place 207443; AD 1 name resource 207443/singidunum.
bellinzona,antq_cisalpine_gallic,Bilitio,187317,bilitio,reviewed_explicit_modern_identity,7.75,Pleiades explicitly associates place 187317 with this modern field; AD 1 name resource 187317/bilitio.
