location,culture,historical_name,source,confidence,note
abingdon,antq_british_atrebatic,Durocornovium,PLE:79435;PLN:79435/durocornovium;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 79435/durocornovium; nearest installed city field at 11.74px; far lower-confidence map proxy.
abiward,antq_parthian,Bivard,PLE:952058;PLN:952058/bivard;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 952058/bivard; nearest installed city field at 9.01px; far lower-confidence map proxy.
adranos,antq_greek_koine,Hadrianeia,PLE:609395;PLN:609395/hadrianeia;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 609395/hadrianeia; nearest installed city field at 7.97px; far lower-confidence map proxy.
afsin,antq_leucosyrian,Maroga,PLE:629033;PLN:629033/maroga;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 629033/maroga; nearest installed city field at 8.49px; far lower-confidence map proxy.
agde,antq_elisycean,Agatha,PLE:147985;PLN:147985/agatha;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 147985/agatha; nearest installed city field at 10.75px; far lower-confidence map proxy.
agramunt,antq_ceretanian,Iessos,PLE:246428;PLN:246428/iessos;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 246428/iessos; nearest installed city field at 9.59px; far lower-confidence map proxy.
aguilar_de_campoo,antq_vaccaean,Pisoraca,PLE:236603;PLN:236603/pisoraca;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 236603/pisoraca; nearest installed city field at 8.73px; far lower-confidence map proxy.
ahtopol,antq_odrysian,Bizye,PLE:511190;PLN:511190/bizye;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 511190/bizye; nearest installed city field at 11.03px; far lower-confidence map proxy.
aignay,antq_senonian,Mediolanum,PLE:177578;PLN:177578/mediolanum;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 177578/mediolanum; nearest installed city field at 6.71px; far lower-confidence map proxy.
ainsa,antq_ilergetian,Boletum,PLE:246253;PLN:246253/boletum;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 246253/boletum; nearest installed city field at 9.45px; far lower-confidence map proxy.
ajaccio,antq_ligurian,Agiation,PLE:472047;PLN:472047/agiation;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 472047/agiation; nearest installed city field at 6.70px; far lower-confidence map proxy.
akdagmadeni,antq_macronian,Agranai,PLE:628919;PLN:628919/agranai;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 628919/agranai; nearest installed city field at 11.09px; far lower-confidence map proxy.
akhtar,antq_sarmatian,Azara,PLE:825235;PLN:825235/azara;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 825235/azara; nearest installed city field at 6.56px; far lower-confidence map proxy.
akre,antq_aramaic,Gaugamela,PLE:874478;PLN:874478/gaugamela;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 874478/gaugamela; nearest installed city field at 8.50px; far lower-confidence map proxy.
akyazi,antq_bithynian,Cenon Gallicanon,PLE:844891;PLN:844891/cenon-gallicanon;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 844891/cenon-gallicanon; nearest installed city field at 9.41px; far lower-confidence map proxy.
al_bab,antq_parthian,Batnai,PLE:658406;PLN:658406/batnai;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 658406/batnai; nearest installed city field at 7.33px; far lower-confidence map proxy.
al_bayda,antq_greek_koine,Lasamices,PLE:373838;PLN:373838/lasamices;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 373838/lasamices; nearest installed city field at 10.65px; far lower-confidence map proxy.
al_bayda_yemen,antq_himyarite,Caripeta,PLE:39324;PLN:39324/caripeta;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 39324/caripeta; nearest installed city field at 9.83px; far lower-confidence map proxy.
al_hirda,antq_sabaean,Akme,PLE:39280;PLN:39280/akme;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 39280/akme; nearest installed city field at 10.63px; far lower-confidence map proxy.
al_mandab,antq_himyarite,Meda,PLE:39383;PLN:39383/meda;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 39383/meda; nearest installed city field at 9.97px; far lower-confidence map proxy.
al_marwa,antq_arab,Ausara,PLE:814660;PLN:814660/ausara;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 814660/ausara; nearest installed city field at 6.91px; far lower-confidence map proxy.
al_ukhaydir,antq_arab,Achroua,PLE:814647;PLN:814647/achroua;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 814647/achroua; nearest installed city field at 10.17px; far lower-confidence map proxy.
al_ula,antq_arab,Egra,PLE:814675;PLN:814675/egra;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 814675/egra; nearest installed city field at 9.31px; far lower-confidence map proxy.
alasehir,antq_ionian,Anineta,PLE:599493;PLN:599493/anineta;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 599493/anineta; nearest installed city field at 7.30px; far lower-confidence map proxy.
alba_de_aliste,antq_celtiberian,Ocelum Duri,PLE:236577;PLN:236577/ocelum-duri;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 236577/ocelum-duri; nearest installed city field at 7.12px; far lower-confidence map proxy.
albacete,antq_iberian,Salika,PLE:266023;PLN:266023/salika;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 266023/salika; nearest installed city field at 10.25px; far lower-confidence map proxy.
alcacer_do_sal,antq_lusitanian,Salacia Imperatoria,PLE:256414;PLN:256414/salacia-imperatoria;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 256414/salacia-imperatoria; nearest installed city field at 10.56px; far lower-confidence map proxy.
alcaniz,antq_sedetanian,Lassira,PLE:246462;PLN:246462/lassira;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 246462/lassira; nearest installed city field at 7.75px; far lower-confidence map proxy.
alcantara,antq_vettonian,Tongobriga,PLE:256473;PLN:256473/tongobriga;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 256473/tongobriga; nearest installed city field at 9.84px; far lower-confidence map proxy.
alcoy,antq_contestanian,Iaspis,PLE:265917;PLN:265917/iaspis;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 265917/iaspis; nearest installed city field at 7.99px; far lower-confidence map proxy.
aleria,antq_ligurian,Aleria,PLE:472048;PLN:472048/aleria;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 472048/aleria; nearest installed city field at 6.37px; far lower-confidence map proxy.
alghero,antq_nuragic,Bosa,PLE:471895;PLN:471895/bosa;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 471895/bosa; nearest installed city field at 9.95px; far lower-confidence map proxy.
alhambra_location,antq_celtiberian,Mariana,PLE:265965;PLN:265965/mariana;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 265965/mariana; nearest installed city field at 9.00px; far lower-confidence map proxy.
allegre,antq_arvernian,Rouession,PLE:167887;PLN:167887/rouession;T2F,tier2,Far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 167887/rouession; nearest installed city field at 7.78px; far lower-confidence map proxy.
