location,culture,historical_name,source,confidence,note
andritsaina,antq_greek_koine,Kyparissia,PLE:570397;PLN:570397/kyparissia;T2,tier2,Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 570397/kyparissia; nearest installed city field at 1.31px; lower-confidence map proxy.
arcos_de_la_frontera,antq_turdetanian,Saguntia,PLE:256412;PLN:256412/saguntia;T2,tier2,Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 256412/saguntia; nearest installed city field at 1.09px; lower-confidence map proxy.
ariano,antq_latin,Vescellani,PLE:442849;PLN:442849/vescellani;T2,tier2,Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 442849/vescellani; nearest installed city field at 1.19px; lower-confidence map proxy.
atalanti,antq_greek_koine,Alalkomenai,PLE:540619;PLN:540619/alalkomenai;T2,tier2,Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 540619/alalkomenai; nearest installed city field at 1.27px; lower-confidence map proxy.
bauge,antq_andecavian,Carnona,PLE:138271;PLN:138271/carnona;T2,tier2,Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 138271/carnona; nearest installed city field at 1.42px; lower-confidence map proxy.
bekarlar,antq_cappadocian,Nora,PLE:619221;PLN:619221/nora;T2,tier2,Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 619221/nora; nearest installed city field at 1.45px; lower-confidence map proxy.
bitburg,antq_istvaeonic,Beda,PLE:108798;PLN:108798/beda;T2,tier2,Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 108798/beda; nearest installed city field at 1.49px; lower-confidence map proxy.
bolzano,antq_rhaetic,Salurnis,PLE:187536;PLN:187536/salurnis;T2,tier2,Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 187536/salurnis; nearest installed city field at 1.21px; lower-confidence map proxy.
bonndorf,antq_suebian,Tenedo,PLE:177639;PLN:177639/tenedo;T2,tier2,Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 177639/tenedo; nearest installed city field at 0.74px; lower-confidence map proxy.
breno,antq_cisalpine_gallic,Civitas Camunnorum,PLE:383617;PLN:383617/civitas-camunnorum;T2,tier2,Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 383617/civitas-camunnorum; nearest installed city field at 1.37px; lower-confidence map proxy.
calvi,antq_ligurian,Palania,PLE:472109;PLN:472109/palania;T2,tier2,Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 472109/palania; nearest installed city field at 1.21px; lower-confidence map proxy.
camerino,antq_oscan_umbrian,Septempeda,PLE:413314;PLN:413314/septempeda;T2,tier2,Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 413314/septempeda; nearest installed city field at 1.22px; lower-confidence map proxy.
candia,antq_greek_koine,Alonion,PLE:589721;PLN:589721/alonion;T2,tier2,Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 589721/alonion; nearest installed city field at 1.22px; lower-confidence map proxy.
corte,antq_ligurian,Talkinon,PLE:472133;PLN:472133/talkinon;T2,tier2,Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 472133/talkinon; nearest installed city field at 0.89px; lower-confidence map proxy.
ejea_de_los_caballeros,antq_iacetanian,Allobo,PLE:246158;PLN:246158/allobo;T2,tier2,Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 246158/allobo; nearest installed city field at 0.59px; lower-confidence map proxy.
el_fahs,antq_phoenician_punic,Muzuc,PLE:315088;PLN:315088/muzuc;T2,tier2,Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 315088/muzuc; nearest installed city field at 1.15px; lower-confidence map proxy.
el_kef,antq_phoenician_punic,Tituli,PLE:324836;PLN:324836/tituli;T2,tier2,Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 324836/tituli; nearest installed city field at 1.19px; lower-confidence map proxy.
elassona,antq_greek_koine,Ereikinion,PLE:540766;PLN:540766/ereikinion;T2,tier2,Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 540766/ereikinion; nearest installed city field at 1.09px; lower-confidence map proxy.
eretreia,antq_greek_koine,Schedia,PLE:541090;PLN:541090/schedia;T2,tier2,Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 541090/schedia; nearest installed city field at 1.15px; lower-confidence map proxy.
friesach,antq_noric,Virunum,PLE:197583;PLN:197583/virunum;T2,tier2,Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 197583/virunum; nearest installed city field at 0.93px; lower-confidence map proxy.
fuwa,antq_egyptian,Metelis,PLE:727163;PLN:727163/metelis;T2,tier2,Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 727163/metelis; nearest installed city field at 1.42px; lower-confidence map proxy.
