location,culture,historical_name,source,confidence,note
aachen,antq_istvaeonic,Aquae Granni,PLE:108749;PLN:108749/aquae-granni;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 108749/aquae-granni; nearest installed city field at 5.65px; remote lower-confidence map proxy.
acerenza,antq_oscan_umbrian,Acheruntia,PLE:442436;PLN:442436/acheruntia;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 442436/acheruntia; nearest installed city field at 4.57px; remote lower-confidence map proxy.
adrada,antq_celtiberian,Caesarobriga,PLE:265834;PLN:265834/caesarobriga;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 265834/caesarobriga; nearest installed city field at 3.82px; remote lower-confidence map proxy.
agham_kot,antq_indo_aryan,Barbarikon,PLE:59734;PLN:59734/barbarikon;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 59734/barbarikon; nearest installed city field at 5.56px; remote lower-confidence map proxy.
aire,antq_elusatian,Beneharnum,PLE:246237;PLN:246237/beneharnum;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 246237/beneharnum; nearest installed city field at 4.57px; remote lower-confidence map proxy.
aiud,antq_dacian,Blandiana,PLE:206970;PLN:206970/blandiana;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 206970/blandiana; nearest installed city field at 3.59px; remote lower-confidence map proxy.
ajim,antq_phoenician_punic,Gidaphta,PLE:344379;PLN:344379/gidaphta;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 344379/gidaphta; nearest installed city field at 5.89px; remote lower-confidence map proxy.
akcasehir,antq_bithynian,Prusias ad Hypium,PLE:845049;PLN:845049/prusias-ad-hypium;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 845049/prusias-ad-hypium; nearest installed city field at 4.50px; remote lower-confidence map proxy.
aksehir,antq_homonadean,Philomelion,PLE:609501;PLN:609501/philomelion;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 609501/philomelion; nearest installed city field at 5.19px; remote lower-confidence map proxy.
al_arah,antq_himyarite,Saraka,PLE:39424;PLN:39424/saraka;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 39424/saraka; nearest installed city field at 3.41px; remote lower-confidence map proxy.
al_quwayrah,antq_parthian,Aramaua,PLE:746712;PLN:746712/aramaua;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 746712/aramaua; nearest installed city field at 4.91px; remote lower-confidence map proxy.
albuquerque,antq_lusitanian,Budua,PLE:256033;PLN:256033/budua;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 256033/budua; nearest installed city field at 5.50px; remote lower-confidence map proxy.
alcobaca,antq_lusitanian,Eburobrittium,PLE:256153;PLN:256153/eburobrittium;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 256153/eburobrittium; nearest installed city field at 3.95px; remote lower-confidence map proxy.
ales,antq_nuragic,Aquae Calidae Neapolitanorum,PLE:471882;PLN:471882/aquae-calidae-neapolitanorum;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 471882/aquae-calidae-neapolitanorum; nearest installed city field at 4.45px; remote lower-confidence map proxy.
alessandria,antq_cisalpine_gallic,Aquae Statiellae,PLE:383574;PLN:383574/aquae-statiellae;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 383574/aquae-statiellae; nearest installed city field at 5.35px; remote lower-confidence map proxy.
algeciras,antq_turdetanian,Mellaria,PLE:256293;PLN:256293/mellaria;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 256293/mellaria; nearest installed city field at 4.09px; remote lower-confidence map proxy.
altamura,antq_oscan_umbrian,Blera,PLE:442507;PLN:442507/blera;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 442507/blera; nearest installed city field at 3.71px; remote lower-confidence map proxy.
amorgos,antq_greek_koine,Anaphe,PLE:599491;PLN:599491/anaphe;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 599491/anaphe; nearest installed city field at 4.81px; remote lower-confidence map proxy.
an_nil,antq_aramaic,Kish,PLE:894028;PLN:894028/kish;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 894028/kish; nearest installed city field at 3.90px; remote lower-confidence map proxy.
anana,antq_caristian,Libia,PLE:246469;PLN:246469/libia;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 246469/libia; nearest installed city field at 4.28px; remote lower-confidence map proxy.
andujar,antq_oretan,Urgao,PLE:266087;PLN:266087/urgao;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 266087/urgao; nearest installed city field at 3.90px; remote lower-confidence map proxy.
angouleme,antq_santonian,Sarrum,PLE:138576;PLN:138576/sarrum;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 138576/sarrum; nearest installed city field at 4.76px; remote lower-confidence map proxy.
annecy,antq_ceutronian,Voludnia,PLE:167979;PLN:167979/voludnia;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 167979/voludnia; nearest installed city field at 3.26px; remote lower-confidence map proxy.
apt,antq_cavaric,Col. Aquae Sextiae,PLE:148053;PLN:148053/col-aquae-sextiae;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 148053/col-aquae-sextiae; nearest installed city field at 5.00px; remote lower-confidence map proxy.
arak,antq_parthian,Gennaes,PLE:668251;PLN:668251/gennaes;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 668251/gennaes; nearest installed city field at 3.66px; remote lower-confidence map proxy.
ares_del_maestre,antq_iberian,Sebelaci,PLE:266034;PLN:266034/sebelaci;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 266034/sebelaci; nearest installed city field at 3.52px; remote lower-confidence map proxy.
arlon,antq_belgic,Orolaunum,PLE:109232;PLN:109232/orolaunum;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 109232/orolaunum; nearest installed city field at 5.77px; remote lower-confidence map proxy.
arras,antq_atrebatian,Nemetacum,PLE:109194;PLN:109194/nemetacum;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 109194/nemetacum; nearest installed city field at 5.82px; remote lower-confidence map proxy.
artah,antq_parthian,Gephyra,PLE:658472;PLN:658472/gephyra;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 658472/gephyra; nearest installed city field at 4.93px; remote lower-confidence map proxy.
asadabad,antq_median,Kangavar,PLE:903054;PLN:903054/kangavar;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 903054/kangavar; nearest installed city field at 4.00px; remote lower-confidence map proxy.
assisi,antq_oscan_umbrian,Tadinae,PLE:413330;PLN:413330/tadinae;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 413330/tadinae; nearest installed city field at 5.09px; remote lower-confidence map proxy.
asti,antq_cisalpine_gallic,Alba Pompeia,PLE:383564;PLN:383564/alba-pompeia;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 383564/alba-pompeia; nearest installed city field at 3.53px; remote lower-confidence map proxy.
atpazari,antq_greek_koine,Prindea,PLE:511376;PLN:511376/prindea;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 511376/prindea; nearest installed city field at 3.84px; remote lower-confidence map proxy.
atri,antq_oscan_umbrian,Castrum Truentinum,PLE:413074;PLN:413074/castrum-truentinum;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 413074/castrum-truentinum; nearest installed city field at 4.25px; remote lower-confidence map proxy.
aulnay,antq_pictonian,Sermanicomago,PLE:138585;PLN:138585/sermanicomago;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 138585/sermanicomago; nearest installed city field at 4.31px; remote lower-confidence map proxy.
avallon,antq_senonian,Aballo,PLE:177427;PLN:177427/aballo;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 177427/aballo; nearest installed city field at 5.83px; remote lower-confidence map proxy.
babadag,antq_thracian,Vicus Ulmetensium,PLE:217056;PLN:217056/vicus-ulmetensium;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 217056/vicus-ulmetensium; nearest installed city field at 4.56px; remote lower-confidence map proxy.
baeza,antq_oretan,Castulo,PLE:265855;PLN:265855/castulo;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 265855/castulo; nearest installed city field at 4.56px; remote lower-confidence map proxy.
balad,antq_aramaic,Vicat,PLE:874746;PLN:874746/vicat;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 874746/vicat; nearest installed city field at 5.15px; remote lower-confidence map proxy.
balat,antq_ionian,Panormos,PLE:599863;PLN:599863/panormos;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 599863/panormos; nearest installed city field at 4.09px; remote lower-confidence map proxy.
balikesir,antq_greek_koine,Hiera Germe,PLE:550577;PLN:550577/hiera-germe;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 550577/hiera-germe; nearest installed city field at 4.68px; remote lower-confidence map proxy.
banaz,antq_mysian,Pepouza,PLE:614797;PLN:614797/pepouza;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 614797/pepouza; nearest installed city field at 5.12px; remote lower-confidence map proxy.
baniyas,antq_parthian,Carne,PLE:668223;PLN:668223/carne;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 668223/carne; nearest installed city field at 5.82px; remote lower-confidence map proxy.
bar_cg,antq_pleraean,Vicinium,PLE:481931;PLN:481931/vicinium;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 481931/vicinium; nearest installed city field at 4.43px; remote lower-confidence map proxy.
baraqish,antq_himyarite,Karna,PLE:39357;PLN:39357/karna;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 39357/karna; nearest installed city field at 4.51px; remote lower-confidence map proxy.
barcarrota,antq_lusitanian,Seria,PLE:256444;PLN:256444/seria;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 256444/seria; nearest installed city field at 3.53px; remote lower-confidence map proxy.
barletta,antq_oscan_umbrian,Turenum,PLE:442833;PLN:442833/turenum;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 442833/turenum; nearest installed city field at 4.89px; remote lower-confidence map proxy.
bastia,antq_ligurian,Kanelate,PLE:472078;PLN:472078/kanelate;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 472078/kanelate; nearest installed city field at 4.19px; remote lower-confidence map proxy.
batumi,antq_colchian,Bathys Limen,PLE:857060;PLN:857060/bathys-limen;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 857060/bathys-limen; nearest installed city field at 4.75px; remote lower-confidence map proxy.
bavaria_regen,antq_suebian,Agiria,PLE:246151;PLN:246151/agiria;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 246151/agiria; nearest installed city field at 4.82px; remote lower-confidence map proxy.
bazer_sakhra,antq_phoenician_punic,Nicivibus,PLE:334600;PLN:334600/nicivibus;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 334600/nicivibus; nearest installed city field at 4.33px; remote lower-confidence map proxy.
beaune,antq_lingonian,Cabilonnum,PLE:177485;PLN:177485/cabilonnum;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 177485/cabilonnum; nearest installed city field at 4.92px; remote lower-confidence map proxy.
bela,antq_saka,Arbis,PLE:59675;PLN:59675/arbis;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 59675/arbis; nearest installed city field at 4.86px; remote lower-confidence map proxy.
belalcazar,antq_lusitanian,Mellaria,PLE:256292;PLN:256292/mellaria;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 256292/mellaria; nearest installed city field at 5.26px; remote lower-confidence map proxy.
belfort,antq_germanic,Epamanduodurum,PLE:177516;PLN:177516/epamanduodurum;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 177516/epamanduodurum; nearest installed city field at 5.17px; remote lower-confidence map proxy.
beypazari,antq_tolistobogian,Lagania,PLE:609447;PLN:609447/lagania;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 609447/lagania; nearest installed city field at 4.65px; remote lower-confidence map proxy.
beziers,antq_elisycean,Col. Baeterrae,PLE:148056;PLN:148056/col-baeterrae;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 148056/col-baeterrae; nearest installed city field at 5.42px; remote lower-confidence map proxy.
bigadic,antq_greek_koine,Hyssa,PLE:550589;PLN:550589/hyssa;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 550589/hyssa; nearest installed city field at 3.38px; remote lower-confidence map proxy.
bihac,antq_illyrian,Raetinium,PLE:197466;PLN:197466/raetinium;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 197466/raetinium; nearest installed city field at 4.73px; remote lower-confidence map proxy.
birgi,antq_ionian,Larisa,PLE:599749;PLN:599749/larisa;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 599749/larisa; nearest installed city field at 5.90px; remote lower-confidence map proxy.
bodonitsa,antq_greek_koine,Neon,PLE:541152;PLN:541152/neon;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 541152/neon; nearest installed city field at 4.00px; remote lower-confidence map proxy.
bojano,antq_oscan_umbrian,Fagifulae,PLE:432827;PLN:432827/fagifulae;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 432827/fagifulae; nearest installed city field at 4.04px; remote lower-confidence map proxy.
bolvadin,antq_homonadean,Aurokra,PLE:609332;PLN:609332/aurokra;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 609332/aurokra; nearest installed city field at 5.05px; remote lower-confidence map proxy.
borazjan,antq_persian,Taoke,PLE:922626;PLN:922626/taoke;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 922626/taoke; nearest installed city field at 3.31px; remote lower-confidence map proxy.
brac,antq_delmatian,Pharus,PLE:197433;PLN:197433/pharus;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 197433/pharus; nearest installed city field at 3.94px; remote lower-confidence map proxy.
bracciano,antq_latin,Nepet,PLE:413224;PLN:413224/nepet;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 413224/nepet; nearest installed city field at 5.59px; remote lower-confidence map proxy.
brashk,antq_nubian,Tigava Municipium,PLE:295358;PLN:295358/tigava-municipium;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 295358/tigava-municipium; nearest installed city field at 5.97px; remote lower-confidence map proxy.
brecknock,antq_silurian,Cicutio,PLE:79389;PLN:79389/cicutio;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 79389/cicutio; nearest installed city field at 4.11px; remote lower-confidence map proxy.
brosse,antq_lemovician,Andecamulum,PLE:138178;PLN:138178/andecamulum;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 138178/andecamulum; nearest installed city field at 5.64px; remote lower-confidence map proxy.
bruchsal,antq_suebian,Vicus Senotensis,PLE:119031;PLN:119031/vicus-senotensis;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 119031/vicus-senotensis; nearest installed city field at 5.33px; remote lower-confidence map proxy.
buckingham,antq_catuvellaunian,Lactodorum,PLE:79552;PLN:79552/lactodorum;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 79552/lactodorum; nearest installed city field at 5.95px; remote lower-confidence map proxy.
burdur,antq_cabalian,Kormasa,PLE:638936;PLN:638936/kormasa;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 638936/kormasa; nearest installed city field at 3.76px; remote lower-confidence map proxy.
burgo_de_osma,antq_arevacian,Termes,PLE:246688;PLN:246688/termes;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 246688/termes; nearest installed city field at 3.81px; remote lower-confidence map proxy.
burraq,antq_parthian,Sauara,PLE:678376;PLN:678376/sauara;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 678376/sauara; nearest installed city field at 4.43px; remote lower-confidence map proxy.
bury,antq_icenian,Camborico,PLE:79369;PLN:79369/camborico;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 79369/camborico; nearest installed city field at 5.64px; remote lower-confidence map proxy.
buwat,antq_arab,Alouare,PLE:814651;PLN:814651/alouare;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 814651/alouare; nearest installed city field at 4.67px; remote lower-confidence map proxy.
buzet,antq_illyrian,Piquentum,PLE:197438;PLN:197438/piquentum;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 197438/piquentum; nearest installed city field at 5.64px; remote lower-confidence map proxy.
caen,antq_baiocassian,Aregenoua,PLE:69468;PLN:69468/aregenoua;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 69468/aregenoua; nearest installed city field at 5.37px; remote lower-confidence map proxy.
caltanisetta,antq_greek_koine,Cosconiana,PLE:462166;PLN:462166/cosconiana;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 462166/cosconiana; nearest installed city field at 5.32px; remote lower-confidence map proxy.
cambrai,antq_atrebatian,Camaracum,PLE:108850;PLN:108850/camaracum;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 108850/camaracum; nearest installed city field at 4.02px; remote lower-confidence map proxy.
campagna,antq_latin,Eburum,PLE:442572;PLN:442572/eburum;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 442572/eburum; nearest installed city field at 4.55px; remote lower-confidence map proxy.
can,antq_greek_koine,Thebe,PLE:550919;PLN:550919/thebe;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 550919/thebe; nearest installed city field at 4.93px; remote lower-confidence map proxy.
canakkale,antq_greek_koine,Skamandreia,PLE:550888;PLN:550888/skamandreia;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 550888/skamandreia; nearest installed city field at 4.40px; remote lower-confidence map proxy.
cardiff,antq_silurian,Bomio,PLE:79335;PLN:79335/bomio;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 79335/bomio; nearest installed city field at 5.06px; remote lower-confidence map proxy.
carmarthen,antq_demetian,Moridunum,PLE:79602;PLN:79602/moridunum;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 79602/moridunum; nearest installed city field at 4.58px; remote lower-confidence map proxy.
casale,antq_cisalpine_gallic,Hasta,PLE:383669;PLN:383669/hasta;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 383669/hasta; nearest installed city field at 5.28px; remote lower-confidence map proxy.
casalmaggiore,antq_cisalpine_gallic,Brixellum,PLE:383602;PLN:383602/brixellum;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 383602/brixellum; nearest installed city field at 5.35px; remote lower-confidence map proxy.
castelnau_de_medoc,antq_viviscan,Boii,PLE:138232;PLN:138232/boii;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 138232/boii; nearest installed city field at 5.40px; remote lower-confidence map proxy.
catania,antq_greek_koine,Katánē,PLE:462270;PLN:462270/katane;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 462270/katane; nearest installed city field at 5.68px; remote lower-confidence map proxy.
catanzaro,antq_oscan_umbrian,Scolacium Minervia,PLE:452439;PLN:452439/scolacium-minervia;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 452439/scolacium-minervia; nearest installed city field at 4.57px; remote lower-confidence map proxy.
cefalu,antq_greek_koine,Myttistraton,PLE:462381;PLN:462381/name.2015-12-21.8008784139;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 462381/name.2015-12-21.8008784139; nearest installed city field at 3.63px; remote lower-confidence map proxy.
celano,antq_oscan_umbrian,Alba Fucens,PLE:413005;PLN:413005/alba-fucens;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 413005/alba-fucens; nearest installed city field at 5.61px; remote lower-confidence map proxy.
chalandritsa,antq_greek_koine,Pylos,PLE:570639;PLN:570639/pylos;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 570639/pylos; nearest installed city field at 5.85px; remote lower-confidence map proxy.
chalon_sur_saone,antq_lingonian,Tinurtium,PLE:177641;PLN:177641/tinurtium;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 177641/tinurtium; nearest installed city field at 4.29px; remote lower-confidence map proxy.
chateau_chinon,antq_aeduan,Bibracte,PLE:177473;PLN:177473/bibracte;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 177473/bibracte; nearest installed city field at 3.78px; remote lower-confidence map proxy.
chieti,antq_oscan_umbrian,Teate,PLE:413333;PLN:413333/teate;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 413333/teate; nearest installed city field at 5.10px; remote lower-confidence map proxy.
chippenham,antq_british_belgic,Verlucio,PLE:79736;PLN:79736/verlucio;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 79736/verlucio; nearest installed city field at 4.72px; remote lower-confidence map proxy.
cirencester,antq_dobunnic,Korinion,PLE:79549;PLN:79549/korinion;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 79549/korinion; nearest installed city field at 4.71px; remote lower-confidence map proxy.
cittaducale,antq_oscan_umbrian,Phalacrinae,PLE:413251;PLN:413251/phalacrinae;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 413251/phalacrinae; nearest installed city field at 3.29px; remote lower-confidence map proxy.
ciudad_real,antq_celtiberian,Carcuvium,PLE:265846;PLN:265846/carcuvium;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 265846/carcuvium; nearest installed city field at 5.96px; remote lower-confidence map proxy.
collo,antq_phoenician_punic,Tiddis,PLE:305167;PLN:305167/tiddis;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 305167/tiddis; nearest installed city field at 3.93px; remote lower-confidence map proxy.
comacchio,antq_cisalpine_gallic,Neronia,PLE:393457;PLN:393457/neronia;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 393457/neronia; nearest installed city field at 4.55px; remote lower-confidence map proxy.
comana_cil,antq_aramaic,Chryse,PLE:628959;PLN:628959/chryse;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 628959/chryse; nearest installed city field at 5.00px; remote lower-confidence map proxy.
coria,antq_celtiberian,Caurium,PLE:256087;PLN:256087/caurium;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 256087/caurium; nearest installed city field at 5.86px; remote lower-confidence map proxy.
corycus,antq_aramaic,Kanytelis,PLE:648663;PLN:648663/kanytelis;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 648663/kanytelis; nearest installed city field at 4.40px; remote lower-confidence map proxy.
crato,antq_lusitanian,Abelterium,PLE:255947;PLN:255947/abelterium;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 255947/abelterium; nearest installed city field at 5.62px; remote lower-confidence map proxy.
crikvenica,antq_iapodian,Fulfinium,PLE:197280;PLN:197280/fulfinium;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 197280/fulfinium; nearest installed city field at 5.63px; remote lower-confidence map proxy.
dabiq,antq_parthian,Niara,PLE:658546;PLN:658546/niara;T2R,tier2,Remote Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 658546/niara; nearest installed city field at 3.48px; remote lower-confidence map proxy.
