location,culture,historical_name,source,confidence,note
abiy_addi,antq_geez,Auxoume,PLE:39303;PLN:39303/auxoume;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 39303/auxoume; nearest installed city field at 13.98px; ultra-far lower-confidence map proxy.
adana,antq_cilician_pedian,Mallos,PLE:648702;PLN:648702/mallos;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 648702/mallos; nearest installed city field at 13.08px; ultra-far lower-confidence map proxy.
adigrat,antq_geez,Koloe,PLE:39363;PLN:39363/koloe;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 39363/koloe; nearest installed city field at 12.54px; ultra-far lower-confidence map proxy.
agra,antq_shauraseni_prakrit,Batankaisara,PLE:59739;PLN:59739/batankaisara;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 59739/batankaisara; nearest installed city field at 18.69px; ultra-far lower-confidence map proxy.
ahlat,antq_armenian,Dauduana,PLE:874450;PLN:874450/dauduana;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 874450/dauduana; nearest installed city field at 12.53px; ultra-far lower-confidence map proxy.
ahvaz,antq_parthian,Suq al-Ahwaz,PLE:912865;PLN:912865/suq-al-ahwaz;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 912865/suq-al-ahwaz; nearest installed city field at 17.30px; ultra-far lower-confidence map proxy.
ait_daoud,antq_berber,Rhysaddir,PLE:758467593;PLN:758467593/rhysaddir;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 758467593/rhysaddir; nearest installed city field at 14.12px; ultra-far lower-confidence map proxy.
ajdabiya,antq_greek_koine,Boreum,PLE:363948;PLN:363948/boreum;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 363948/boreum; nearest installed city field at 17.55px; ultra-far lower-confidence map proxy.
al_ayn_khaybar,antq_arab,Yadihu,PLE:814753;PLN:814753/yadihu;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 814753/yadihu; nearest installed city field at 21.63px; ultra-far lower-confidence map proxy.
al_dhaid,antq_arab,Omana,PLE:932474;PLN:932474/omana;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 932474/omana; nearest installed city field at 20.02px; ultra-far lower-confidence map proxy.
al_lith,antq_arab,Zaabram,PLE:39438;PLN:39438/zaabram;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 39438/zaabram; nearest installed city field at 12.96px; ultra-far lower-confidence map proxy.
al_mahjal,antq_sabaean,Cardava,PLE:39322;PLN:39322/cardava;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 39322/cardava; nearest installed city field at 16.79px; ultra-far lower-confidence map proxy.
al_sinn,antq_aramaic,Liba,PLE:893945;PLN:893945/liba;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 893945/liba; nearest installed city field at 14.21px; ultra-far lower-confidence map proxy.
alcazar_de_san_juan,antq_celtiberian,Laminium,PLE:265946;PLN:265946/laminium;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 265946/laminium; nearest installed city field at 13.14px; ultra-far lower-confidence map proxy.
alvalade,antq_celtician,Aranni,PLE:255980;PLN:255980/aranni;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 255980/aranni; nearest installed city field at 13.36px; ultra-far lower-confidence map proxy.
alwar,antq_arjunayana_prakrit,Gatasmira,PLE:59825;PLN:59825/gatasmira;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 59825/gatasmira; nearest installed city field at 19.10px; ultra-far lower-confidence map proxy.
anah,antq_aramaic,Eddana,PLE:894006;PLN:894006/eddana;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 894006/eddana; nearest installed city field at 23.72px; ultra-far lower-confidence map proxy.
andros,antq_greek_koine,Andros,PLE:589692;PLN:589692/andros;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 589692/andros; nearest installed city field at 15.41px; ultra-far lower-confidence map proxy.
anew,antq_parthian,Dara,PLE:952077;PLN:952077/dara;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 952077/dara; nearest installed city field at 12.74px; ultra-far lower-confidence map proxy.
angers,antq_andecavian,Iuliomagus,PLE:138400;PLN:138400/iuliomagus;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 138400/iuliomagus; nearest installed city field at 14.69px; ultra-far lower-confidence map proxy.
arnay,antq_senonian,Augustodunum,PLE:177460;PLN:177460/augustodunum;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 177460/augustodunum; nearest installed city field at 12.91px; ultra-far lower-confidence map proxy.
arnedo,antq_arevacian,Numantia,PLE:246523;PLN:246523/numantia;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 246523/numantia; nearest installed city field at 12.86px; ultra-far lower-confidence map proxy.
ausa,antq_deccan_prakrit,Tagara,PLE:50294;PLN:50294/tagara;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 50294/tagara; nearest installed city field at 19.87px; ultra-far lower-confidence map proxy.
auxerre,antq_senonian,Autessiodurum,PLE:138206;PLN:138206/autessiodurum;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 138206/autessiodurum; nearest installed city field at 13.82px; ultra-far lower-confidence map proxy.
azeffoun,antq_phoenician_punic,Bida,PLE:295228;PLN:295228/bida;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 295228/bida; nearest installed city field at 12.79px; ultra-far lower-confidence map proxy.
azok,antq_sarmatian,Paniardis,PLE:825346;PLN:825346/paniardis;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 825346/paniardis; nearest installed city field at 15.05px; ultra-far lower-confidence map proxy.
bacs,antq_dacian,Cibalae,PLE:197207;PLN:197207/cibalae;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 197207/cibalae; nearest installed city field at 19.67px; ultra-far lower-confidence map proxy.
badra,antq_aramaic,Deru,PLE:903013;PLN:903013/deru;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 903013/deru; nearest installed city field at 13.12px; ultra-far lower-confidence map proxy.
bafra,antq_henetian,Gadilon,PLE:857128;PLN:857128/gadilon;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 857128/gadilon; nearest installed city field at 17.14px; ultra-far lower-confidence map proxy.
bahariyya,antq_egyptian,Oasis Parva,PLE:716609;PLN:716609/oasis-parva;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 716609/oasis-parva; nearest installed city field at 22.25px; ultra-far lower-confidence map proxy.
bakusaya,antq_aramaic,Kashkar,PLE:912880;PLN:912880/kashkar;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 912880/kashkar; nearest installed city field at 12.31px; ultra-far lower-confidence map proxy.
balrampur,antq_kosala_prakrit,Eorta,PLE:59835;PLN:59835/eorta;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 59835/eorta; nearest installed city field at 13.46px; ultra-far lower-confidence map proxy.
balya,antq_greek_koine,Pioniai,PLE:550832;PLN:550832/pioniai;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 550832/pioniai; nearest installed city field at 13.70px; ultra-far lower-confidence map proxy.
baqubah,antq_aramaic,Bagdata,PLE:893952;PLN:893952/bagdata;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 893952/bagdata; nearest installed city field at 13.08px; ultra-far lower-confidence map proxy.
bara_iraq,antq_syriac,Singara,PLE:874699;PLN:874699/singara-lat;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 874699/singara-lat; nearest installed city field at 17.15px; ultra-far lower-confidence map proxy.
barco_de_valdeorras,antq_limican,Forum Limicorum,PLE:236468;PLN:236468/forum-limicorum;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 236468/forum-limicorum; nearest installed city field at 16.19px; ultra-far lower-confidence map proxy.
bargaal,antq_northern_horn_coastal,Aromata Emporion,PLE:39293;PLN:39293/aromata-emporion;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 39293/aromata-emporion; nearest installed city field at 16.51px; ultra-far lower-confidence map proxy.
baris,antq_egyptian,Pege Sykaminia,PLE:776214;PLN:776214/pege-sykaminia;T2U,tier2,Ultra-far Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 776214/pege-sykaminia; nearest installed city field at 19.33px; ultra-far lower-confidence map proxy.
