location,culture,historical_name,source,confidence,note
ad_disah,antq_arab,Laba,PLE:814697;PLN:814697/laba;T2W,tier2,Wide Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 814697/laba; nearest installed city field at 1.95px; lower-confidence map proxy.
afrin,antq_parthian,Gindaros,PLE:658475;PLN:658475/gindaros;T2W,tier2,Wide Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 658475/gindaros; nearest installed city field at 2.64px; lower-confidence map proxy.
aix_en_provence,antq_saluvian,Massilia,PLE:148127;PLN:148127/massilia;T2W,tier2,Wide Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 148127/massilia; nearest installed city field at 3.02px; lower-confidence map proxy.
akhisar,antq_lydian,Tyanollos,PLE:550949;PLN:550949/tyanollos;T2W,tier2,Wide Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 550949/tyanollos; nearest installed city field at 2.34px; lower-confidence map proxy.
aksaray,antq_cataonian,Koropassos,PLE:619194;PLN:619194/koropassos;T2W,tier2,Wide Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 619194/koropassos; nearest installed city field at 3.01px; lower-confidence map proxy.
al_mima,antq_egyptian,Phragonis,PLE:727201;PLN:727201/phragonis;T2W,tier2,Wide Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 727201/phragonis; nearest installed city field at 2.34px; lower-confidence map proxy.
al_wajh,antq_arab,Egra,PLE:814674;PLN:814674/egra;T2W,tier2,Wide Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 814674/egra; nearest installed city field at 2.15px; lower-confidence map proxy.
alaiye,antq_pamphylian,Augai,PLE:638780;PLN:638780/augai;T2W,tier2,Wide Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 638780/augai; nearest installed city field at 2.12px; lower-confidence map proxy.
alba,antq_cisalpine_gallic,Vicus Baginas,PLE:383822;PLN:383822/vicus-baginas;T2W,tier2,Wide Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 383822/vicus-baginas; nearest installed city field at 3.08px; lower-confidence map proxy.
albenga,antq_ligurian,Portus Maurici,PLE:157908;PLN:157908/portus-maurici;T2W,tier2,Wide Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 157908/portus-maurici; nearest installed city field at 3.14px; lower-confidence map proxy.
alicante,antq_iberian,Illikitanos Limen,PLE:265926;PLN:265926/illikitanos-limen;T2W,tier2,Wide Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 265926/illikitanos-limen; nearest installed city field at 1.90px; lower-confidence map proxy.
almazan,antq_arevacian,Cortona,PLE:246359;PLN:246359/cortona;T2W,tier2,Wide Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 246359/cortona; nearest installed city field at 2.64px; lower-confidence map proxy.
amboise,antq_turonian,Lucas,PLE:138429;PLN:138429/lucas;T2W,tier2,Wide Tier-2 AD 1 Pleiades settlement adapter; period-valid name resource 138429/lucas; nearest installed city field at 2.30px; lower-confidence map proxy.
