location,historical_name,source,confidence,note
a_keis,Caqkeison,T3M:installed-label,tier3,Synthetic neutral Tier-3 root display proxy; no attested toponym or historical identity claim.
a_taw_bun_kut_en,Atawbunkutenon,T3M:installed-label,tier3,Synthetic neutral Tier-3 root display proxy; no attested toponym or historical identity claim.
aa_kw,Aakwkwaanon,T3M:installed-label,tier3,Synthetic neutral Tier-3 root display proxy; no attested toponym or historical identity claim.
aabenraa,Aabenraaon,T3M:installed-label,tier3,Synthetic neutral Tier-3 root display proxy; no attested toponym or historical identity claim.
aaboukingon,Aaboukingonar,T3M:installed-label,tier3,Synthetic neutral Tier-3 root display proxy; no attested toponym or historical identity claim.
aachen,Aachenon,T3M:installed-label,tier3,Synthetic neutral Tier-3 root display proxy; no attested toponym or historical identity claim.
aahkawiraahkata,Aahkawiraahkataon,T3M:installed-label,tier3,Synthetic neutral Tier-3 root display proxy; no attested toponym or historical identity claim.
aahkawirahkata,Aahkawirahkataon,T3M:installed-label,tier3,Synthetic neutral Tier-3 root display proxy; no attested toponym or historical identity claim.
aakhoe,Caakhoeon,T3M:installed-label,tier3,Synthetic neutral Tier-3 root display proxy; no attested toponym or historical identity claim.
aaku,Aakuon,T3M:installed-label,tier3,Synthetic neutral Tier-3 root display proxy; no attested toponym or historical identity claim.
aalborg,Aalborgon,T3M:installed-label,tier3,Synthetic neutral Tier-3 root display proxy; no attested toponym or historical identity claim.
aalst,Aalston,T3M:installed-label,tier3,Synthetic neutral Tier-3 root display proxy; no attested toponym or historical identity claim.
aankwaahsakwa,Aankwaahsakwaon,T3M:installed-label,tier3,Synthetic neutral Tier-3 root display proxy; no attested toponym or historical identity claim.
aantaara_point,Aantaarapointon,T3M:installed-label,tier3,Synthetic neutral Tier-3 root display proxy; no attested toponym or historical identity claim.
aarau,Aarauon,T3M:installed-label,tier3,Synthetic neutral Tier-3 root display proxy; no attested toponym or historical identity claim.
aarhus,Aarhuson,T3M:installed-label,tier3,Synthetic neutral Tier-3 root display proxy; no attested toponym or historical identity claim.
aashbikkaashee,Aashbikkaasheeon,T3M:installed-label,tier3,Synthetic neutral Tier-3 root display proxy; no attested toponym or historical identity claim.
aashbiliihkupe,Aashbiliihkupeon,T3M:installed-label,tier3,Synthetic neutral Tier-3 root display proxy; no attested toponym or historical identity claim.
aashise,Aashisheon,T3M:installed-label,tier3,Synthetic neutral Tier-3 root display proxy; no attested toponym or historical identity claim.
aays,Aayson,T3M:installed-label,tier3,Synthetic neutral Tier-3 root display proxy; no attested toponym or historical identity claim.
aba_al_qur,Abaalquron,T3M:installed-label,tier3,Synthetic neutral Tier-3 root display proxy; no attested toponym or historical identity claim.
abaco_coast,Abacocoaston,T3M:installed-label,tier3,Synthetic neutral Tier-3 root display proxy; no attested toponym or historical identity claim.
abacoa,Abacoaon,T3M:installed-label,tier3,Synthetic neutral Tier-3 root display proxy; no attested toponym or historical identity claim.
abadan,Abadanon,T3M:installed-label,tier3,Synthetic neutral Tier-3 root display proxy; no attested toponym or historical identity claim.
abadeh,Abadehon,T3M:installed-label,tier3,Synthetic neutral Tier-3 root display proxy; no attested toponym or historical identity claim.
