good,display,origin,period_role,rgo_locations,building_families,productive_inputs,productive_outputs,roman_profile_families,source,status
alum,Alum,installed_ancient_adapter,mineral_or_quarried_raw,0,4,1,0,0,P12.1;P12.3,active_reviewed
amber,Amber,installed_ancient_adapter,organic_raw_or_exchange,0,2,1,0,0,P12.1;P12.3,active_reviewed
antq_amber_ornaments,Amber Ornaments,produced,processed_craft_or_service,0,0,0,1,0,P12.1;MET-ROMAN-TRADE;TAC-GER,active_reviewed
antq_barley,Barley,raw_material,food_crop_or_animal,3,0,0,0,0,CAM-TIB-ARCH;ANT-BANGGA,active_reviewed
antq_bronze_wares,Bronze Wares,produced,processed_craft_or_service,0,0,0,8,1,P12.1;P12.3,active_reviewed
antq_camels,Camels,raw_material,organic_raw_or_exchange,1,0,0,0,0,P12.1;SRS-CAM,active_reviewed
antq_carpets,Woven Carpets,produced,processed_craft_or_service,0,0,0,1,0,P12.1;P12.3;MET-ROMAN-TRADE,active_reviewed
antq_cordage,Cordage,produced,processed_craft_or_service,0,0,1,3,0,P12.1;MET-ROMAN-TRADE,active_reviewed
antq_felt_goods,Felt Goods,produced,processed_craft_or_service,0,0,0,1,0,P12.1;P12.3,active_reviewed
antq_fine_ceramics,Fine Ceramics,produced,processed_craft_or_service,0,0,0,3,1,BM-ARRETINE;BM-MEMPHIS;P12.1,active_reviewed
antq_glass_beads,Glass Beads,produced,processed_craft_or_service,0,0,0,2,0,P12.1;MET-ROMAN-TRADE,active_reviewed
antq_glasswares,Glasswares,produced,processed_craft_or_service,0,0,0,1,0,MET-ROMAN-GLASS;P12.1,active_reviewed
antq_grain_products,Flour and Bread,produced,processed_food_or_drink,0,0,0,4,2,P12.1;P12.3;CAH-XI,active_reviewed
antq_iron_hardware,Iron Hardware,produced,processed_craft_or_service,0,0,0,5,0,P12.1;P12.3,active_reviewed
antq_jade,Jade,raw_material,mineral_or_quarried_raw,1,0,0,0,0,P12.1;WSH-KHT,active_reviewed
antq_lacquerware,Lacquerware,produced,processed_craft_or_service,0,0,0,1,0,P12.1;BHR,active_reviewed
antq_lead_wares,Lead Wares,produced,processed_craft_or_service,0,0,0,2,1,P12.1;P12.3,active_reviewed
antq_leather_goods,Leather Goods,produced,processed_craft_or_service,0,0,0,6,0,P12.1;P12.3,active_reviewed
antq_naphtha,Naphtha and Bitumen,raw_material,mineral_or_quarried_raw,1,0,0,0,0,P12.1;OIP-147,active_reviewed
antq_olive_oil,Olive Oil,produced,processed_food_or_drink,0,0,0,3,1,MET-ROMAN-HOUSING;MET-ROMAN-TRADE,active_reviewed
antq_papyrus,Papyrus,raw_material,organic_raw_or_exchange,1,0,5,0,0,P12.1,active_reviewed
antq_parchment,Parchment,produced,processed_craft_or_service,0,0,0,1,0,P12.1;P12.3,active_reviewed
antq_perfumes,Perfumes and Unguents,produced,processed_craft_or_service,0,0,0,3,1,P12.1;MET-ROMAN-TRADE,active_reviewed
antq_preserved_fish,Salted Fish and Garum,produced,processed_food_or_drink,0,0,0,2,0,BAELO-SALTERY;MET-ROMAN-TRADE,active_reviewed
antq_sailcloth,Sailcloth,produced,processed_craft_or_service,0,0,1,1,0,P12.1;MET-ROMAN-TRADE,active_reviewed
antq_silphium,Silphium,raw_material,organic_raw_or_exchange,1,0,0,0,0,P12.1;CAM-SIL,active_reviewed
antq_soap,Soap and Cleansing Paste,produced,processed_craft_or_service,0,0,0,1,0,P12.1;MET-ROMAN-HOUSING,active_reviewed
antq_wax_goods,Wax Goods,produced,processed_craft_or_service,0,0,0,2,0,P12.1;P12.3,active_reviewed
beer,Beer,installed_ancient_adapter,processed_food_or_drink,0,0,0,6,0,P12.1;P12.3,active_reviewed
beeswax,Beeswax,installed_ancient_adapter,organic_raw_or_exchange,1,10,2,0,0,P12.1;P12.3,active_reviewed
books,Books,installed_ancient_adapter,processed_craft_or_service,0,8,0,5,0,P12.1;P12.3,active_reviewed
clay,Clay,installed_ancient_adapter,mineral_or_quarried_raw,0,24,12,0,3,P12.1;P12.3,active_reviewed
cloth,Cloth,installed_ancient_adapter,processed_craft_or_service,0,31,16,10,1,P12.1;P12.3,active_reviewed
coal,Coal,installed_ancient_adapter,mineral_or_quarried_raw,0,19,13,1,4,P12.1;P12.3,active_reviewed
copper,Copper,installed_ancient_adapter,mineral_or_quarried_raw,0,19,10,0,1,P12.1;P12.3,active_reviewed
cotton,Cotton,installed_ancient_adapter,organic_raw_or_exchange,0,1,1,0,0,P12.1;P12.3,active_reviewed
dyes,Dyes,installed_ancient_adapter,processed_craft_or_service,1,25,27,1,1,P12.1;P12.3,active_reviewed
fiber_crops,Fiber Crops,installed_ancient_adapter,organic_raw_or_exchange,313,35,20,0,2,P12.1;P12.3,active_reviewed
fine_cloth,Fine Cloth,installed_ancient_adapter,processed_craft_or_service,0,0,0,9,0,P12.1;P12.3,active_reviewed
fish,Fish,installed_ancient_adapter,food_crop_or_animal,3,10,2,0,0,P12.1;P12.3,active_reviewed
fruit,Fruit,installed_ancient_adapter,food_crop_or_animal,101,6,4,0,1,P12.1;P12.3,active_reviewed
furniture,Furniture,installed_ancient_adapter,processed_craft_or_service,0,0,0,11,0,P12.1;P12.3,active_reviewed
