key,sheet,cell,style_reference,historical_reference
antq_fine_ceramics,goods_crafts_01.png,top_left,installed EU5 direct trade-good icons; restrained dark-blue archaeological still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv
antq_glasswares,goods_crafts_01.png,top_middle,installed EU5 direct trade-good icons; restrained dark-blue archaeological still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv
antq_iron_hardware,goods_crafts_01.png,top_right,installed EU5 direct trade-good icons; restrained dark-blue archaeological still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv
antq_leather_goods,goods_crafts_01.png,bottom_left,installed EU5 direct trade-good icons; restrained dark-blue archaeological still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv
antq_cordage,goods_crafts_01.png,bottom_middle,installed EU5 direct trade-good icons; restrained dark-blue archaeological still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv
antq_parchment,goods_crafts_01.png,bottom_right,installed EU5 direct trade-good icons; restrained dark-blue archaeological still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv
antq_lacquerware,goods_crafts_02.png,top_left,installed EU5 direct trade-good icons; restrained dark-blue archaeological still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv
antq_amber_ornaments,goods_crafts_02.png,top_middle,installed EU5 direct trade-good icons; restrained dark-blue archaeological still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv
antq_glass_beads,goods_crafts_02.png,top_right,installed EU5 direct trade-good icons; restrained dark-blue archaeological still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv
antq_carpets,goods_crafts_02.png,bottom_left,installed EU5 direct trade-good icons; restrained dark-blue archaeological still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv
antq_felt_goods,goods_crafts_02.png,bottom_middle,installed EU5 direct trade-good icons; restrained dark-blue archaeological still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv
antq_sailcloth,goods_crafts_02.png,bottom_right,installed EU5 direct trade-good icons; restrained dark-blue archaeological still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv
antq_barley,antq_barley_source.png,direct,installed EU5 direct trade-good icons; restrained dark-blue archaeological still life,docs/m5/custom_goods.csv; docs/world_1ad/SOURCES.md
