key,family,location,macro,source,confidence,note
cult_barley_lhasa,antq_cult_barley_plots,lhasa,Central Asia,CAM-TIB-ARCH;ANT-BANGGA,secure,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_barley_nedong,antq_cult_barley_plots,nedong,Central Asia,ANT-BANGGA,secure,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_barley_shigatse,antq_cult_barley_plots,shigatse,Central Asia,CAM-TIB-ARCH,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_barley_benevento,antq_cult_barley_plots,benevento,Europe,P12.1;PER;PMC-MED-BARLEY,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_barley_milano,antq_cult_barley_plots,milano,Europe,P12.1;PER;PMC-MED-BARLEY,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_barley_rimini,antq_cult_barley_plots,rimini,Europe,P12.1;PER;PMC-MED-BARLEY,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_barley_taranto,antq_cult_barley_plots,taranto,Europe,P12.1;PER;PMC-MED-BARLEY,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_barley_girona,antq_cult_barley_plots,girona,Europe,P12.1;PER;PMC-MED-BARLEY,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_barley_almudevar,antq_cult_barley_plots,almudevar,Europe,P12.1;PER;PMC-MED-BARLEY,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_barley_fakenham,antq_cult_barley_plots,fakenham,Europe,P12.1;PER;ABD-ROM-BARLEY,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_barley_bury,antq_cult_barley_plots,bury,Europe,P12.1;PER;ABD-ROM-BARLEY,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_barley_edinburgh,antq_cult_barley_plots,edinburgh,Europe,P12.1;PER;ABD-ROM-BARLEY,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_barley_elgin,antq_cult_barley_plots,elgin,Europe,P12.1;PER;ABD-ROM-BARLEY,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_barley_stonehaven,antq_cult_barley_plots,stonehaven,Europe,P12.1;PER;ABD-ROM-BARLEY,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_barley_dunbar,antq_cult_barley_plots,dunbar,Europe,P12.1;PER;ABD-ROM-BARLEY,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_barley_aarhus,antq_cult_barley_plots,aarhus,Europe,P12.1;PER;OXF-BRONZE-CROPS,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_barley_alvastra,antq_cult_barley_plots,alvastra,Europe,P12.1;PER;OXF-BRONZE-CROPS,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_barley_achim,antq_cult_barley_plots,achim,Europe,P12.1;PER;OXF-BRONZE-CROPS,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_barley_berlin,antq_cult_barley_plots,berlin,Europe,P12.1;PER;OXF-BRONZE-CROPS,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_barley_bochum,antq_cult_barley_plots,bochum,Europe,P12.1;PER;OXF-BRONZE-CROPS,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_barley_bonn,antq_cult_barley_plots,bonn,Europe,P12.1;PER;OXF-BRONZE-CROPS,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_barley_al_baharah,antq_cult_barley_plots,al_baharah,Middle East,P12.1;PER;PMC-MED-BARLEY,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_barley_divandarreh,antq_cult_barley_plots,divandarreh,Middle East,P12.1;PER;PMC-MED-BARLEY,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_barley_kamyaran,antq_cult_barley_plots,kamyaran,Middle East,P12.1;PER;PMC-MED-BARLEY,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_camels_medina,antq_cult_camel_corrals,medina,Middle East,P12.1;SRS-CAM,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_coconuts_angadippuram,antq_cult_coconut_groves,angadippuram,South Asia,P12.1;P12.3;P14;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_coconuts_sitavaka,antq_cult_coconut_groves,sitavaka,South Asia,P12.1;P12.3;P14;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_coconuts_bawean,antq_cult_coconut_groves,bawean,Southeast Asia,P12.1;P12.3;P14;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_coconuts_tutuala,antq_cult_coconut_groves,tutuala,Southeast Asia,P12.1;P12.3;P14;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_coconuts_savaii,antq_cult_coconut_groves,savaii,Oceania,P12.1;P12.3;P14;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_coconuts_vauvau,antq_cult_coconut_groves,vauvau,Oceania,P12.1;P12.3;P14;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_coconuts_zanzibar,antq_cult_coconut_groves,zanzibar,North Africa,P12.1;P12.3;P14;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_coconuts_tungkal,antq_cult_coconut_groves,tungkal,Southeast Asia,P12.1;P12.3;P14;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_dates_taghit,antq_cult_date_groves,taghit,North Africa,P12.1;P12.3;P14;PER,secure,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_dates_siwa,antq_cult_date_groves,siwa,Europe,P12.1;P12.3;P14;PER,secure,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_dates_timimoun,antq_cult_date_groves,timimoun,North Africa,P12.1;P12.3;P14;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_dates_anah,antq_cult_date_groves,anah,Middle East,P12.1;P12.3;P14;PER,secure,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_dates_al_ahsa,antq_cult_date_groves,al_ahsa,Middle East,P12.1;P12.3;P14;PER,secure,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_dates_al_ula,antq_cult_date_groves,al_ula,Middle East,P12.1;P12.3;P14;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_dates_sayun,antq_cult_date_groves,sayun,Middle East,P12.1;P12.3;P14;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_dates_basra,antq_cult_date_groves,basra,Middle East,P12.1;P12.3;P14;PER,secure,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_dates_kharga,antq_cult_date_groves,kharga,Europe,P12.1;PER;SCIADV-DATE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_dates_bahariyya,antq_cult_date_groves,bahariyya,Europe,P12.1;PER;SCIADV-DATE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_dates_awjila,antq_cult_date_groves,awjila,North Africa,P12.1;PER;SCIADV-DATE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_dates_ghadames,antq_cult_date_groves,ghadames,North Africa,P12.1;PER;SCIADV-DATE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_dates_tozeur,antq_cult_date_groves,tozeur,Europe,P12.1;PER;SCIADV-DATE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_dates_biskra,antq_cult_date_groves,biskra,North Africa,P12.1;PER;SCIADV-DATE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_dates_ouargla,antq_cult_date_groves,ouargla,North Africa,P12.1;PER;SCIADV-DATE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_dates_udakh,antq_cult_date_groves,udakh,Middle East,P12.1;PER;NHM-DATE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_dates_mecca,antq_cult_date_groves,mecca,Middle East,P12.1;PER;NHM-DATE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_dates_hajar,antq_cult_date_groves,hajar,Middle East,P12.1;PER;NHM-DATE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_dates_maskanah,antq_cult_date_groves,maskanah,Middle East,P12.1;PER;NHM-DATE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_dates_aqaba,antq_cult_date_groves,aqaba,Middle East,P12.1;PER;NHM-DATE,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_papyrus_alexandria,antq_cult_papyrus_beds,alexandria,Europe,P12.1;P12.3;PER,secure,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_papyrus_ashmunayn,antq_cult_papyrus_beds,ashmunayn,Europe,P12.1;P12.3;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_papyrus_faiyum,antq_cult_papyrus_beds,faiyum,Europe,P12.1;P12.3;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_papyrus_cairo,antq_cult_papyrus_beds,cairo,Europe,P12.1;P12.3;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_papyrus_minya,antq_cult_papyrus_beds,minya,Europe,P12.1;P12.3;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_papyrus_giza,antq_cult_papyrus_beds,giza,Europe,P12.1;P12.3;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_papyrus_qena,antq_cult_papyrus_beds,qena,Europe,P12.1;P12.3;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_papyrus_akhmim,antq_cult_papyrus_beds,akhmim,Europe,P12.1;P12.3;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_papyrus_aswan,antq_cult_papyrus_beds,aswan,Europe,P12.1;P12.3;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_papyrus_asyut,antq_cult_papyrus_beds,asyut,Europe,P12.1;P12.3;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_papyrus_atfih,antq_cult_papyrus_beds,atfih,Europe,P12.1;P12.3;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_papyrus_beni_suef,antq_cult_papyrus_beds,beni_suef,Europe,P12.1;P12.3;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_papyrus_bilbeis,antq_cult_papyrus_beds,bilbeis,Europe,P12.1;P12.3;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_papyrus_dakahla,antq_cult_papyrus_beds,dakahla,Europe,P12.1;P12.3;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_papyrus_damanhur,antq_cult_papyrus_beds,damanhur,Europe,P12.1;P12.3;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_papyrus_damietta,antq_cult_papyrus_beds,damietta,Europe,P12.1;P12.3;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_papyrus_edfu,antq_cult_papyrus_beds,edfu,Europe,P12.1;P12.3;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_papyrus_el_bahnasa,antq_cult_papyrus_beds,el_bahnasa,Europe,P12.1;P12.3;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
cult_papyrus_el_balyana,antq_cult_papyrus_beds,el_balyana,Europe,P12.1;P12.3;PER,contested,Opening peasant extraction for a custom raw good whose live RGO remap remains deferred.
