key,building,tier,name,good,base_output,output_multiplier,output,default_margin,unlock_age,profile,source
antq_cult_wheat_fields_maintenance,antq_cult_wheat_fields,maintenance,Established Practice,wheat,0.38,1.00,0.3800,1.20,opening,shared,P12.1;P12.3;PER
antq_cult_wheat_fields_managed,antq_cult_wheat_fields,managed,Managed Rotation,wheat,0.38,1.12,0.4256,1.20,age_2_renaissance,shared,P12.1;P12.3;PER
antq_cult_wheat_fields_intensive,antq_cult_wheat_fields,intensive,Intensive Husbandry,wheat,0.38,1.25,0.4750,1.20,age_4_reformation,shared,P12.1;P12.3;PER
antq_cult_wheat_fields_specialized,antq_cult_wheat_fields,specialized,Regional Specialization,wheat,0.38,1.35,0.5130,1.20,age_6_revolutions,shared,P12.1;P12.3;PER
antq_cult_millet_plots_maintenance,antq_cult_millet_plots,maintenance,Established Practice,millet,0.36,1.00,0.3600,1.20,opening,shared,P12.1;P12.3;PER
antq_cult_millet_plots_managed,antq_cult_millet_plots,managed,Managed Rotation,millet,0.36,1.12,0.4032,1.20,age_2_renaissance,shared,P12.1;P12.3;PER
antq_cult_millet_plots_intensive,antq_cult_millet_plots,intensive,Intensive Husbandry,millet,0.36,1.25,0.4500,1.20,age_4_reformation,shared,P12.1;P12.3;PER
antq_cult_millet_plots_specialized,antq_cult_millet_plots,specialized,Regional Specialization,millet,0.36,1.35,0.4860,1.20,age_6_revolutions,shared,P12.1;P12.3;PER
antq_cult_barley_plots_maintenance,antq_cult_barley_plots,maintenance,Established Practice,antq_barley,0.36,1.00,0.3600,1.20,opening,shared,CAM-TIB-ARCH;ANT-BANGGA;P12.1
antq_cult_barley_plots_managed,antq_cult_barley_plots,managed,Managed Rotation,antq_barley,0.36,1.12,0.4032,1.20,age_2_renaissance,shared,CAM-TIB-ARCH;ANT-BANGGA;P12.1
antq_cult_barley_plots_intensive,antq_cult_barley_plots,intensive,Intensive Husbandry,antq_barley,0.36,1.25,0.4500,1.20,age_4_reformation,shared,CAM-TIB-ARCH;ANT-BANGGA;P12.1
antq_cult_barley_plots_specialized,antq_cult_barley_plots,specialized,Regional Specialization,antq_barley,0.36,1.35,0.4860,1.20,age_6_revolutions,shared,CAM-TIB-ARCH;ANT-BANGGA;P12.1
antq_cult_rice_paddies_maintenance,antq_cult_rice_paddies,maintenance,Established Practice,rice,0.34,1.00,0.3400,1.20,opening,shared,P12.1;BHR;CAM-IRON-RICE;PER
antq_cult_rice_paddies_managed,antq_cult_rice_paddies,managed,Managed Rotation,rice,0.34,1.12,0.3808,1.20,age_2_renaissance,shared,P12.1;BHR;CAM-IRON-RICE;PER
antq_cult_rice_paddies_intensive,antq_cult_rice_paddies,intensive,Intensive Husbandry,rice,0.34,1.25,0.4250,1.20,age_4_reformation,shared,P12.1;BHR;CAM-IRON-RICE;PER
antq_cult_rice_paddies_specialized,antq_cult_rice_paddies,specialized,Regional Specialization,rice,0.34,1.35,0.4590,1.20,age_6_revolutions,shared,P12.1;BHR;CAM-IRON-RICE;PER
antq_cult_maize_plots_maintenance,antq_cult_maize_plots,maintenance,Established Practice,maize,0.36,1.00,0.3600,1.20,opening,shared,P12.1;P12.3;PER
antq_cult_maize_plots_managed,antq_cult_maize_plots,managed,Managed Rotation,maize,0.36,1.12,0.4032,1.20,age_2_renaissance,shared,P12.1;P12.3;PER
antq_cult_maize_plots_intensive,antq_cult_maize_plots,intensive,Intensive Husbandry,maize,0.36,1.25,0.4500,1.20,age_4_reformation,shared,P12.1;P12.3;PER
antq_cult_maize_plots_specialized,antq_cult_maize_plots,specialized,Regional Specialization,maize,0.36,1.35,0.4860,1.20,age_6_revolutions,shared,P12.1;P12.3;PER
antq_cult_pulse_plots_maintenance,antq_cult_pulse_plots,maintenance,Established Practice,legumes,0.37,1.00,0.3700,1.20,opening,shared,P12.1;P12.3;PER
antq_cult_pulse_plots_managed,antq_cult_pulse_plots,managed,Managed Rotation,legumes,0.37,1.12,0.4144,1.20,age_2_renaissance,shared,P12.1;P12.3;PER
antq_cult_pulse_plots_intensive,antq_cult_pulse_plots,intensive,Intensive Husbandry,legumes,0.37,1.25,0.4625,1.20,age_4_reformation,shared,P12.1;P12.3;PER
antq_cult_pulse_plots_specialized,antq_cult_pulse_plots,specialized,Regional Specialization,legumes,0.37,1.35,0.4995,1.20,age_6_revolutions,shared,P12.1;P12.3;PER
antq_cult_fruit_orchards_maintenance,antq_cult_fruit_orchards,maintenance,Established Practice,fruit,0.32,1.00,0.3200,1.20,opening,shared,P12.1;P12.3;PER
