key,kind,sheet,cell,style_reference,historical_reference
antq_dates,good,food_goods_raw_01.png,top_left,installed EU5 direct trade-good/building icons; exact four-up 2x2 atlas; neutral dark-navy commodity still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv; docs/m5/food_building_seeds.csv
antq_sesame,good,food_goods_raw_01.png,top_right,installed EU5 direct trade-good/building icons; exact four-up 2x2 atlas; neutral dark-navy commodity still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv; docs/m5/food_building_seeds.csv
antq_tree_nuts,good,food_goods_raw_01.png,bottom_left,installed EU5 direct trade-good/building icons; exact four-up 2x2 atlas; neutral dark-navy commodity still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv; docs/m5/food_building_seeds.csv
antq_coconuts,good,food_goods_raw_01.png,bottom_right,installed EU5 direct trade-good/building icons; exact four-up 2x2 atlas; neutral dark-navy commodity still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv; docs/m5/food_building_seeds.csv
antq_cheese_curds,good,food_goods_preserved_01.png,top_left,installed EU5 direct trade-good/building icons; exact four-up 2x2 atlas; neutral dark-navy commodity still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv; docs/m5/food_building_seeds.csv
antq_cured_meat,good,food_goods_preserved_01.png,top_right,installed EU5 direct trade-good/building icons; exact four-up 2x2 atlas; neutral dark-navy commodity still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv; docs/m5/food_building_seeds.csv
antq_dried_fruit,good,food_goods_preserved_01.png,bottom_left,installed EU5 direct trade-good/building icons; exact four-up 2x2 atlas; neutral dark-navy commodity still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv; docs/m5/food_building_seeds.csv
antq_nut_pastes,good,food_goods_preserved_01.png,bottom_right,installed EU5 direct trade-good/building icons; exact four-up 2x2 atlas; neutral dark-navy commodity still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv; docs/m5/food_building_seeds.csv
antq_sesame_oil,good,food_goods_liquid_01.png,top_left,installed EU5 direct trade-good/building icons; exact four-up 2x2 atlas; neutral dark-navy commodity still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv; docs/m5/food_building_seeds.csv
antq_coconut_products,good,food_goods_liquid_01.png,top_right,installed EU5 direct trade-good/building icons; exact four-up 2x2 atlas; neutral dark-navy commodity still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv; docs/m5/food_building_seeds.csv
antq_rice_wine,good,food_goods_liquid_01.png,bottom_left,installed EU5 direct trade-good/building icons; exact four-up 2x2 atlas; neutral dark-navy commodity still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv; docs/m5/food_building_seeds.csv
antq_soy_condiments,good,food_goods_liquid_01.png,bottom_right,installed EU5 direct trade-good/building icons; exact four-up 2x2 atlas; neutral dark-navy commodity still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv; docs/m5/food_building_seeds.csv
antq_reg_date_drying_yard,building,food_buildings_01.png,top_left,installed EU5 direct trade-good/building icons; exact four-up 2x2 atlas; neutral dark-navy commodity still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv; docs/m5/food_building_seeds.csv
antq_reg_sesame_oil_press,building,food_buildings_01.png,top_right,installed EU5 direct trade-good/building icons; exact four-up 2x2 atlas; neutral dark-navy commodity still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv; docs/m5/food_building_seeds.csv
antq_reg_nut_grinding_house,building,food_buildings_01.png,bottom_left,installed EU5 direct trade-good/building icons; exact four-up 2x2 atlas; neutral dark-navy commodity still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv; docs/m5/food_building_seeds.csv
antq_reg_coconut_workshop,building,food_buildings_01.png,bottom_right,installed EU5 direct trade-good/building icons; exact four-up 2x2 atlas; neutral dark-navy commodity still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv; docs/m5/food_building_seeds.csv
antq_reg_cheese_dairy,building,food_buildings_02.png,top_left,installed EU5 direct trade-good/building icons; exact four-up 2x2 atlas; neutral dark-navy commodity still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv; docs/m5/food_building_seeds.csv
antq_reg_meat_curing_yard,building,food_buildings_02.png,top_right,installed EU5 direct trade-good/building icons; exact four-up 2x2 atlas; neutral dark-navy commodity still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv; docs/m5/food_building_seeds.csv
antq_reg_rice_wine_house,building,food_buildings_02.png,bottom_left,installed EU5 direct trade-good/building icons; exact four-up 2x2 atlas; neutral dark-navy commodity still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv; docs/m5/food_building_seeds.csv
antq_reg_soy_fermentary,building,food_buildings_02.png,bottom_right,installed EU5 direct trade-good/building icons; exact four-up 2x2 atlas; neutral dark-navy commodity still life,docs/m5/custom_goods.csv; docs/m5/regional_building_families.csv; docs/m5/food_building_seeds.csv
