region,dimension,value,before,after,delta
Africa,climate,arid,270,270,0
Africa,climate,cold_arid,54,54,0
Africa,climate,continental,28,28,0
Africa,climate,mediterranean,59,59,0
Africa,climate,oceanic,16,16,0
Africa,climate,subtropical,3,3,0
Africa,climate,tropical,84,84,0
Africa,topography,flatland,244,244,0
Africa,topography,hills,107,107,0
Africa,topography,mountains,43,43,0
Africa,topography,plateau,114,114,0
Africa,topography,wetlands,6,6,0
Africa,vegetation,desert,65,65,0
Africa,vegetation,farmland,14,26,12
Africa,vegetation,forest,18,18,0
Africa,vegetation,grasslands,160,114,-46
Africa,vegetation,jungle,55,55,0
Africa,vegetation,sparse,141,175,34
Africa,vegetation,woods,61,61,0
Anatolia,climate,cold_arid,28,28,0
Anatolia,climate,continental,23,23,0
Anatolia,climate,mediterranean,27,27,0
Anatolia,climate,oceanic,1,1,0
Anatolia,topography,flatland,9,9,0
Anatolia,topography,hills,36,36,0
Anatolia,topography,mountains,16,16,0
Anatolia,topography,plateau,17,17,0
Anatolia,topography,wetlands,1,1,0
Anatolia,vegetation,farmland,1,7,6
Anatolia,vegetation,forest,17,17,0
Anatolia,vegetation,grasslands,20,14,-6
Anatolia,vegetation,sparse,11,11,0
Anatolia,vegetation,woods,30,30,0
Andes,climate,arctic,29,29,0
Andes,climate,arid,19,19,0
Andes,climate,cold_arid,17,17,0
Andes,climate,continental,18,18,0
Andes,climate,oceanic,8,8,0
Andes,climate,tropical,7,7,0
Andes,topography,flatland,12,12,0
Andes,topography,hills,15,15,0
Andes,topography,mountains,52,52,0
Andes,topography,plateau,19,19,0
Andes,vegetation,desert,8,8,0
Andes,vegetation,grasslands,25,25,0
Andes,vegetation,jungle,6,6,0
Andes,vegetation,sparse,56,56,0
Andes,vegetation,woods,3,3,0
Arabia,climate,arid,348,348,0
Arabia,climate,cold_arid,4,4,0
Arabia,topography,flatland,118,118,0
Arabia,topography,hills,52,52,0
Arabia,topography,mountains,44,44,0
Arabia,topography,plateau,138,138,0
Arabia,vegetation,desert,320,320,0
Arabia,vegetation,grasslands,15,15,0
Arabia,vegetation,sparse,15,15,0
Arabia,vegetation,woods,2,2,0
Balkans,climate,continental,5,5,0
Balkans,climate,mediterranean,17,17,0
Balkans,climate,oceanic,4,4,0
Balkans,climate,subtropical,19,19,0
Balkans,topography,flatland,25,25,0
Balkans,topography,hills,14,14,0
Balkans,topography,mountains,6,6,0
Balkans,vegetation,farmland,4,7,3
Balkans,vegetation,forest,13,13,0
Balkans,vegetation,grasslands,15,12,-3
Balkans,vegetation,woods,13,13,0
Baltic,climate,continental,137,137,0
Baltic,topography,flatland,110,110,0
Baltic,topography,wetlands,27,27,0
Baltic,vegetation,farmland,4,4,0
Baltic,vegetation,forest,50,50,0
Baltic,vegetation,grasslands,16,16,0
Baltic,vegetation,woods,67,67,0
Britain,climate,oceanic,236,236,0
Britain,topography,flatland,161,161,0
Britain,topography,hills,52,52,0
Britain,topography,mountains,9,9,0
Britain,topography,wetlands,14,14,0
Britain,vegetation,farmland,16,16,0
Britain,vegetation,forest,32,32,0
Britain,vegetation,grasslands,89,82,-7
Britain,vegetation,sparse,43,35,-8
Britain,vegetation,woods,56,71,15
Caribbean-Amazon,climate,tropical,3,3,0
Caribbean-Amazon,topography,flatland,2,2,0
Caribbean-Amazon,topography,hills,1,1,0
Caribbean-Amazon,vegetation,grasslands,1,1,0
Caribbean-Amazon,vegetation,jungle,2,2,0
Caucasus,climate,cold_arid,45,45,0
Caucasus,climate,continental,88,88,0
Caucasus,climate,subtropical,16,16,0
Caucasus,topography,flatland,25,25,0
Caucasus,topography,hills,31,31,0
Caucasus,topography,mountains,58,58,0
Caucasus,topography,plateau,31,31,0
Caucasus,topography,wetlands,4,4,0
Caucasus,vegetation,farmland,3,3,0
Caucasus,vegetation,forest,25,25,0
Caucasus,vegetation,grasslands,28,28,0
Caucasus,vegetation,sparse,49,49,0
Caucasus,vegetation,woods,44,44,0
Central Asia,climate,arctic,73,73,0
Central Asia,climate,arid,3,3,0
Central Asia,climate,cold_arid,349,349,0
Central Asia,climate,continental,136,136,0
Central Asia,climate,mediterranean,12,12,0
Central Asia,topography,flatland,220,220,0
Central Asia,topography,hills,57,57,0
Central Asia,topography,mountains,209,209,0
Central Asia,topography,plateau,80,80,0
Central Asia,topography,wetlands,7,7,0
Central Asia,vegetation,desert,64,64,0
Central Asia,vegetation,farmland,6,6,0
Central Asia,vegetation,forest,4,4,0
Central Asia,vegetation,grasslands,151,151,0
Central Asia,vegetation,sparse,318,318,0
Central Asia,vegetation,woods,30,30,0
China,climate,arctic,2,2,0
China,climate,cold_arid,196,196,0
China,climate,continental,592,592,0
China,climate,subtropical,1070,1070,0
China,climate,tropical,21,21,0
China,topography,flatland,620,549,-71
China,topography,hills,574,574,0
China,topography,mountains,452,452,0
China,topography,plateau,142,142,0
China,topography,wetlands,93,164,71
China,vegetation,desert,20,20,0
China,vegetation,farmland,138,209,71
China,vegetation,forest,382,382,0
China,vegetation,grasslands,667,603,-64
China,vegetation,jungle,69,69,0
China,vegetation,sparse,86,86,0
China,vegetation,woods,519,512,-7
Danube,climate,cold_arid,20,20,0
Danube,climate,continental,194,194,0
Danube,climate,subtropical,1,1,0
Danube,topography,flatland,122,122,0
Danube,topography,hills,42,42,0
Danube,topography,mountains,9,9,0
Danube,topography,plateau,10,10,0
Danube,topography,wetlands,32,32,0
Danube,vegetation,farmland,16,16,0
Danube,vegetation,forest,46,46,0
Danube,vegetation,grasslands,75,75,0
Danube,vegetation,woods,78,78,0
Eastern Europe,climate,arctic,28,28,0
Eastern Europe,climate,continental,555,555,0
Eastern Europe,topography,flatland,501,501,0
Eastern Europe,topography,hills,11,11,0
Eastern Europe,topography,mountains,3,3,0
Eastern Europe,topography,plateau,2,2,0
Eastern Europe,topography,wetlands,66,66,0
Eastern Europe,vegetation,farmland,40,40,0
Eastern Europe,vegetation,forest,170,170,0
Eastern Europe,vegetation,grasslands,58,58,0
Eastern Europe,vegetation,woods,315,315,0
Finland,climate,arctic,206,206,0
Finland,climate,continental,414,414,0
Finland,topography,flatland,575,575,0
Finland,topography,hills,9,9,0
Finland,topography,wetlands,36,36,0
Finland,vegetation,farmland,10,10,0
Finland,vegetation,forest,305,305,0
Finland,vegetation,grasslands,109,109,0
Finland,vegetation,sparse,8,8,0
Finland,vegetation,woods,188,188,0
Germania,climate,arctic,94,94,0
Germania,climate,continental,543,543,0
Germania,climate,oceanic,271,271,0
Germania,topography,flatland,542,542,0
Germania,topography,hills,206,206,0
Germania,topography,mountains,46,46,0
Germania,topography,plateau,59,59,0
Germania,topography,wetlands,55,55,0
Germania,vegetation,farmland,78,78,0
Germania,vegetation,forest,140,261,121
Germania,vegetation,grasslands,404,264,-140
Germania,vegetation,sparse,30,30,0
Germania,vegetation,woods,256,275,19
India,climate,arctic,2,2,0
India,climate,arid,368,368,0
India,climate,cold_arid,17,17,0
India,climate,continental,53,53,0
India,climate,mediterranean,14,14,0
India,climate,subtropical,393,393,0
India,climate,tropical,336,336,0
India,topography,atoll,4,4,0
India,topography,flatland,721,701,-20
India,topography,hills,158,158,0
India,topography,mountains,133,133,0
India,topography,plateau,103,103,0
India,topography,wetlands,64,84,20
India,vegetation,desert,45,45,0
India,vegetation,farmland,97,117,20
India,vegetation,forest,184,184,0
India,vegetation,grasslands,193,177,-16
India,vegetation,jungle,253,253,0
India,vegetation,sparse,201,201,0
India,vegetation,woods,210,206,-4
Iran,climate,arid,268,268,0
Iran,climate,cold_arid,258,258,0
Iran,climate,continental,52,52,0
Iran,climate,mediterranean,114,114,0
Iran,topography,flatland,180,175,-5
Iran,topography,hills,155,155,0
Iran,topography,mountains,115,115,0
Iran,topography,plateau,226,226,0
Iran,topography,wetlands,16,21,5
Iran,vegetation,desert,331,325,-6
Iran,vegetation,farmland,10,35,25
Iran,vegetation,forest,18,18,0
Iran,vegetation,grasslands,64,57,-7
Iran,vegetation,sparse,224,212,-12
Iran,vegetation,woods,45,45,0
Ireland,climate,oceanic,95,95,0
Ireland,topography,flatland,56,56,0
Ireland,topography,hills,22,22,0
Ireland,topography,mountains,1,1,0
Ireland,topography,wetlands,16,16,0
Ireland,vegetation,farmland,5,4,-1
Ireland,vegetation,forest,3,3,0
Ireland,vegetation,grasslands,24,23,-1
Ireland,vegetation,sparse,31,23,-8
Ireland,vegetation,woods,32,42,10
Japan,climate,continental,89,89,0
Japan,climate,subtropical,253,253,0
Japan,topography,flatland,120,120,0
Japan,topography,hills,151,151,0
Japan,topography,mountains,56,56,0
Japan,topography,plateau,12,12,0
Japan,topography,wetlands,3,3,0
Japan,vegetation,farmland,14,14,0
Japan,vegetation,forest,105,105,0
Japan,vegetation,grasslands,68,68,0
Japan,vegetation,woods,155,155,0
Korea,climate,continental,147,147,0
Korea,climate,subtropical,21,21,0
Korea,topography,flatland,55,55,0
Korea,topography,hills,83,83,0
Korea,topography,mountains,25,25,0
Korea,topography,plateau,4,4,0
Korea,topography,wetlands,1,1,0
Korea,vegetation,farmland,13,13,0
Korea,vegetation,forest,55,55,0
Korea,vegetation,grasslands,46,46,0
Korea,vegetation,woods,54,54,0
Lanka,climate,tropical,25,25,0
Lanka,topography,flatland,18,18,0
Lanka,topography,hills,5,5,0
Lanka,topography,mountains,2,2,0
Lanka,vegetation,farmland,3,3,0
Lanka,vegetation,grasslands,6,6,0
Lanka,vegetation,jungle,15,15,0
Lanka,vegetation,woods,1,1,0
Levant,climate,mediterranean,4,4,0
Levant,topography,flatland,1,1,0
Levant,topography,hills,2,2,0
