good,period_role,source_modes,rgo_locations,producer_families,seeded_producers,day_one_constructible_producers,constructible_polities,opening_reachable,market_source,audit_flags
alum,mineral_or_quarried_raw,rgo,68,,,,0,yes,yes,pass
amber,organic_raw_or_exchange,rgo,27,,,,0,yes,yes,pass
antq_amber_ornaments,processed_craft_or_service,seeded;constructible,0,antq_reg_amber_carver,antq_reg_amber_carver,antq_reg_amber_carver,16,yes,yes,pass
antq_barley,food_crop_or_animal,rgo;seeded;constructible,32,antq_cult_barley_plots,antq_cult_barley_plots,antq_cult_barley_plots,463,yes,yes,pass
antq_bound_codices,later_antique_specialty,later_locked,0,antq_reg_codex_bindery,,,0,no,no,pass
antq_bronze_wares,processed_craft_or_service,seeded;constructible,0,antq_reg_bell_foundry;antq_reg_bronze_foundry;antq_reg_bronze_vessel_shop;antq_reg_bronze_workers_collegium;antq_reg_cauldron_smithy;antq_reg_copper_smithy;antq_reg_tin_smelter;antq_reg_weightmaker,antq_reg_bell_foundry;antq_reg_bronze_foundry;antq_reg_bronze_vessel_shop;antq_reg_cauldron_smithy;antq_reg_copper_smithy;antq_reg_tin_smelter;antq_reg_weightmaker,antq_reg_bronze_foundry;antq_reg_tin_smelter,81,yes,yes,pass
antq_cage_glass,later_antique_specialty,later_locked,0,antq_reg_diatretum_glasshouse,,,0,no,no,pass
antq_camels,organic_raw_or_exchange,rgo;seeded;constructible,1,antq_cult_camel_corrals,antq_cult_camel_corrals,antq_cult_camel_corrals,463,yes,yes,pass
antq_carpets,processed_craft_or_service,seeded;constructible,0,antq_reg_carpet_loom,antq_reg_carpet_loom,antq_reg_carpet_loom,95,yes,yes,pass
antq_cheese_curds,processed_food_or_drink,seeded;constructible,0,antq_reg_cheese_dairy,antq_reg_cheese_dairy,antq_reg_cheese_dairy,463,yes,yes,pass
antq_coconut_products,processed_food_or_drink,seeded;constructible,0,antq_reg_coconut_workshop,antq_reg_coconut_workshop,antq_reg_coconut_workshop,25,yes,yes,pass
antq_coconuts,food_crop_or_animal,rgo;seeded;constructible,8,antq_cult_coconut_groves,antq_cult_coconut_groves,antq_cult_coconut_groves,463,yes,yes,pass
antq_cordage,processed_craft_or_service,seeded;constructible,0,antq_reg_fishing_tackle;antq_reg_netmaker;antq_reg_ropewalk,antq_reg_fishing_tackle;antq_reg_netmaker;antq_reg_ropewalk,antq_reg_netmaker;antq_reg_ropewalk,463,yes,yes,pass
antq_cured_meat,processed_food_or_drink,seeded;constructible,0,antq_reg_meat_curing_yard,antq_reg_meat_curing_yard,antq_reg_meat_curing_yard,463,yes,yes,pass
antq_dates,food_crop_or_animal,rgo;seeded;constructible,20,antq_cult_date_groves,antq_cult_date_groves,antq_cult_date_groves,463,yes,yes,pass
antq_dried_fruit,processed_food_or_drink,seeded;constructible,0,antq_reg_date_drying_yard,antq_reg_date_drying_yard,antq_reg_date_drying_yard,58,yes,yes,pass
antq_felt_goods,processed_craft_or_service,seeded;constructible,0,antq_reg_feltworks,antq_reg_feltworks,antq_reg_feltworks,65,yes,yes,pass
antq_fine_ceramics,processed_craft_or_service,seeded;constructible,0,antq_reg_ceramic_quarter;antq_reg_fineware_kiln;antq_reg_oil_lamp_kiln,antq_reg_ceramic_quarter;antq_reg_fineware_kiln;antq_reg_oil_lamp_kiln,antq_reg_fineware_kiln,36,yes,yes,pass
antq_garnet_cloisonne,later_antique_specialty,later_locked,0,antq_reg_polychrome_goldsmith,,,0,no,no,pass
antq_glass_beads,processed_craft_or_service,seeded;constructible,0,antq_reg_beadworks;antq_reg_glass_bead_furnace,antq_reg_beadworks;antq_reg_glass_bead_furnace,antq_reg_glass_bead_furnace,25,yes,yes,pass
antq_glasswares,processed_craft_or_service,seeded;constructible,0,antq_reg_glassworks,antq_reg_glassworks,antq_reg_glassworks,41,yes,yes,pass
antq_grain_products,processed_food_or_drink,seeded;constructible,0,antq_reg_annona_bakery;antq_reg_bread_oven;antq_reg_grain_mill;antq_reg_villa_rustica,antq_reg_annona_bakery;antq_reg_bread_oven;antq_reg_grain_mill;antq_reg_villa_rustica,antq_reg_grain_mill,463,yes,yes,pass
antq_iron_hardware,processed_craft_or_service,seeded;constructible,0,antq_reg_chainmaker;antq_reg_ironmongery;antq_reg_locksmith;antq_reg_nailery;antq_reg_wiredrawer,antq_reg_chainmaker;antq_reg_ironmongery;antq_reg_locksmith;antq_reg_nailery;antq_reg_wiredrawer,antq_reg_ironmongery,463,yes,yes,pass
antq_jade,mineral_or_quarried_raw,rgo,1,,,,0,yes,yes,pass
antq_lacquerware,processed_craft_or_service,seeded;constructible,0,antq_reg_lacquer_workshop,antq_reg_lacquer_workshop,antq_reg_lacquer_workshop,3,yes,yes,pass
