tag,name,good,source_mode,status
ABN,Ahar-Banas Highland,alum,opening_market_network,pass
ABN,Ahar-Banas Highland,amber,opening_market_network,pass
ABN,Ahar-Banas Highland,antq_amber_ornaments,opening_market_network,pass
ABN,Ahar-Banas Highland,antq_barley,day_one_constructible,pass
ABN,Ahar-Banas Highland,antq_bound_codices,dated_later_unlock,pass
ABN,Ahar-Banas Highland,antq_bronze_wares,opening_market_network,pass
ABN,Ahar-Banas Highland,antq_cage_glass,dated_later_unlock,pass
ABN,Ahar-Banas Highland,antq_camels,day_one_constructible,pass
ABN,Ahar-Banas Highland,antq_carpets,opening_market_network,pass
ABN,Ahar-Banas Highland,antq_cheese_curds,day_one_constructible,pass
ABN,Ahar-Banas Highland,antq_coconut_products,opening_market_network,pass
ABN,Ahar-Banas Highland,antq_coconuts,day_one_constructible,pass
ABN,Ahar-Banas Highland,antq_cordage,day_one_constructible,pass
ABN,Ahar-Banas Highland,antq_cured_meat,day_one_constructible,pass
ABN,Ahar-Banas Highland,antq_dates,day_one_constructible,pass
ABN,Ahar-Banas Highland,antq_dried_fruit,opening_market_network,pass
ABN,Ahar-Banas Highland,antq_felt_goods,opening_market_network,pass
ABN,Ahar-Banas Highland,antq_fine_ceramics,opening_market_network,pass
ABN,Ahar-Banas Highland,antq_garnet_cloisonne,dated_later_unlock,pass
ABN,Ahar-Banas Highland,antq_glass_beads,opening_market_network,pass
ABN,Ahar-Banas Highland,antq_glasswares,opening_market_network,pass
ABN,Ahar-Banas Highland,antq_grain_products,day_one_constructible,pass
ABN,Ahar-Banas Highland,antq_iron_hardware,day_one_constructible,pass
ABN,Ahar-Banas Highland,antq_jade,opening_market_network,pass
ABN,Ahar-Banas Highland,antq_lacquerware,opening_market_network,pass
ABN,Ahar-Banas Highland,antq_lead_wares,opening_market_network,pass
ABN,Ahar-Banas Highland,antq_leather_goods,day_one_constructible,pass
ABN,Ahar-Banas Highland,antq_naphtha,opening_market_network,pass
ABN,Ahar-Banas Highland,antq_nut_pastes,opening_market_network,pass
ABN,Ahar-Banas Highland,antq_olive_oil,day_one_constructible,pass
ABN,Ahar-Banas Highland,antq_papyrus,day_one_constructible,pass
ABN,Ahar-Banas Highland,antq_parchment,opening_market_network,pass
ABN,Ahar-Banas Highland,antq_perfumes,opening_market_network,pass
ABN,Ahar-Banas Highland,antq_preserved_fish,day_one_constructible,pass
ABN,Ahar-Banas Highland,antq_rice_wine,opening_market_network,pass
ABN,Ahar-Banas Highland,antq_sailcloth,day_one_constructible,pass
ABN,Ahar-Banas Highland,antq_sesame,day_one_constructible,pass
ABN,Ahar-Banas Highland,antq_sesame_oil,opening_market_network,pass
ABN,Ahar-Banas Highland,antq_silphium,opening_market_network,pass
ABN,Ahar-Banas Highland,antq_soap,opening_market_network,pass
ABN,Ahar-Banas Highland,antq_soy_condiments,opening_market_network,pass
ABN,Ahar-Banas Highland,antq_tree_nuts,day_one_constructible,pass
ABN,Ahar-Banas Highland,antq_wax_goods,opening_market_network,pass
ABN,Ahar-Banas Highland,antq_yue_celadon,dated_later_unlock,pass
ABN,Ahar-Banas Highland,beer,day_one_constructible,pass
ABN,Ahar-Banas Highland,beeswax,opening_market_network,pass
ABN,Ahar-Banas Highland,books,opening_market_network,pass
ABN,Ahar-Banas Highland,chili,opening_market_network,pass
ABN,Ahar-Banas Highland,clay,opening_market_network,pass
ABN,Ahar-Banas Highland,cloth,day_one_constructible,pass
ABN,Ahar-Banas Highland,cloves,opening_market_network,pass
ABN,Ahar-Banas Highland,coal,opening_market_network,pass
ABN,Ahar-Banas Highland,cocoa,opening_market_network,pass
ABN,Ahar-Banas Highland,copper,opening_market_network,pass
ABN,Ahar-Banas Highland,cotton,owned_rgo,pass
ABN,Ahar-Banas Highland,dyes,opening_market_network,pass
ABN,Ahar-Banas Highland,elephants,opening_market_network,pass
ABN,Ahar-Banas Highland,fiber_crops,opening_market_network,pass
ABN,Ahar-Banas Highland,fine_cloth,opening_market_network,pass
ABN,Ahar-Banas Highland,fish,opening_market_network,pass
ABN,Ahar-Banas Highland,fruit,owned_rgo,pass
ABN,Ahar-Banas Highland,fur,opening_market_network,pass
ABN,Ahar-Banas Highland,furniture,opening_market_network,pass
ABN,Ahar-Banas Highland,gems,opening_market_network,pass
ABN,Ahar-Banas Highland,glass,opening_market_network,pass
ABN,Ahar-Banas Highland,goods_gold,opening_market_network,pass
ABN,Ahar-Banas Highland,horses,opening_market_network,pass
ABN,Ahar-Banas Highland,incense,opening_market_network,pass
ABN,Ahar-Banas Highland,iron,owned_rgo,pass
ABN,Ahar-Banas Highland,ivory,opening_market_network,pass
ABN,Ahar-Banas Highland,jewelry,opening_market_network,pass
ABN,Ahar-Banas Highland,lead,owned_rgo,pass
ABN,Ahar-Banas Highland,leather,day_one_constructible,pass
ABN,Ahar-Banas Highland,legumes,opening_market_network,pass
ABN,Ahar-Banas Highland,livestock,opening_market_network,pass
ABN,Ahar-Banas Highland,lumber,owned_rgo,pass
ABN,Ahar-Banas Highland,maize,opening_market_network,pass
ABN,Ahar-Banas Highland,marble,owned_rgo,pass
ABN,Ahar-Banas Highland,masonry,day_one_constructible,pass
ABN,Ahar-Banas Highland,medicaments,opening_market_network,pass
ABN,Ahar-Banas Highland,mercury,opening_market_network,pass
ABN,Ahar-Banas Highland,millet,owned_rgo,pass
ABN,Ahar-Banas Highland,naval_supplies,day_one_constructible,pass
ABN,Ahar-Banas Highland,olives,opening_market_network,pass
ABN,Ahar-Banas Highland,paper,opening_market_network,pass
ABN,Ahar-Banas Highland,pearls,opening_market_network,pass
ABN,Ahar-Banas Highland,pepper,opening_market_network,pass
ABN,Ahar-Banas Highland,potato,opening_market_network,pass
ABN,Ahar-Banas Highland,pottery,day_one_constructible,pass
ABN,Ahar-Banas Highland,rice,opening_market_network,pass
ABN,Ahar-Banas Highland,saffron,opening_market_network,pass
ABN,Ahar-Banas Highland,salt,opening_market_network,pass
ABN,Ahar-Banas Highland,sand,opening_market_network,pass
ABN,Ahar-Banas Highland,silk,opening_market_network,pass
ABN,Ahar-Banas Highland,silver,owned_rgo,pass
ABN,Ahar-Banas Highland,steel,opening_market_network,pass
ABN,Ahar-Banas Highland,stone,opening_market_network,pass
ABN,Ahar-Banas Highland,sugar,opening_market_network,pass
ABN,Ahar-Banas Highland,tar,day_one_constructible,pass
ABN,Ahar-Banas Highland,tea,opening_market_network,pass
ABN,Ahar-Banas Highland,tin,opening_market_network,pass
ABN,Ahar-Banas Highland,tobacco,opening_market_network,pass
ABN,Ahar-Banas Highland,tools,day_one_constructible,pass
ABN,Ahar-Banas Highland,weaponry,day_one_constructible,pass
ABN,Ahar-Banas Highland,wheat,opening_market_network,pass
ABN,Ahar-Banas Highland,wild_game,owned_rgo,pass
