key,building,tier,name,unlock_age,profile,output_multiplier,input_multiplier,source
antq_reg_alum_dyehouse_maintenance,antq_reg_alum_dyehouse,maintenance,Established Practice,opening,shared,1.000,1.000,CAM-MELOS-ALUM;UNESCO-TYRE;P12.1
antq_reg_alum_dyehouse_organized,antq_reg_alum_dyehouse,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,CAM-MELOS-ALUM;UNESCO-TYRE;P12.1
antq_reg_alum_dyehouse_intensive,antq_reg_alum_dyehouse,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,CAM-MELOS-ALUM;UNESCO-TYRE;P12.1
antq_reg_amber_carver_maintenance,antq_reg_amber_carver,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;MET-ROMAN-TRADE
antq_reg_amber_carver_organized,antq_reg_amber_carver,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;MET-ROMAN-TRADE
antq_reg_amber_carver_intensive,antq_reg_amber_carver,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;MET-ROMAN-TRADE
antq_reg_annona_bakery_maintenance,antq_reg_annona_bakery,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3;CAH-XI;MET-ROMAN-HOUSING;MET-ROMAN-TRADE
antq_reg_annona_bakery_organized,antq_reg_annona_bakery,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3;CAH-XI;MET-ROMAN-HOUSING;MET-ROMAN-TRADE
antq_reg_annona_bakery_intensive,antq_reg_annona_bakery,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3;CAH-XI;MET-ROMAN-HOUSING;MET-ROMAN-TRADE
antq_reg_arrow_fletchery_maintenance,antq_reg_arrow_fletchery,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P14
antq_reg_arrow_fletchery_organized,antq_reg_arrow_fletchery,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P14
antq_reg_arrow_fletchery_intensive,antq_reg_arrow_fletchery,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P14
antq_reg_barge_chandlery_maintenance,antq_reg_barge_chandlery,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;MET-ROMAN-TRADE
antq_reg_barge_chandlery_organized,antq_reg_barge_chandlery,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;MET-ROMAN-TRADE
antq_reg_barge_chandlery_intensive,antq_reg_barge_chandlery,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;MET-ROMAN-TRADE
antq_reg_bargeyard_maintenance,antq_reg_bargeyard,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;MET-ROMAN-TRADE
antq_reg_bargeyard_organized,antq_reg_bargeyard,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;MET-ROMAN-TRADE
antq_reg_bargeyard_intensive,antq_reg_bargeyard,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;MET-ROMAN-TRADE
antq_reg_basketry_maintenance,antq_reg_basketry,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3
antq_reg_basketry_organized,antq_reg_basketry,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3
antq_reg_basketry_intensive,antq_reg_basketry,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3
antq_reg_beadworks_maintenance,antq_reg_beadworks,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3
antq_reg_beadworks_organized,antq_reg_beadworks,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3
antq_reg_beadworks_intensive,antq_reg_beadworks,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3
antq_reg_bell_foundry_maintenance,antq_reg_bell_foundry,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3;MET-ROMAN-TRADE
antq_reg_bell_foundry_organized,antq_reg_bell_foundry,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3;MET-ROMAN-TRADE
antq_reg_bell_foundry_intensive,antq_reg_bell_foundry,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3;MET-ROMAN-TRADE
antq_reg_bone_carver_maintenance,antq_reg_bone_carver,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3
antq_reg_bone_carver_organized,antq_reg_bone_carver,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3
antq_reg_bone_carver_intensive,antq_reg_bone_carver,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3
antq_reg_bread_oven_maintenance,antq_reg_bread_oven,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3
antq_reg_bread_oven_organized,antq_reg_bread_oven,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3
antq_reg_bread_oven_intensive,antq_reg_bread_oven,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3
antq_reg_brewhouse_maintenance,antq_reg_brewhouse,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3
antq_reg_brewhouse_organized,antq_reg_brewhouse,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3
antq_reg_brewhouse_intensive,antq_reg_brewhouse,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3
antq_reg_brickworks_maintenance,antq_reg_brickworks,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1
antq_reg_brickworks_organized,antq_reg_brickworks,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1
antq_reg_brickworks_intensive,antq_reg_brickworks,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1
antq_reg_bronze_foundry_maintenance,antq_reg_bronze_foundry,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1
antq_reg_bronze_foundry_organized,antq_reg_bronze_foundry,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1
antq_reg_bronze_foundry_intensive,antq_reg_bronze_foundry,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1
antq_reg_bronze_vessel_shop_maintenance,antq_reg_bronze_vessel_shop,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3
antq_reg_bronze_vessel_shop_organized,antq_reg_bronze_vessel_shop,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3
antq_reg_bronze_vessel_shop_intensive,antq_reg_bronze_vessel_shop,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3
antq_reg_bronze_workers_collegium_maintenance,antq_reg_bronze_workers_collegium,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3;CAH-XI;MET-ROMAN-HOUSING;MET-ROMAN-TRADE
antq_reg_bronze_workers_collegium_organized,antq_reg_bronze_workers_collegium,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3;CAH-XI;MET-ROMAN-HOUSING;MET-ROMAN-TRADE
antq_reg_bronze_workers_collegium_intensive,antq_reg_bronze_workers_collegium,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3;CAH-XI;MET-ROMAN-HOUSING;MET-ROMAN-TRADE
antq_reg_brushmaker_maintenance,antq_reg_brushmaker,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3;MET-ROMAN-TRADE
antq_reg_brushmaker_organized,antq_reg_brushmaker,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3;MET-ROMAN-TRADE
antq_reg_brushmaker_intensive,antq_reg_brushmaker,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3;MET-ROMAN-TRADE
antq_reg_carpet_loom_maintenance,antq_reg_carpet_loom,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3;MET-ROMAN-TRADE
antq_reg_carpet_loom_organized,antq_reg_carpet_loom,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3;MET-ROMAN-TRADE
antq_reg_carpet_loom_intensive,antq_reg_carpet_loom,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3;MET-ROMAN-TRADE
antq_reg_castra_fabrica_maintenance,antq_reg_castra_fabrica,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3;CAH-XI;MET-ROMAN-HOUSING;MET-ROMAN-TRADE
antq_reg_castra_fabrica_organized,antq_reg_castra_fabrica,organized,Organized Workshop,age_3_discovery,shared,1.081,1.080,P12.1;P12.3;CAH-XI;MET-ROMAN-HOUSING;MET-ROMAN-TRADE
antq_reg_castra_fabrica_intensive,antq_reg_castra_fabrica,intensive,Specialist Workshop,age_4_reformation,shared,1.182,1.180,P12.1;P12.3;CAH-XI;MET-ROMAN-HOUSING;MET-ROMAN-TRADE
antq_reg_cauldron_smithy_maintenance,antq_reg_cauldron_smithy,maintenance,Established Practice,opening,shared,1.000,1.000,P12.1;P12.3
