region,capacity_class,resource_family,fit_class,trade_access,locations
Africa,dryland_or_oasis,aquatic,environmentally_aligned,coastal_access,4
Africa,dryland_or_oasis,aquatic,environmentally_aligned,coastal_local,14
Africa,dryland_or_oasis,aquatic,environmentally_aligned,major_harbor,1
Africa,dryland_or_oasis,fiber_or_dye_crop,environmentally_aligned,inland,10
Africa,dryland_or_oasis,forest_or_gathered,bounded_specialty,coastal_access,1
Africa,dryland_or_oasis,forest_or_gathered,bounded_specialty,coastal_local,5
Africa,dryland_or_oasis,forest_or_gathered,broad_capacity_proxy,coastal_access,1
Africa,dryland_or_oasis,forest_or_gathered,broad_capacity_proxy,coastal_local,1
Africa,dryland_or_oasis,forest_or_gathered,broad_capacity_proxy,inland,14
Africa,dryland_or_oasis,forest_or_gathered,source_anchored,market_anchor,1
Africa,dryland_or_oasis,mineral_or_quarried,environmentally_aligned,coastal_local,6
Africa,dryland_or_oasis,mineral_or_quarried,environmentally_aligned,inland,46
Africa,dryland_or_oasis,orchard_or_specialty_crop,environmentally_aligned,coastal_access,1
Africa,dryland_or_oasis,orchard_or_specialty_crop,environmentally_aligned,coastal_local,1
Africa,dryland_or_oasis,orchard_or_specialty_crop,environmentally_aligned,inland,25
Africa,dryland_or_oasis,pastoral,environmentally_aligned,coastal_local,4
Africa,dryland_or_oasis,pastoral,environmentally_aligned,inland,68
Africa,dryland_or_oasis,pastoral,environmentally_aligned,market_anchor,1
Africa,dryland_or_oasis,staple_crop,broad_capacity_proxy,inland,22
Africa,highland,aquatic,broad_capacity_proxy,inland,1
Africa,highland,fiber_or_dye_crop,broad_capacity_proxy,inland,5
Africa,highland,forest_or_gathered,environmentally_aligned,inland,3
Africa,highland,mineral_or_quarried,environmentally_aligned,inland,11
Africa,highland,orchard_or_specialty_crop,broad_capacity_proxy,inland,3
Africa,highland,pastoral,environmentally_aligned,inland,4
Africa,highland,staple_crop,broad_capacity_proxy,inland,17
Africa,intensive_cultivation,aquatic,environmentally_aligned,major_harbor,2
Africa,intensive_cultivation,fiber_or_dye_crop,environmentally_aligned,coastal_access,1
Africa,intensive_cultivation,fiber_or_dye_crop,environmentally_aligned,coastal_local,1
Africa,intensive_cultivation,fiber_or_dye_crop,environmentally_aligned,inland,3
Africa,intensive_cultivation,fiber_or_dye_crop,environmentally_aligned,major_harbor,1
Africa,intensive_cultivation,forest_or_gathered,broad_capacity_proxy,coastal_local,1
Africa,intensive_cultivation,mineral_or_quarried,broad_capacity_proxy,inland,1
Africa,intensive_cultivation,mineral_or_quarried,broad_capacity_proxy,major_harbor,1
Africa,intensive_cultivation,orchard_or_specialty_crop,environmentally_aligned,coastal_local,2
Africa,intensive_cultivation,orchard_or_specialty_crop,environmentally_aligned,inland,7
Africa,intensive_cultivation,staple_crop,environmentally_aligned,coastal_access,2
Africa,intensive_cultivation,staple_crop,environmentally_aligned,coastal_local,1
Africa,intensive_cultivation,staple_crop,environmentally_aligned,inland,3
Africa,mixed_land,staple_crop,environmentally_aligned,inland,3
Africa,open_mixed_land,aquatic,environmentally_aligned,coastal_access,4
Africa,open_mixed_land,aquatic,environmentally_aligned,coastal_local,1
Africa,open_mixed_land,fiber_or_dye_crop,environmentally_aligned,coastal_local,1
Africa,open_mixed_land,fiber_or_dye_crop,environmentally_aligned,inland,9
Africa,open_mixed_land,forest_or_gathered,broad_capacity_proxy,inland,8
Africa,open_mixed_land,mineral_or_quarried,broad_capacity_proxy,coastal_access,1
