location,region,operation,source_good,replacement_good
abarkuh,Iran,environment_rule,cotton,fiber_crops
abrahamtelke,Danube,regional_rule,saltpeter,salt
acre,Iran,regional_rule,sugar,fiber_crops
adan,Arabia,regional_rule,sugar,fiber_crops
adra,Rome,regional_rule,sugar,fiber_crops
agaro,Africa,regional_rule,coffee,medicaments
agra,India,regional_rule,silk,fiber_crops
ahar,Iran,environment_rule,cotton,fiber_crops
ahlat,Caucasus,regional_rule,silk,fiber_crops
ahvaz,Iran,regional_rule,sugar,fiber_crops
ajara,India,location_allowlist_rule,pepper,medicaments
akbarpur,India,regional_rule,silk,fiber_crops
akhmim,Rome,regional_rule,cotton,fiber_crops
aksu,Tarim,regional_rule,cotton,fiber_crops
akyazi,Rome,regional_rule,silk,fiber_crops
al_ahsa,Arabia,anchor,rice,antq_dates
al_kadwa,Rome,regional_rule,cotton,fiber_crops
al_mima,Rome,regional_rule,rice,millet
al_mukha,Arabia,anchor,coffee,incense
al_shuqayq,Arabia,regional_rule,sugar,fiber_crops
al_ula,Arabia,anchor,fruit,antq_dates
alamganj,India,regional_rule,silk,fiber_crops
alasehir,Rome,regional_rule,silk,fiber_crops
alcazar_de_san_juan,Rome,regional_rule,saltpeter,salt
alcobaca,Rome,environment_rule,olives,fruit
aleppo,Iran,anchor,cotton,antq_sesame
alexandria,Rome,anchor,salt,antq_papyrus
amaigbo,West Africa,regional_rule,saffron,medicaments
amassing,Southeast Asia,location_allowlist_rule,cloves,medicaments
ami,China,regional_rule,cotton,fiber_crops
amol,Iran,regional_rule,silk,fiber_crops
amol_turkmenabad,Central Asia,environment_rule,cotton,fiber_crops
amora_gadal,Africa,regional_rule,sugar,fiber_crops
amorgos,Rome,regional_rule,silk,fiber_crops
anah,Iran,anchor,fruit,antq_dates
andijan,Central Asia,environment_rule,cotton,fiber_crops
angadippuram,India,anchor,fruit,antq_coconuts
angkor_knong,Southeast Asia,regional_rule,incense,medicaments
anhua,China,location_allowlist_rule,tea,medicaments
anji,China,location_allowlist_rule,tea,medicaments
anqiu,China,location_allowlist_rule,pepper,medicaments
anren,China,location_allowlist_rule,tea,medicaments
antioch,Rome,regional_rule,silk,fiber_crops
anxi,China,location_allowlist_rule,tea,medicaments
anyuan_dingnan,China,location_allowlist_rule,tea,medicaments
aqca,Central Asia,environment_rule,cotton,fiber_crops
arad,Danube,regional_rule,wine,fruit
arrah,India,regional_rule,saltpeter,salt
artush,Tarim,regional_rule,cotton,fiber_crops
ashaval,India,regional_rule,silk,fiber_crops
ashigara,Japan,location_allowlist_rule,tea,medicaments
ashikaga_loc,Japan,regional_rule,cotton,fiber_crops
ashmunayn,Rome,anchor,fruit,antq_sesame
ashraf,Iran,regional_rule,sugar,fiber_crops
astarabad,Iran,anchor,fruit,antq_tree_nuts
awaji,Japan,regional_rule,incense,medicaments
awaran,Iran,regional_rule,silk,fiber_crops
axochiapan,Mesoamerica,regional_rule,incense,medicaments
ayas,Anatolia,regional_rule,cotton,fiber_crops
ayasuluk,Rome,anchor,silk,antq_tree_nuts
