corridor_origin,corridor_destination,step,origin,destination,corridor,source,confidence,note
rome,pisa,1,rome,bracciano,Via Aurelia,ORB;P8.1,secure,Italian Tyrrhenian trunk leg
rome,pisa,2,bracciano,civitavecchia,Via Aurelia,ORB;P8.1,secure,Italian Tyrrhenian trunk leg
rome,pisa,3,civitavecchia,corneto,Via Aurelia,ORB;P8.1,secure,Italian Tyrrhenian trunk leg
rome,pisa,4,corneto,pitigliano,Via Aurelia,ORB;P8.1,secure,Italian Tyrrhenian trunk leg
rome,pisa,5,pitigliano,grosseto,Via Aurelia,ORB;P8.1,secure,Italian Tyrrhenian trunk leg
rome,pisa,6,grosseto,massamar,Via Aurelia,ORB;P8.1,secure,Italian Tyrrhenian trunk leg
rome,pisa,7,massamar,volterra,Via Aurelia,ORB;P8.1,secure,Italian Tyrrhenian trunk leg
rome,pisa,8,volterra,livorno,Via Aurelia,ORB;P8.1,secure,Italian Tyrrhenian trunk leg
rome,pisa,9,livorno,pisa,Via Aurelia,ORB;P8.1,secure,Italian Tyrrhenian trunk leg
pisa,genoa,1,pisa,lucca,Via Aurelia,ORB;P8.1,secure,Ligurian Tyrrhenian trunk leg
pisa,genoa,2,lucca,massa,Via Aurelia,ORB;P8.1,secure,Ligurian Tyrrhenian trunk leg
pisa,genoa,3,massa,fosdinovo,Via Aurelia,ORB;P8.1,secure,Ligurian Tyrrhenian trunk leg
pisa,genoa,4,fosdinovo,bardi,Via Aurelia,ORB;P8.1,secure,Ligurian Tyrrhenian trunk leg
pisa,genoa,5,bardi,lavagna,Via Aurelia,ORB;P8.1,secure,Ligurian Tyrrhenian trunk leg
pisa,genoa,6,lavagna,genoa,Via Aurelia,ORB;P8.1,secure,Ligurian Tyrrhenian trunk leg
genoa,marseille,1,genoa,acqui,Via Aurelia,ORB;P8.1,secure,Ligurian-Gallic coastal trunk leg
genoa,marseille,2,acqui,alba,Via Aurelia,ORB;P8.1,secure,Ligurian-Gallic coastal trunk leg
genoa,marseille,3,alba,cuneo,Via Aurelia,ORB;P8.1,secure,Ligurian-Gallic coastal trunk leg
genoa,marseille,4,cuneo,barcelonnette,Via Aurelia,ORB;P8.1,secure,Ligurian-Gallic coastal trunk leg
genoa,marseille,5,barcelonnette,sisteron,Via Aurelia,ORB;P8.1,secure,Ligurian-Gallic coastal trunk leg
genoa,marseille,6,sisteron,forcalquier,Via Aurelia,ORB;P8.1,secure,Ligurian-Gallic coastal trunk leg
genoa,marseille,7,forcalquier,aix_en_provence,Via Aurelia,ORB;P8.1,secure,Ligurian-Gallic coastal trunk leg
genoa,marseille,8,aix_en_provence,marseille,Via Aurelia,ORB;P8.1,secure,Ligurian-Gallic coastal trunk leg
marseille,lyon,1,marseille,aix_en_provence,Rhone axis,ORB;P8.1,secure,Rhone valley trunk leg
marseille,lyon,2,aix_en_provence,apt,Rhone axis,ORB;P8.1,secure,Rhone valley trunk leg
marseille,lyon,3,apt,mevouillon,Rhone axis,ORB;P8.1,secure,Rhone valley trunk leg
marseille,lyon,4,mevouillon,valence,Rhone axis,ORB;P8.1,secure,Rhone valley trunk leg
marseille,lyon,5,valence,romans,Rhone axis,ORB;P8.1,secure,Rhone valley trunk leg
marseille,lyon,6,romans,vienne,Rhone axis,ORB;P8.1,secure,Rhone valley trunk leg
marseille,lyon,7,vienne,lyon,Rhone axis,ORB;P8.1,secure,Rhone valley trunk leg
rome,benevento,1,rome,palestrina,Via Appia,ORB;ITA-APPIA;P8.1,contested,Benevento is the first available installed inland proxy after the missing Capua map key
rome,benevento,2,palestrina,anagni,Via Appia,ORB;ITA-APPIA;P8.1,contested,Benevento is the first available installed inland proxy after the missing Capua map key
rome,benevento,3,anagni,sora,Via Appia,ORB;ITA-APPIA;P8.1,contested,Benevento is the first available installed inland proxy after the missing Capua map key
rome,benevento,4,sora,venafro,Via Appia,ORB;ITA-APPIA;P8.1,contested,Benevento is the first available installed inland proxy after the missing Capua map key
rome,benevento,5,venafro,piedimonte,Via Appia,ORB;ITA-APPIA;P8.1,contested,Benevento is the first available installed inland proxy after the missing Capua map key
rome,benevento,6,piedimonte,benevento,Via Appia,ORB;ITA-APPIA;P8.1,contested,Benevento is the first available installed inland proxy after the missing Capua map key
benevento,taranto,1,benevento,ariano,Via Appia,ORB;ITA-APPIA;P8.1,secure,Samnite to Tarentine trunk leg
benevento,taranto,2,ariano,bovino,Via Appia,ORB;ITA-APPIA;P8.1,secure,Samnite to Tarentine trunk leg
benevento,taranto,3,bovino,foggia,Via Appia,ORB;ITA-APPIA;P8.1,secure,Samnite to Tarentine trunk leg
benevento,taranto,4,foggia,andria,Via Appia,ORB;ITA-APPIA;P8.1,secure,Samnite to Tarentine trunk leg
benevento,taranto,5,andria,altamura,Via Appia,ORB;ITA-APPIA;P8.1,secure,Samnite to Tarentine trunk leg
benevento,taranto,6,altamura,martinafr,Via Appia,ORB;ITA-APPIA;P8.1,secure,Samnite to Tarentine trunk leg
benevento,taranto,7,martinafr,taranto,Via Appia,ORB;ITA-APPIA;P8.1,secure,Samnite to Tarentine trunk leg
taranto,brindisi,1,taranto,francavilla,Via Appia,ORB;ITA-APPIA;P8.1,secure,Adriatic terminus trunk leg
taranto,brindisi,2,francavilla,brindisi,Via Appia,ORB;ITA-APPIA;P8.1,secure,Adriatic terminus trunk leg
narni,spoleto,1,narni,spoleto,Via Flaminia eastern branch,P8.1;ORB;MIC-FLAM,contested,Narni to Spoleto is a high-level installed-map proxy for the eastern branch through unavailable Terni
rimini,bologna,1,rimini,cesena,Via Aemilia eastern section,P8.1;ORB;MIC-AEM,contested,Rimini to Bologna is a high-level map proxy for the 187 BCE Via Aemilia with intermediate anchors omitted
rimini,bologna,2,cesena,faenza,Via Aemilia eastern section,P8.1;ORB;MIC-AEM,contested,Rimini to Bologna is a high-level map proxy for the 187 BCE Via Aemilia with intermediate anchors omitted
rimini,bologna,3,faenza,imola,Via Aemilia eastern section,P8.1;ORB;MIC-AEM,contested,Rimini to Bologna is a high-level map proxy for the 187 BCE Via Aemilia with intermediate anchors omitted
rimini,bologna,4,imola,medicina,Via Aemilia eastern section,P8.1;ORB;MIC-AEM,contested,Rimini to Bologna is a high-level map proxy for the 187 BCE Via Aemilia with intermediate anchors omitted
rimini,bologna,5,medicina,bologna,Via Aemilia eastern section,P8.1;ORB;MIC-AEM,contested,Rimini to Bologna is a high-level map proxy for the 187 BCE Via Aemilia with intermediate anchors omitted
bologna,modena,1,bologna,modena,Via Aemilia,P8.1;ORB;MIC-AEM,secure,Bologna to Modena is an installed endpoint link on the documented Via Aemilia corridor
modena,parma,1,modena,canossa,Via Aemilia,P8.1;ORB;MIC-AEM,contested,Modena to Parma is a high-level map proxy through unavailable Reggio Emilia
modena,parma,2,canossa,parma,Via Aemilia,P8.1;ORB;MIC-AEM,contested,Modena to Parma is a high-level map proxy through unavailable Reggio Emilia
parma,piacenza,1,parma,cremona,Via Aemilia western section,P8.1;ORB;MIC-AEM,secure,Parma to Piacenza completes the installed endpoint corridor to the documented western terminus
parma,piacenza,2,cremona,piacenza,Via Aemilia western section,P8.1;ORB;MIC-AEM,secure,Parma to Piacenza completes the installed endpoint corridor to the documented western terminus
rimini,ravenna,1,rimini,cesena,Via Popilia southern section,P8.1;ORB;MIC-POP,contested,Rimini to Ravenna is a high-level installed-map proxy for the documented Popilia corridor
rimini,ravenna,2,cesena,ravenna,Via Popilia southern section,P8.1;ORB;MIC-POP,contested,Rimini to Ravenna is a high-level installed-map proxy for the documented Popilia corridor
