origin,destination,reason,evidence
aquileia,mestre,Pixel polygons touch across a non-road map boundary that EU5 1.3.11 rejects for road construction,selector runtime 2026-08-07
chioggia,trieste,Pixel polygons touch across the upper Adriatic water boundary that EU5 1.3.11 rejects for road construction,selector runtime 2026-08-07
corlu,izmit,Pixel polygons touch across the Bosporus water boundary that EU5 1.3.11 rejects for road construction,selector runtime 2026-08-07
maralbexi,mazar_tagh,Pixel polygons touch across an impassable Tarim map boundary that EU5 1.3.11 rejects for road construction,selector runtime 2026-08-07
izmit,silivri,Pixel polygons touch across a Marmara water boundary that EU5 1.3.11 rejects for road construction,selector runtime 2026-08-07
mestre,rovinj,Pixel polygons touch across the upper Adriatic water boundary that EU5 1.3.11 rejects for road construction,selector runtime 2026-08-07
trieste,venice,Pixel polygons touch across the upper Adriatic water boundary that EU5 1.3.11 rejects for road construction,selector runtime 2026-08-07
constantinople,izmit,Pixel polygons touch across a Bosporus-Marmara water boundary that EU5 1.3.11 rejects for road construction,selector runtime 2026-08-07
amorgos,kos,Pixel polygons touch across an Aegean water boundary that EU5 1.3.11 rejects for road construction,selector runtime 2026-08-07
amorgos,milos,Pixel polygons touch across an Aegean water boundary that EU5 1.3.11 rejects for road construction,selector runtime 2026-08-07
athens,kythnos,Pixel polygons touch across an Aegean water boundary that EU5 1.3.11 rejects for road construction,selector runtime 2026-08-07
kythnos,milos,Pixel polygons touch across an Aegean water boundary that EU5 1.3.11 rejects for road construction,selector runtime 2026-08-07
