kind,key,sheet,quadrant,style_references,historical_reference
building,antq_reg_villa_rustica,buildings_01.png,top_left,installed EU5 direct building icons,docs/m5/roman_economy_profiles.csv; docs/m5/regional_building_families.csv; docs/m5/custom_goods.csv
building,antq_reg_tabernae_row,buildings_01.png,top_right,installed EU5 direct building icons,docs/m5/roman_economy_profiles.csv; docs/m5/regional_building_families.csv; docs/m5/custom_goods.csv
building,antq_reg_forum_basilica,buildings_01.png,bottom_left,installed EU5 direct building icons,docs/m5/roman_economy_profiles.csv; docs/m5/regional_building_families.csv; docs/m5/custom_goods.csv
building,antq_reg_horrea_complex,buildings_01.png,bottom_right,installed EU5 direct building icons,docs/m5/roman_economy_profiles.csv; docs/m5/regional_building_families.csv; docs/m5/custom_goods.csv
building,antq_reg_annona_bakery,buildings_02.png,top_left,installed EU5 direct building icons,docs/m5/roman_economy_profiles.csv; docs/m5/regional_building_families.csv; docs/m5/custom_goods.csv
building,antq_reg_aqueduct_distribution,buildings_02.png,top_right,installed EU5 direct building icons,docs/m5/roman_economy_profiles.csv; docs/m5/regional_building_families.csv; docs/m5/custom_goods.csv
building,antq_reg_thermae_complex,buildings_02.png,bottom_left,installed EU5 direct building icons,docs/m5/roman_economy_profiles.csv; docs/m5/regional_building_families.csv; docs/m5/custom_goods.csv
building,antq_reg_cursus_mansio,buildings_02.png,bottom_right,installed EU5 direct building icons,docs/m5/roman_economy_profiles.csv; docs/m5/regional_building_families.csv; docs/m5/custom_goods.csv
building,antq_reg_river_port,buildings_03.png,top_left,installed EU5 direct building icons,docs/m5/roman_economy_profiles.csv; docs/m5/regional_building_families.csv; docs/m5/custom_goods.csv
building,antq_reg_colonia_forum,buildings_03.png,top_right,installed EU5 direct building icons,docs/m5/roman_economy_profiles.csv; docs/m5/regional_building_families.csv; docs/m5/custom_goods.csv
building,antq_reg_castra_fabrica,buildings_03.png,bottom_left,installed EU5 direct building icons,docs/m5/roman_economy_profiles.csv; docs/m5/regional_building_families.csv; docs/m5/custom_goods.csv
building,antq_reg_frontier_magazine,buildings_03.png,bottom_right,installed EU5 direct building icons,docs/m5/roman_economy_profiles.csv; docs/m5/regional_building_families.csv; docs/m5/custom_goods.csv
building,antq_reg_quarry_contractors,buildings_04.png,top_left,installed EU5 direct building icons,docs/m5/roman_economy_profiles.csv; docs/m5/regional_building_families.csv; docs/m5/custom_goods.csv
building,antq_reg_olive_estate,buildings_04.png,top_right,installed EU5 direct building icons,docs/m5/roman_economy_profiles.csv; docs/m5/regional_building_families.csv; docs/m5/custom_goods.csv
building,antq_reg_vineyard_estate,buildings_04.png,bottom_left,installed EU5 direct building icons,docs/m5/roman_economy_profiles.csv; docs/m5/regional_building_families.csv; docs/m5/custom_goods.csv
building,antq_reg_textile_quarter,buildings_04.png,bottom_right,installed EU5 direct building icons,docs/m5/roman_economy_profiles.csv; docs/m5/regional_building_families.csv; docs/m5/custom_goods.csv
building,antq_reg_ceramic_quarter,buildings_05.png,top_left,installed EU5 direct building icons,docs/m5/roman_economy_profiles.csv; docs/m5/regional_building_families.csv; docs/m5/custom_goods.csv
building,antq_reg_insulae_quarter,buildings_05.png,top_right,installed EU5 direct building icons,docs/m5/roman_economy_profiles.csv; docs/m5/regional_building_families.csv; docs/m5/custom_goods.csv
