profile,name,locations,choices,productive,categories,outputs
latium,Latium and Roma,1,23,11,9,antq_bronze_wares;antq_fine_ceramics;antq_grain_products;antq_lead_wares;antq_olive_oil;antq_perfumes;cloth;masonry;weaponry;wine
italia_annonaria,Northern Italian Cities,3,19,9,7,antq_bronze_wares;antq_fine_ceramics;antq_grain_products;antq_lead_wares;antq_olive_oil;cloth;masonry;wine
adriatic_corridor,Upper Adriatic Corridor,2,17,8,8,antq_bronze_wares;antq_fine_ceramics;antq_grain_products;antq_lead_wares;cloth;masonry;weaponry
italia_meridionalis,Southern Italian Ports,2,16,7,7,antq_fine_ceramics;antq_grain_products;antq_olive_oil;antq_perfumes;cloth;wine
baetica,Baetican Export Cities,2,17,9,6,antq_bronze_wares;antq_fine_ceramics;antq_grain_products;antq_lead_wares;antq_olive_oil;antq_perfumes;masonry;wine
tarraconensis,Tarraconensian Corridor,2,17,9,8,antq_bronze_wares;antq_fine_ceramics;antq_grain_products;antq_lead_wares;cloth;masonry;weaponry;wine
lusitania,Lusitanian Atlantic Cities,2,16,9,5,antq_bronze_wares;antq_fine_ceramics;antq_grain_products;antq_lead_wares;antq_olive_oil;cloth;masonry;wine
narbonensis,Narbonensian Markets,4,18,8,7,antq_fine_ceramics;antq_grain_products;antq_olive_oil;antq_perfumes;cloth;masonry;wine
lugdunensis,Lugdunensis and Aquitania,2,18,9,8,antq_bronze_wares;antq_fine_ceramics;antq_grain_products;antq_lead_wares;cloth;masonry;weaponry;wine
africa_proconsularis,Africa Proconsularis,3,17,7,7,antq_fine_ceramics;antq_grain_products;antq_olive_oil;antq_perfumes;cloth;masonry
africa_frontier,African Coastal Frontier,2,13,7,7,antq_fine_ceramics;antq_grain_products;antq_olive_oil;cloth;masonry;weaponry
aegyptus,Aegyptus,1,20,8,9,antq_bronze_wares;antq_fine_ceramics;antq_grain_products;antq_lead_wares;antq_perfumes;cloth;masonry;weaponry
achaia,Achaia,1,18,8,7,antq_bronze_wares;antq_fine_ceramics;antq_grain_products;antq_olive_oil;antq_perfumes;cloth;masonry;wine
asia,Asia Province,1,20,9,7,antq_bronze_wares;antq_fine_ceramics;antq_grain_products;antq_lead_wares;antq_olive_oil;antq_perfumes;cloth;masonry;wine
syria,Syria Province,1,20,8,9,antq_bronze_wares;antq_fine_ceramics;antq_grain_products;antq_lead_wares;antq_perfumes;cloth;masonry;weaponry
