key,location,building,level,source,confidence,note
r5_settled_ang_1,slesvig,antq_reg_pottery_kiln,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_arj_1,bharatpur,antq_reg_pottery_kiln,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_bat_1,nawa,antq_reg_pottery_kiln,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_brg_1,gryfow,antq_reg_pottery_kiln,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_cha_1,muhammerah,antq_reg_pottery_kiln,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_cha_2,muhammerah,antq_reg_grain_mill,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_cui_1,azcapotzalco,antq_reg_pottery_kiln,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_dnh_1,urumqi,antq_reg_pottery_kiln,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_dnh_2,urumqi,antq_reg_grain_mill,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_gal_1,safed,antq_reg_pottery_kiln,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_gmu_1,aksu,antq_reg_pottery_kiln,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_gor_1,eruh,antq_reg_pottery_kiln,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_iwl_1,hami,antq_reg_pottery_kiln,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_iza_1,huehuetan,antq_reg_pottery_kiln,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_jut_1,grindsted,antq_reg_pottery_kiln,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_kht_1,khotan,antq_reg_pottery_kiln,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_kuc_1,kucha,antq_reg_pottery_kiln,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_kuc_2,kucha,antq_reg_grain_mill,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_lou_1,loulan,antq_reg_pottery_kiln,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_naz_1,cahuachi,antq_reg_pottery_kiln,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_pul_1,sarikol,antq_reg_pottery_kiln,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_qim_1,charchan,antq_reg_pottery_kiln,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_rec_1,waricoto,antq_reg_pottery_kiln,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_rec_2,waricoto,antq_reg_grain_mill,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_sax_1,soltau,antq_reg_pottery_kiln,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_sax_2,soltau,antq_reg_grain_mill,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_shc_1,yarkand,antq_reg_pottery_kiln,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_sir_1,armavir,antq_reg_pottery_kiln,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_sir_2,armavir,antq_reg_grain_mill,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_sva_1,ushguli,antq_reg_pottery_kiln,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_tur_1,turpan,antq_reg_pottery_kiln,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
r5_settled_van_1,torzym,antq_reg_pottery_kiln,1,P12.1;P12.3;P13,contested,Balanced settled-minor craft and storage floor; not an excavated workshop claim.
