key,source,cell,result,style_reference
antq_olive_oil,goods_cutouts_01.png,top_left,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_preserved_fish,goods_cutouts_01.png,top_right,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_grain_products,goods_cutouts_01.png,bottom_left,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_perfumes,goods_cutouts_01.png,bottom_right,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_wax_goods,goods_cutouts_02.png,top_left,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_soap,goods_cutouts_02.png,top_right,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_bronze_wares,goods_cutouts_02.png,bottom_left,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_lead_wares,goods_cutouts_02.png,bottom_right,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_fine_ceramics,goods_cutouts_03.png,top_left,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_glasswares,goods_cutouts_03.png,top_right,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_iron_hardware,goods_cutouts_03.png,bottom_left,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_leather_goods,goods_cutouts_03.png,bottom_right,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_cordage,goods_cutouts_04.png,top_left,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_parchment,goods_cutouts_04.png,top_right,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_lacquerware,goods_cutouts_04.png,bottom_left,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_amber_ornaments,goods_cutouts_04.png,bottom_right,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_glass_beads,goods_cutouts_05.png,top_left,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_carpets,goods_cutouts_05.png,top_right,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_felt_goods,goods_cutouts_05.png,bottom_left,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_sailcloth,goods_cutouts_05.png,bottom_right,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_dates,goods_cutouts_06.png,top_left,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_sesame,goods_cutouts_06.png,top_right,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_tree_nuts,goods_cutouts_06.png,bottom_left,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_coconuts,goods_cutouts_06.png,bottom_right,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_cheese_curds,goods_cutouts_07.png,top_left,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_cured_meat,goods_cutouts_07.png,top_right,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_dried_fruit,goods_cutouts_07.png,bottom_left,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_nut_pastes,goods_cutouts_07.png,bottom_right,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_sesame_oil,goods_cutouts_08.png,top_left,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_coconut_products,goods_cutouts_08.png,top_right,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_rice_wine,goods_cutouts_08.png,bottom_left,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_soy_condiments,goods_cutouts_08.png,bottom_right,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_bound_codices,goods_cutouts_09.png,top_left,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_yue_celadon,goods_cutouts_09.png,top_right,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_garnet_cloisonne,goods_cutouts_09.png,bottom_left,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_cage_glass,goods_cutouts_09.png,bottom_right,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_barley,antq_barley_source.png,direct_rematte,transparent_object_cutout,installed EU5 wheat/amber/cloth/pottery/iron/leather/glass/beeswax
antq_camels,existing reviewed direct master,direct,transparent_object_cutout,installed EU5 direct trade-good icons
antq_jade,existing reviewed direct master,direct,transparent_object_cutout,installed EU5 direct trade-good icons
antq_naphtha,existing reviewed direct master,direct,transparent_object_cutout,installed EU5 direct trade-good icons
antq_papyrus,existing reviewed direct master,direct,transparent_object_cutout,installed EU5 direct trade-good icons
antq_silphium,existing reviewed direct master,direct,transparent_object_cutout,installed EU5 direct trade-good icons
