tag,name,kind,region,government_resolution,reform,programme_profile,programme_count,setting_tied_count,aptitudes,modifier_family_count,programmes,status
ROM,Roman Empire,country,Rome,explicit_government_ledger,antq_principate,roman,11,11,adm;dip;mil,15,antq_roman_census_rolls;antq_roman_provincial_dispatches;antq_roman_aerarium_accounts;antq_roman_grain_contracts;antq_roman_legionary_rosters;antq_roman_imperial_correspondence;antq_roman_provincial_assize_returns;antq_roman_public_works_curators;antq_roman_mint_assay_accounts;antq_roman_client_king_dossiers;antq_roman_fleet_supply_returns,pass
JUD,Herodian Judea,subject,Levant,explicit_government_ledger,antq_herodian_judean_ethnarchy,judean,5,5,adm;dip,8,antq_judean_temple_store_accounts;antq_judean_toparchy_assessments;antq_judean_cistern_waterwork_returns;antq_judean_pilgrim_market_peace;antq_judean_roman_embassy_returns,pass
GAL,Herodian Galilee-Peraea,subject,Levant,explicit_government_ledger,antq_herodian_galilean_tetrarchy,galilean,5,5,adm;dip,9,antq_galilean_lake_fishery_returns;antq_galilean_peraean_road_dispatches;antq_galilean_market_measure_returns;antq_galilean_domain_olive_grain_accounts;antq_galilean_roman_patron_petitions,pass
BAT,Herodian Batanea,subject,Levant,explicit_government_ledger,antq_herodian_batanean_tetrarchy,batanean,5,5,adm;dip;mil,9,antq_batanean_basalt_cistern_returns;antq_batanean_highland_route_watch;antq_batanean_sanctuary_store_returns;antq_batanean_horse_frontier_muster;antq_batanean_roman_client_embassies,pass
NAB,Nabataea,subject,Arabia,explicit_government_ledger,antq_nabataean_caravan_kingship,nabataean,5,5,adm;dip,9,antq_nabataean_cistern_channel_returns;antq_nabataean_caravan_safe_conducts;antq_nabataean_customs_measures;antq_nabataean_sanctuary_store_inventories;antq_nabataean_client_embassies,pass
CAP,Cappadocia,subject,Anatolia,explicit_government_ledger,antq_cappadocian_client_kingship,cappadocian,5,5,adm;dip;mil,9,antq_cappadocian_royal_domain_returns;antq_cappadocian_mountain_pass_couriers;antq_cappadocian_sanctuary_store_returns;antq_cappadocian_highland_cavalry_muster;antq_cappadocian_roman_client_embassies,pass
COM,Commagene,subject,Anatolia,explicit_government_ledger,antq_commagenean_client_kingship,commagenean,5,5,adm;dip;mil,9,antq_commagenean_royal_domain_returns;antq_commagenean_euphrates_ferry_measures;antq_commagenean_sanctuary_inventory_returns;antq_commagenean_highland_cavalry_muster;antq_commagenean_roman_arsacid_embassies,pass
EME,Emesa,subject,Levant,explicit_government_ledger,antq_emesan_client_dynasty,emesan,5,5,adm;dip;mil,9,antq_emesan_sanctuary_store_returns;antq_emesan_orontes_caravan_dispatches;antq_emesan_mounted_retinue_muster;antq_emesan_city_textile_measures;antq_emesan_roman_patron_embassies,pass
THR,Odrysian Thrace,subject,Balkans,explicit_government_ledger,antq_odrysian_client_kingship,thracian,5,5,adm;dip;mil,10,antq_thracian_dynastic_claim_hearings;antq_thracian_mountain_pass_watch;antq_thracian_horse_retinue_musters;antq_thracian_grain_timber_returns;antq_thracian_aegean_pontic_petitions,pass
BOS,Bosporan Kingdom,subject,Pontic,explicit_government_ledger,antq_bosporan_client_kingship,bosporan,5,5,adm;dip;mil,10,antq_bosporan_succession_seal_custody;antq_bosporan_grain_export_measures;antq_bosporan_strait_harbor_watch;antq_bosporan_polis_market_petitions;antq_bosporan_steppe_frontier_compacts,pass
