category,key,profile,source,source_sha256,cell,source_layout,master,texture,contract
parliament_type,antq_roman_senate,roman,assets_queue/politics/sources/roman_principate_atlas.png,1e990edda4ce5fbba251e79738731b1141090ab6d69111895354474c00497f36,0,six_up_painting,assets_queue/politics/masters/antq_roman_senate_128.png,main_menu/gfx/interface/icons/parliament_types/antq_roman_senate.dds,128x128 BC7 sRGBA + full mip chain
cabinet_action,antq_roman_census_rolls,roman,assets_queue/politics/sources/roman_principate_atlas.png,1e990edda4ce5fbba251e79738731b1141090ab6d69111895354474c00497f36,1,six_up_painting,assets_queue/politics/masters/antq_roman_census_rolls_128.png,main_menu/gfx/interface/icons/cabinet_actions/antq_roman_census_rolls.dds,128x128 BC7 sRGBA + full mip chain
cabinet_action,antq_roman_provincial_dispatches,roman,assets_queue/politics/sources/roman_principate_atlas.png,1e990edda4ce5fbba251e79738731b1141090ab6d69111895354474c00497f36,2,six_up_painting,assets_queue/politics/masters/antq_roman_provincial_dispatches_128.png,main_menu/gfx/interface/icons/cabinet_actions/antq_roman_provincial_dispatches.dds,128x128 BC7 sRGBA + full mip chain
cabinet_action,antq_roman_aerarium_accounts,roman,assets_queue/politics/sources/roman_principate_atlas.png,1e990edda4ce5fbba251e79738731b1141090ab6d69111895354474c00497f36,3,six_up_painting,assets_queue/politics/masters/antq_roman_aerarium_accounts_128.png,main_menu/gfx/interface/icons/cabinet_actions/antq_roman_aerarium_accounts.dds,128x128 BC7 sRGBA + full mip chain
cabinet_action,antq_roman_grain_contracts,roman,assets_queue/politics/sources/roman_principate_atlas.png,1e990edda4ce5fbba251e79738731b1141090ab6d69111895354474c00497f36,4,six_up_painting,assets_queue/politics/masters/antq_roman_grain_contracts_128.png,main_menu/gfx/interface/icons/cabinet_actions/antq_roman_grain_contracts.dds,128x128 BC7 sRGBA + full mip chain
cabinet_action,antq_roman_legionary_rosters,roman,assets_queue/politics/sources/roman_principate_atlas.png,1e990edda4ce5fbba251e79738731b1141090ab6d69111895354474c00497f36,5,six_up_painting,assets_queue/politics/masters/antq_roman_legionary_rosters_128.png,main_menu/gfx/interface/icons/cabinet_actions/antq_roman_legionary_rosters.dds,128x128 BC7 sRGBA + full mip chain
cabinet_action,antq_roman_imperial_correspondence,roman,assets_queue/politics/sources/roman_state_offices_ii_atlas.png,44cd5ed49cdf7b2c31f7f8744db2424335f0d80e531b624dec9d1c606b822a6a,0,six_up_painting,assets_queue/politics/masters/antq_roman_imperial_correspondence_128.png,main_menu/gfx/interface/icons/cabinet_actions/antq_roman_imperial_correspondence.dds,128x128 BC7 sRGBA + full mip chain
cabinet_action,antq_roman_provincial_assize_returns,roman,assets_queue/politics/sources/roman_state_offices_ii_atlas.png,44cd5ed49cdf7b2c31f7f8744db2424335f0d80e531b624dec9d1c606b822a6a,1,six_up_painting,assets_queue/politics/masters/antq_roman_provincial_assize_returns_128.png,main_menu/gfx/interface/icons/cabinet_actions/antq_roman_provincial_assize_returns.dds,128x128 BC7 sRGBA + full mip chain
cabinet_action,antq_roman_public_works_curators,roman,assets_queue/politics/sources/roman_state_offices_ii_atlas.png,44cd5ed49cdf7b2c31f7f8744db2424335f0d80e531b624dec9d1c606b822a6a,2,six_up_painting,assets_queue/politics/masters/antq_roman_public_works_curators_128.png,main_menu/gfx/interface/icons/cabinet_actions/antq_roman_public_works_curators.dds,128x128 BC7 sRGBA + full mip chain
cabinet_action,antq_roman_mint_assay_accounts,roman,assets_queue/politics/sources/roman_state_offices_ii_atlas.png,44cd5ed49cdf7b2c31f7f8744db2424335f0d80e531b624dec9d1c606b822a6a,3,six_up_painting,assets_queue/politics/masters/antq_roman_mint_assay_accounts_128.png,main_menu/gfx/interface/icons/cabinet_actions/antq_roman_mint_assay_accounts.dds,128x128 BC7 sRGBA + full mip chain
cabinet_action,antq_roman_client_king_dossiers,roman,assets_queue/politics/sources/roman_state_offices_ii_atlas.png,44cd5ed49cdf7b2c31f7f8744db2424335f0d80e531b624dec9d1c606b822a6a,4,six_up_painting,assets_queue/politics/masters/antq_roman_client_king_dossiers_128.png,main_menu/gfx/interface/icons/cabinet_actions/antq_roman_client_king_dossiers.dds,128x128 BC7 sRGBA + full mip chain
cabinet_action,antq_roman_fleet_supply_returns,roman,assets_queue/politics/sources/roman_state_offices_ii_atlas.png,44cd5ed49cdf7b2c31f7f8744db2424335f0d80e531b624dec9d1c606b822a6a,5,six_up_painting,assets_queue/politics/masters/antq_roman_fleet_supply_returns_128.png,main_menu/gfx/interface/icons/cabinet_actions/antq_roman_fleet_supply_returns.dds,128x128 BC7 sRGBA + full mip chain
parliament_type,antq_imperial_consistory,late_roman,assets_queue/politics/sources/late_roman_consistory_atlas.png,f0cdfa119856f3cc36736a23966bc19b20d2b7a2b8d39d31a4d2bf3948c65329,0,six_up_painting,assets_queue/politics/masters/antq_imperial_consistory_128.png,main_menu/gfx/interface/icons/parliament_types/antq_imperial_consistory.dds,128x128 BC7 sRGBA + full mip chain
cabinet_action,antq_late_roman_imperial_rescripts,late_roman,assets_queue/politics/sources/late_roman_consistory_atlas.png,f0cdfa119856f3cc36736a23966bc19b20d2b7a2b8d39d31a4d2bf3948c65329,1,six_up_painting,assets_queue/politics/masters/antq_late_roman_imperial_rescripts_128.png,main_menu/gfx/interface/icons/cabinet_actions/antq_late_roman_imperial_rescripts.dds,128x128 BC7 sRGBA + full mip chain
cabinet_action,antq_late_roman_praetorian_prefecture_returns,late_roman,assets_queue/politics/sources/late_roman_consistory_atlas.png,f0cdfa119856f3cc36736a23966bc19b20d2b7a2b8d39d31a4d2bf3948c65329,2,six_up_painting,assets_queue/politics/masters/antq_late_roman_praetorian_prefecture_returns_128.png,main_menu/gfx/interface/icons/cabinet_actions/antq_late_roman_praetorian_prefecture_returns.dds,128x128 BC7 sRGBA + full mip chain
cabinet_action,antq_late_roman_diocesan_dispatches,late_roman,assets_queue/politics/sources/late_roman_consistory_atlas.png,f0cdfa119856f3cc36736a23966bc19b20d2b7a2b8d39d31a4d2bf3948c65329,3,six_up_painting,assets_queue/politics/masters/antq_late_roman_diocesan_dispatches_128.png,main_menu/gfx/interface/icons/cabinet_actions/antq_late_roman_diocesan_dispatches.dds,128x128 BC7 sRGBA + full mip chain
cabinet_action,antq_late_roman_field_army_registers,late_roman,assets_queue/politics/sources/late_roman_consistory_atlas.png,f0cdfa119856f3cc36736a23966bc19b20d2b7a2b8d39d31a4d2bf3948c65329,4,six_up_painting,assets_queue/politics/masters/antq_late_roman_field_army_registers_128.png,main_menu/gfx/interface/icons/cabinet_actions/antq_late_roman_field_army_registers.dds,128x128 BC7 sRGBA + full mip chain
cabinet_action,antq_late_roman_annona_militaris_accounts,late_roman,assets_queue/politics/sources/late_roman_consistory_atlas.png,f0cdfa119856f3cc36736a23966bc19b20d2b7a2b8d39d31a4d2bf3948c65329,5,six_up_painting,assets_queue/politics/masters/antq_late_roman_annona_militaris_accounts_128.png,main_menu/gfx/interface/icons/cabinet_actions/antq_late_roman_annona_militaris_accounts.dds,128x128 BC7 sRGBA + full mip chain
parliament_type,antq_han_court_conference,han,assets_queue/politics/sources/han_court_atlas.png,7d57f4dcc204afa0670c412fe1a649b257c6dcacd80dcf04d16216b6dede3380,0,six_up_painting,assets_queue/politics/masters/antq_han_court_conference_128.png,main_menu/gfx/interface/icons/parliament_types/antq_han_court_conference.dds,128x128 BC7 sRGBA + full mip chain
cabinet_action,antq_han_commandery_reports,han,assets_queue/politics/sources/han_court_atlas.png,7d57f4dcc204afa0670c412fe1a649b257c6dcacd80dcf04d16216b6dede3380,1,six_up_painting,assets_queue/politics/masters/antq_han_commandery_reports_128.png,main_menu/gfx/interface/icons/cabinet_actions/antq_han_commandery_reports.dds,128x128 BC7 sRGBA + full mip chain
