reform,opening_holders,sample_tags,crown_direct,crown_from_cabinet,estate_direct_positive,largest_estate_cabinet_lever,structural_authority_levers,structural_estate_levers,reviewed_band,status
antq_acutuba_central_amazon_network,1,ACU,0,0,0.14,0.16,0,0.3,estate_or_community_led,pass
antq_advanced_chiefdom,68,ABN;AIR;AKF;AKS;ANR;AVN;BRC;BSK,0,0,0.1,0.2,0,0.3,estate_or_community_led,pass
antq_aestian_amber_coast_order,1,AES,0,0,0.31,0.23,0,0.54,estate_or_community_led,pass
antq_altai_contact_network,1,ALT,0,0,0.21,0.21,0,0.42,estate_or_community_led,pass
antq_amur_forest_river_network,2,LAM;MAM,0,0,0.24,0.2,0,0.44,estate_or_community_led,pass
antq_andean_ceremonial_centre_network,3,NAZ;PUK;TIW,0,0,0.146,0.181,0,0.327,estate_or_community_led,pass
antq_andean_highland_community_network,7,CBA;HUA;MRH;MYB;REC;UTC;YUN,0,0,0.144,0.159,0,0.303,estate_or_community_led,pass
antq_andean_irrigated_valley_network,4,ATC;LIM;VCS;VIR,0,0,0.128,0.147,0,0.275,estate_or_community_led,pass
antq_arian_satrapal_court,1,ARI,0,0,0.12,0.12,0,0.24,estate_or_community_led,pass
antq_artaxiad_highland_kingship,1,ARM,0,0,0.24,0.25,0,0.49,estate_or_community_led,pass
antq_batavian_rhine_compact,1,BTV,0,0,0.22,0.22,0,0.44,estate_or_community_led,pass
antq_bengal_riverine_community_network,4,HRK;RAR;SMT;VNG,0,0,0.24,0.16,0,0.4,estate_or_community_led,pass
antq_bomberai_coastal_community_network,1,KBC,0,0,0.135,0.16,0,0.295,estate_or_community_led,pass
antq_borneo_cave_river_network,2,NBR;SGK,0,0,0.24,0.2,0,0.44,estate_or_community_led,pass
antq_borneo_coastal_exchange_network,4,KSB;NEB;RSW;WBC,0,0,0.19,0.16,0,0.35,estate_or_community_led,pass
antq_borneo_foothill_iron_network,1,BPR,0,0,0.2,0.17,0,0.37,estate_or_community_led,pass
antq_borneo_interior_river_network,3,CSB;KPM;MHK,0,0,0.25,0.2,0,0.45,estate_or_community_led,pass
antq_bosporan_client_kingship,1,BOS,0,0,0.3,0.2,0,0.5,estate_or_community_led,pass
antq_brigantian_hillfort_confederacy,1,BRI,0,0,0.29,0.24,0,0.53,estate_or_community_led,pass
antq_buffer_kingdom,4,ALC;CLZ;IBR;OSR,0,0,0.1,0.1,0,0.2,estate_or_community_led,pass
antq_byeonhan_iron_exchange_league,1,BYE,0,0,0.213,0.153,0,0.366,estate_or_community_led,pass
antq_cappadocian_client_kingship,1,CAP,0,0,0.26,0.2,0,0.46,estate_or_community_led,pass
