design_tag,engine_tag,kind,government_source,reform,estate_profile,visible_privilege_count,profile_privilege_count,exact_privilege_count,visible_privileges
ROM,XAA,country,sourced,antq_principate,roman,19,6,13,antq_annona_privilege|antq_equestrian_service|antq_praetorian_donatives|antq_roman_collegial_cult_stipends|antq_roman_equestrian_collection_concessions|antq_roman_equestrian_procuratorial_careers|antq_roman_equestrian_public_contracts|antq_roman_imperial_legatine_inspections|antq_roman_municipal_decurion_obligations|antq_roman_petition_and_census_guarantees|antq_roman_priestly_colleges|antq_roman_provincial_land_surveys|antq_roman_provincial_petition_safeguards|antq_roman_recognized_collegia|antq_roman_senatorial_commissions|antq_roman_senatorial_fiscal_review|antq_roman_senatorial_provincial_commissions|antq_roman_veteran_allotment_guarantees|antq_senatorial_land_exemption
JUD,JUD,subject,sourced,antq_herodian_judean_ethnarchy,judean,8,6,2,antq_client_royal_autonomy|antq_judean_cultivator_assessment_compacts|antq_judean_pastoral_frontier_rotations|antq_judean_pilgrim_market_safe_conducts|antq_judean_regional_house_hearings|antq_judean_royal_seal_custody|antq_judean_temple_store_inventories|antq_second_temple_priesthood
GAL,XAB,subject,sourced,antq_herodian_galilean_tetrarchy,galilean,7,6,1,antq_client_royal_autonomy|antq_galilean_lake_market_measures|antq_galilean_olive_grain_labor_compacts|antq_galilean_peraean_pastoral_rotations|antq_galilean_regional_house_hearings|antq_galilean_ritual_store_inventories|antq_galilean_tetrarchic_seal_custody
BAT,XAC,subject,sourced,antq_herodian_batanean_tetrarchy,batanean,7,6,1,antq_batanean_caravan_craft_safe_conducts|antq_batanean_cultivator_pastoral_compacts|antq_batanean_highland_house_service_terms|antq_batanean_mountain_frontier_rotations|antq_batanean_sanctuary_store_inventories|antq_batanean_tetrarchic_seal_custody|antq_client_royal_autonomy
NAB,NAB,subject,sourced,antq_nabataean_caravan_kingship,nabataean,9,6,3,antq_client_royal_autonomy|antq_nabataean_caravan_route_obligations|antq_nabataean_caravan_water_guarantees|antq_nabataean_merchant_artisan_safe_conducts|antq_nabataean_oasis_vineyard_water_compacts|antq_nabataean_route_oasis_watch_rotations|antq_nabataean_royal_customs_inspection|antq_nabataean_royal_seal_custody|antq_nabataean_sanctuary_offering_inventories
CAP,CAP,subject,sourced,antq_cappadocian_client_kingship,cappadocian,7,6,1,antq_cappadocian_caravan_craft_safe_conducts|antq_cappadocian_estate_house_service_terms|antq_cappadocian_grain_vine_pastoral_compacts|antq_cappadocian_highland_pass_watch_rotations|antq_cappadocian_royal_domain_custody|antq_cappadocian_sanctuary_store_inventories|antq_client_royal_autonomy
COM,XAE,subject,sourced,antq_commagenean_client_kingship,commagenean,7,6,1,antq_client_royal_autonomy|antq_commagenean_euphrates_passage_measures|antq_commagenean_highland_cavalry_terms|antq_commagenean_mounted_frontier_rotations|antq_commagenean_orchard_grain_compacts|antq_commagenean_royal_seal_custody|antq_commagenean_sanctuary_offering_inventories
EME,EME,subject,sourced,antq_emesan_client_dynasty,emesan,7,6,1,antq_client_royal_autonomy|antq_emesan_caravan_city_measures|antq_emesan_court_house_service_terms|antq_emesan_dynastic_seal_custody|antq_emesan_mounted_frontier_terms|antq_emesan_orontes_cultivator_compacts|antq_emesan_sanctuary_store_inventories
THR,THR,subject,sourced,antq_odrysian_client_kingship,thracian,7,6,1,antq_client_royal_autonomy|antq_thracian_aegean_pontic_city_measures|antq_thracian_grain_timber_pastoral_compacts|antq_thracian_mountain_frontier_rotations|antq_thracian_retinue_horse_service_terms|antq_thracian_royal_seal_hearings|antq_thracian_sanctuary_oath_stores
BOS,XAF,subject,sourced,antq_bosporan_client_kingship,bosporan,7,6,1,antq_bosporan_claimant_mounted_service_terms|antq_bosporan_cultivator_fisher_craft_compacts|antq_bosporan_grain_harbor_measures|antq_bosporan_polis_sanctuary_inventories|antq_bosporan_royal_seal_custody|antq_bosporan_steppe_frontier_terms|antq_client_royal_autonomy
