design_tag,engine_tag,opening_reform,profile,visible_reforms
ABN,ABN,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
ABW,XHH,antq_havana_hopewell_exchange_network,tribal,antq_elder_moot_kingship|antq_havana_hopewell_exchange_network|antq_warband_retinue_kingship
ACU,ACU,antq_acutuba_central_amazon_network,tribal,antq_acutuba_central_amazon_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
ADI,ADI,antq_parthian_subkingdom,iranian,antq_arsacid_dual_court_compact|antq_iranian_great_house_reform|antq_iranian_royal_domain|antq_late_arsacid_house_mobilization|antq_parthian_subkingdom|antq_vologasid_dynastic_settlement
AES,AES,antq_aestian_amber_coast_order,aestian,antq_aestian_amber_coast_order|antq_aestian_shore_exchange_compact|antq_aestian_woodland_assembly
AGA,AGA,antq_northern_indian_coin_kingship,royal,antq_frontier_muster_monarchy|antq_northern_indian_coin_kingship|antq_petition_court
AGR,AGR,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
AGS,AGS,antq_philippine_coastal_river_network,tribal,antq_elder_moot_kingship|antq_philippine_coastal_river_network|antq_warband_retinue_kingship
AIR,XEO,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
AKF,AKF,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
AKL,AKL,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
AKS,AKS,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
ALA,XCF,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
ALC,XAQ,antq_buffer_kingdom,royal,antq_buffer_kingdom|antq_frontier_muster_monarchy|antq_petition_court
ALT,XFL,antq_altai_contact_network,tribal,antq_altai_contact_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
AMB,XFY,antq_eastern_hill_valley_network,tribal,antq_eastern_hill_valley_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
ANG,XBQ,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
ANR,XCN,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
ANU,XBD,antq_lankan_kingdom,lankan,antq_lankan_kingdom|antq_lankan_reservoir_kingship|antq_lankan_sangha_endowments
AOR,AOR,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
ARI,XFZ,antq_arian_satrapal_court,iranian,antq_arian_satrapal_court|antq_arsacid_dual_court_compact|antq_iranian_great_house_reform|antq_iranian_royal_domain|antq_late_arsacid_house_mobilization|antq_vologasid_dynastic_settlement
ARJ,ARJ,antq_indian_ganasangha,gana,antq_gana_muster_confederacy|antq_indian_ganasangha|antq_lineage_rotation
ARK,XDQ,antq_mainland_river_corridor_network,tribal,antq_elder_moot_kingship|antq_mainland_river_corridor_network|antq_warband_retinue_kingship
ARM,XAO,antq_artaxiad_highland_kingship,armenian,antq_armenian_dynast_compact|antq_armenian_royal_domain_court|antq_artaxiad_highland_kingship
ARO,ARO,antq_far_side_port_chiefdom,tribal,antq_elder_moot_kingship|antq_far_side_port_chiefdom|antq_warband_retinue_kingship
ATB,XBZ,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
ATC,XDI,antq_andean_irrigated_valley_network,tribal,antq_andean_irrigated_valley_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
ATR,XAK,antq_parthian_subkingdom,iranian,antq_arsacid_dual_court_compact|antq_iranian_great_house_reform|antq_iranian_royal_domain|antq_late_arsacid_house_mobilization|antq_parthian_subkingdom|antq_vologasid_dynastic_settlement
ATY,ATY,antq_tamilakam_velir_court,royal,antq_frontier_muster_monarchy|antq_petition_court|antq_tamilakam_velir_court
AUD,XFS,antq_indian_ganasangha,gana,antq_gana_muster_confederacy|antq_indian_ganasangha|antq_lineage_rotation
AUT,AUT,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
AVA,XFN,antq_far_side_port_chiefdom,tribal,antq_elder_moot_kingship|antq_far_side_port_chiefdom|antq_warband_retinue_kingship
AVN,AVN,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
AYM,AYM,antq_northern_indian_coin_kingship,royal,antq_frontier_muster_monarchy|antq_northern_indian_coin_kingship|antq_petition_court
AZA,AZA,antq_horn_pastoral_network,tribal,antq_elder_moot_kingship|antq_horn_pastoral_network|antq_warband_retinue_kingship
BAR,XDF,antq_horn_pastoral_network,tribal,antq_elder_moot_kingship|antq_horn_pastoral_network|antq_warband_retinue_kingship
BAS,XCD,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
BAT,XAC,antq_herodian_batanean_tetrarchy,batanean,antq_batanean_frontier_compact|antq_batanean_highland_court|antq_herodian_batanean_tetrarchy
BCH,XFR,antq_early_ironworking_community_network,tribal,antq_early_ironworking_community_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
BCP,BCP,antq_philippine_coastal_river_network,tribal,antq_elder_moot_kingship|antq_philippine_coastal_river_network|antq_warband_retinue_kingship
BED,BED,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
BEJ,XBH,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
BER,XDR,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
BGL,XGE,antq_central_indian_megalithic_network,tribal,antq_central_indian_megalithic_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
BGT,XHD,antq_sulawesi_coastal_exchange_network,tribal,antq_elder_moot_kingship|antq_sulawesi_coastal_exchange_network|antq_warband_retinue_kingship
BGU,BGU,antq_sulawesi_coastal_exchange_network,tribal,antq_elder_moot_kingship|antq_sulawesi_coastal_exchange_network|antq_warband_retinue_kingship
BJC,BJC,antq_west_mexican_basin_community_network,tribal,antq_elder_moot_kingship|antq_warband_retinue_kingship|antq_west_mexican_basin_community_network
BLF,BLF,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
BLG,XET,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
BLM,XBG,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
BLR,BLR,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
BNC,BNC,antq_sulawesi_coastal_exchange_network,tribal,antq_elder_moot_kingship|antq_sulawesi_coastal_exchange_network|antq_warband_retinue_kingship
BNT,XDE,antq_early_ironworking_community_network,tribal,antq_early_ironworking_community_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
BOS,XAF,antq_bosporan_client_kingship,bosporan,antq_bosporan_client_kingship|antq_bosporan_polis_court|antq_bosporan_steppe_compact
BPC,BPC,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
BPR,XGM,antq_borneo_foothill_iron_network,tribal,antq_borneo_foothill_iron_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
BRC,XDW,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
BRG,XBP,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
BRI,XBY,antq_brigantian_hillfort_confederacy,brigantian,antq_brigantian_hillfort_confederacy|antq_brigantian_hillfort_court|antq_brigantian_kindred_compact
BRT,XDJ,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
BSK,XCZ,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
BSR,BSR,antq_central_indian_megalithic_network,tribal,antq_central_indian_megalithic_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
BSW,BSW,antq_west_african_forest_network,tribal,antq_elder_moot_kingship|antq_warband_retinue_kingship|antq_west_african_forest_network
BTM,BTM,antq_sulawesi_island_exchange_network,tribal,antq_elder_moot_kingship|antq_sulawesi_island_exchange_network|antq_warband_retinue_kingship
BTV,BTV,antq_batavian_rhine_compact,batavian,antq_batavian_auxiliary_treaty|antq_batavian_island_assembly|antq_batavian_rhine_compact
BUU,XEB,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
BUY,BUY,antq_regional_kingship,royal,antq_frontier_muster_monarchy|antq_petition_court|antq_regional_kingship
BYE,BYE,antq_byeonhan_iron_exchange_league,tribal,antq_byeonhan_iron_exchange_league|antq_elder_moot_kingship|antq_warband_retinue_kingship
CAE,XFC,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
CAL,CAL,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
CAP,CAP,antq_cappadocian_client_kingship,cappadocian,antq_cappadocian_client_kingship|antq_cappadocian_domain_court|antq_cappadocian_pass_compact
CAT,XBV,antq_catuvellaunian_oppidum_kingship,catuvellaunian,antq_catuvellaunian_dynastic_mint_court|antq_catuvellaunian_oppida_compact|antq_catuvellaunian_oppidum_kingship
