scope,track,modifier,nodes,script_total,unit,display_total,review_cap
american,exchange,global_trade_through_owned_territory_efficiency,1,0.03,percent,3.00%,0.075
american,exchange,merchant_maintenance_efficiency,1,0.01,percent,1.00%,0.05
american,society,global_disease_resistance,4,0.12,percent,12%,0.30
american,society,global_pop_assimilation_speed_modifier,7,0.14,percent,14.00%,0.30
american,society,global_pop_promotion_speed_modifier,8,0.16,percent,16.00%,0.30
american,society,global_population_capacity_modifier,9,0.13,percent,13.00%,0.35
american,society,stability_cost_efficiency,5,0.275,percent,27.50%,0.300
american,statecraft,global_monthly_control,1,0.002,percent,0.20%,0.005
american,statecraft,stability_cost_efficiency,1,0.02,percent,2.00%,0.075
american,warfare,army_logistics_distance_modifier,2,0.06,percent,6.00%,0.20
american,warfare,army_maintenance_efficiency,1,0.02,percent,2.00%,0.05
american,warfare,land_morale_modifier,1,0.02,percent,2.00%,0.05
baltic,exchange,export_efficiency,5,0.17,percent,17.00%,0.20
baltic,exchange,global_trade_through_owned_territory_efficiency,5,0.15,percent,15.00%,0.300
baltic,exchange,import_efficiency,6,0.12,percent,12.00%,0.25
baltic,exchange,merchant_maintenance_efficiency,5,0.09,percent,9.00%,0.20
baltic,exchange,trade_range_modifier,4,0.12,percent,12.00%,0.30
baltic,statecraft,country_cabinet_efficiency,4,0.04,percent,4.00%,0.15
baltic,statecraft,global_monthly_control,5,0.010,percent,1.00%,0.020
baltic,statecraft,legislative_efficiency,5,0.275,percent,27.50%,0.300
baltic,statecraft,stability_cost_efficiency,5,0.14,percent,14.00%,0.300
baltic,statecraft,tax_income_efficiency,6,0.12,percent,12.00%,0.25
celtic,exchange,global_trade_through_owned_territory_efficiency,1,0.03,percent,3.00%,0.075
celtic,exchange,import_efficiency,1,0.02,percent,2.00%,0.05
celtic,exchange,merchant_maintenance_efficiency,2,0.02,percent,2.00%,0.10
celtic,society,global_pop_promotion_speed_modifier,1,0.02,percent,2.00%,0.05
celtic,society,global_population_capacity_modifier,1,0.01,percent,1.00%,0.05
celtic,statecraft,country_cabinet_efficiency,4,0.04,percent,4.00%,0.15
celtic,statecraft,global_monthly_control,6,0.012,percent,1.20%,0.025
celtic,statecraft,legislative_efficiency,5,0.275,percent,27.50%,0.300
celtic,statecraft,stability_cost_efficiency,6,0.16,percent,16.00%,0.375
celtic,statecraft,tax_income_efficiency,6,0.12,percent,12.00%,0.25
celtic,warfare,army_logistics_distance_modifier,7,0.29,percent,29.00%,0.60
celtic,warfare,army_maintenance_efficiency,7,0.14,percent,14.00%,0.30
celtic,warfare,discipline,5,0.11,percent,11.00%,0.12
celtic,warfare,land_morale_modifier,6,0.12,percent,12.00%,0.25
celtic,warfare,levy_recovery_modifier,4,0.08,percent,8.00%,0.225
cultures:antq_armenian,learning,country_cabinet_efficiency,1,0.03,percent,3.00%,0.05
cultures:antq_armenian,learning,global_manpower_modifier,1,0.05,percent,5.00%,0.075
cultures:antq_armenian,learning,research_speed_modifier,1,0.05,percent,5.00%,0.05
cultures:antq_armenian,statecraft,country_cabinet_efficiency,1,0.01,percent,1.00%,0.05
cultures:antq_armenian,statecraft,global_manpower_modifier,1,0.01,percent,1.00%,0.075
cultures:antq_armenian,statecraft,research_speed_modifier,1,0.02,percent,2.00%,0.05
cultures:antq_armenian,warfare,country_cabinet_efficiency,1,0.02,percent,2.00%,0.05
cultures:antq_armenian,warfare,global_manpower_modifier,1,0.025,percent,2.50%,0.075
cultures:antq_armenian,warfare,research_speed_modifier,1,0.03,percent,3.00%,0.05
cultures:antq_dacian,exchange,export_efficiency,1,0.02,percent,2.00%,0.05
cultures:antq_dacian,exchange,global_manpower_modifier,1,0.025,percent,2.50%,0.075
cultures:antq_dacian,exchange,stability_cost_efficiency,1,0.05,percent,5.00%,0.075
cultures:antq_dacian,statecraft,export_efficiency,1,0.03,percent,3.00%,0.05
cultures:antq_dacian,statecraft,global_manpower_modifier,1,0.05,percent,5.00%,0.075
cultures:antq_dacian,statecraft,stability_cost_efficiency,1,0.075,percent,7.50%,0.075
cultures:antq_dacian,warfare,export_efficiency,1,0.01,percent,1.00%,0.05
cultures:antq_dacian,warfare,global_manpower_modifier,1,0.01,percent,1.00%,0.075
cultures:antq_dacian,warfare,stability_cost_efficiency,1,0.03,percent,3.00%,0.075
cultures:antq_greek_koine,exchange,cultural_influence_modifier,1,0.03,percent,3.00%,0.05
cultures:antq_greek_koine,exchange,research_speed_modifier,1,0.03,percent,3.00%,0.05
cultures:antq_greek_koine,exchange,trade_range_modifier,1,0.10,percent,10.00%,0.10
cultures:antq_greek_koine,learning,cultural_influence_modifier,1,0.01,percent,1.00%,0.05
cultures:antq_greek_koine,learning,research_speed_modifier,1,0.01,percent,1.00%,0.05
cultures:antq_greek_koine,learning,trade_range_modifier,1,0.05,percent,5.00%,0.10
cultures:antq_greek_koine,statecraft,cultural_influence_modifier,1,0.02,percent,2.00%,0.05
cultures:antq_greek_koine,statecraft,research_speed_modifier,1,0.02,percent,2.00%,0.05
cultures:antq_greek_koine,statecraft,trade_range_modifier,1,0.075,percent,7.50%,0.10
cultures:antq_han,exchange,country_cabinet_efficiency,1,0.03,percent,3.00%,0.05
cultures:antq_han,exchange,import_efficiency,1,0.05,percent,5.00%,0.05
cultures:antq_han,exchange,research_speed_modifier,1,0.03,percent,3.00%,0.05
cultures:antq_han,learning,country_cabinet_efficiency,1,0.02,percent,2.00%,0.05
cultures:antq_han,learning,import_efficiency,1,0.03,percent,3.00%,0.05
cultures:antq_han,learning,research_speed_modifier,1,0.02,percent,2.00%,0.05
cultures:antq_han,statecraft,country_cabinet_efficiency,1,0.01,percent,1.00%,0.05
cultures:antq_han,statecraft,import_efficiency,1,0.02,percent,2.00%,0.05
cultures:antq_han,statecraft,research_speed_modifier,1,0.01,percent,1.00%,0.05
cultures:antq_himyarite,exchange,army_logistics_distance_modifier,1,0.075,percent,7.50%,0.10
cultures:antq_himyarite,exchange,global_population_capacity_modifier,1,0.02,percent,2.00%,0.05
cultures:antq_himyarite,exchange,trade_range_modifier,1,0.05,percent,5.00%,0.10
cultures:antq_himyarite,statecraft,army_logistics_distance_modifier,1,0.05,percent,5.00%,0.10
cultures:antq_himyarite,statecraft,global_population_capacity_modifier,1,0.01,percent,1.00%,0.05
cultures:antq_himyarite,statecraft,trade_range_modifier,1,0.03,percent,3.00%,0.10
cultures:antq_himyarite,warfare,army_logistics_distance_modifier,1,0.10,percent,10.00%,0.10
cultures:antq_himyarite,warfare,global_population_capacity_modifier,1,0.03,percent,3.00%,0.05
cultures:antq_himyarite,warfare,trade_range_modifier,1,0.075,percent,7.50%,0.10
cultures:antq_judean,exchange,global_disease_resistance,1,0.07,percent,7%,0.10
cultures:antq_judean,exchange,global_monthly_literacy,1,0.03,already_percent,0.03%,0.05
cultures:antq_judean,exchange,trade_range_modifier,1,0.10,percent,10.00%,0.10
cultures:antq_judean,learning,global_disease_resistance,1,0.05,percent,5%,0.10
cultures:antq_judean,learning,global_monthly_literacy,1,0.02,already_percent,0.02%,0.05
cultures:antq_judean,learning,trade_range_modifier,1,0.075,percent,7.50%,0.10
cultures:antq_judean,society,global_disease_resistance,1,0.03,percent,3%,0.10
cultures:antq_judean,society,global_monthly_literacy,1,0.01,already_percent,0.01%,0.05
cultures:antq_judean,society,trade_range_modifier,1,0.05,percent,5.00%,0.10
cultures:antq_latin,learning,army_logistics_distance_modifier,1,0.075,percent,7.50%,0.10
cultures:antq_latin,learning,global_monthly_control,1,0.002,percent,0.20%,0.005
cultures:antq_latin,learning,global_monthly_literacy,1,0.02,already_percent,0.02%,0.05
cultures:antq_latin,statecraft,army_logistics_distance_modifier,1,0.05,percent,5.00%,0.10
cultures:antq_latin,statecraft,global_monthly_control,1,0.001,percent,0.10%,0.005
cultures:antq_latin,statecraft,global_monthly_literacy,1,0.01,already_percent,0.01%,0.05
cultures:antq_latin,warfare,army_logistics_distance_modifier,1,0.10,percent,10.00%,0.10
cultures:antq_latin,warfare,global_monthly_control,1,0.003,percent,0.30%,0.005
cultures:antq_latin,warfare,global_monthly_literacy,1,0.03,already_percent,0.03%,0.05
cultures:antq_maya,learning,global_population_capacity_modifier,1,0.01,percent,1.00%,0.05
cultures:antq_maya,learning,research_speed_modifier,1,0.01,percent,1.00%,0.05
cultures:antq_maya,learning,stability_cost_efficiency,1,0.03,percent,3.00%,0.075
cultures:antq_maya,society,global_population_capacity_modifier,1,0.03,percent,3.00%,0.05
cultures:antq_maya,society,research_speed_modifier,1,0.03,percent,3.00%,0.05
cultures:antq_maya,society,stability_cost_efficiency,1,0.075,percent,7.50%,0.075
cultures:antq_maya,statecraft,global_population_capacity_modifier,1,0.02,percent,2.00%,0.05
cultures:antq_maya,statecraft,research_speed_modifier,1,0.02,percent,2.00%,0.05
cultures:antq_maya,statecraft,stability_cost_efficiency,1,0.05,percent,5.00%,0.075
cultures:antq_moche,exchange,export_efficiency,1,0.02,percent,2.00%,0.05
cultures:antq_moche,exchange,global_manpower_modifier,1,0.05,percent,5.00%,0.075
cultures:antq_moche,exchange,global_population_capacity_modifier,1,0.02,percent,2.00%,0.05
cultures:antq_moche,statecraft,export_efficiency,1,0.01,percent,1.00%,0.05
cultures:antq_moche,statecraft,global_manpower_modifier,1,0.025,percent,2.50%,0.075
cultures:antq_moche,statecraft,global_population_capacity_modifier,1,0.01,percent,1.00%,0.05
cultures:antq_moche,warfare,export_efficiency,1,0.03,percent,3.00%,0.05
cultures:antq_moche,warfare,global_manpower_modifier,1,0.075,percent,7.50%,0.075
cultures:antq_moche,warfare,global_population_capacity_modifier,1,0.03,percent,3.00%,0.05
cultures:antq_parthian,exchange,land_morale_modifier,1,0.03,percent,3.00%,0.05
cultures:antq_parthian,exchange,merchant_maintenance_efficiency,1,0.05,percent,5.00%,0.05
cultures:antq_parthian,exchange,stability_cost_efficiency,1,0.05,percent,5.00%,0.075
cultures:antq_parthian,statecraft,land_morale_modifier,1,0.02,percent,2.00%,0.05
cultures:antq_parthian,statecraft,merchant_maintenance_efficiency,1,0.03,percent,3.00%,0.05
cultures:antq_parthian,statecraft,stability_cost_efficiency,1,0.03,percent,3.00%,0.075
cultures:antq_parthian,warfare,land_morale_modifier,1,0.01,percent,1.00%,0.05
cultures:antq_parthian,warfare,merchant_maintenance_efficiency,1,0.02,percent,2.00%,0.05
cultures:antq_parthian,warfare,stability_cost_efficiency,1,0.02,percent,2.00%,0.075
cultures:antq_phoenician_punic,exchange,global_monthly_literacy,1,0.02,already_percent,0.02%,0.05
cultures:antq_phoenician_punic,exchange,merchant_maintenance_efficiency,1,0.01,percent,1.00%,0.05
cultures:antq_phoenician_punic,exchange,trade_range_modifier,1,0.03,percent,3.00%,0.10
cultures:antq_phoenician_punic,learning,global_monthly_literacy,1,0.05,already_percent,0.05%,0.05
cultures:antq_phoenician_punic,learning,merchant_maintenance_efficiency,1,0.03,percent,3.00%,0.05
cultures:antq_phoenician_punic,learning,trade_range_modifier,1,0.075,percent,7.50%,0.10
cultures:antq_phoenician_punic,statecraft,global_monthly_literacy,1,0.03,already_percent,0.03%,0.05
cultures:antq_phoenician_punic,statecraft,merchant_maintenance_efficiency,1,0.02,percent,2.00%,0.05
cultures:antq_phoenician_punic,statecraft,trade_range_modifier,1,0.05,percent,5.00%,0.10
cultures:antq_xiongnu,exchange,army_logistics_distance_modifier,1,0.075,percent,7.50%,0.10
cultures:antq_xiongnu,exchange,levy_recovery_modifier,1,0.05,percent,5.00%,0.075
cultures:antq_xiongnu,exchange,trade_range_modifier,1,0.10,percent,10.00%,0.10
cultures:antq_xiongnu,statecraft,army_logistics_distance_modifier,1,0.05,percent,5.00%,0.10
cultures:antq_xiongnu,statecraft,levy_recovery_modifier,1,0.03,percent,3.00%,0.075
cultures:antq_xiongnu,statecraft,trade_range_modifier,1,0.075,percent,7.50%,0.10
cultures:antq_xiongnu,warfare,army_logistics_distance_modifier,1,0.03,percent,3.00%,0.10
cultures:antq_xiongnu,warfare,levy_recovery_modifier,1,0.02,percent,2.00%,0.075
cultures:antq_xiongnu,warfare,trade_range_modifier,1,0.05,percent,5.00%,0.10
germanic,exchange,global_trade_through_owned_territory_efficiency,2,0.06,percent,6.00%,0.150
