advance,name,age,depth,track,profile,scope,role,modifier,stacking_family,engine_category,unit,ui_decimals,script_value,display_value,representative_baseline_impact,vanilla_advance_min,vanilla_advance_max,modifier_definition,historical_source
antq_imperial_cult,Imperial Cult,age_1_traditions,0,statecraft,shared,shared,minor,country_cabinet_efficiency,country_cabinet_efficiency,country,percent,2,0.01,1.00%,100 reference units -> 101.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P15;CAH-XI;CAH-XII
antq_provincial_census,Provincial Census,age_1_traditions,0,statecraft,shared,shared,minor,country_cabinet_efficiency,country_cabinet_efficiency,country,percent,2,0.01,1.00%,100 reference units -> 101.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P15;CAH-XI;CAH-XII
antq_tax_registers,Roman and Italic: Tax Registers,age_1_traditions,1,statecraft,roman_italic,roman_italic,minor,stability_cost_efficiency,stability_cost_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.1;P15;CAH-XI;OCD
antq_road_milestones,Roman and Italic: Road Milestones,age_1_traditions,1,statecraft,roman_italic,roman_italic,minor,stability_cost_efficiency,stability_cost_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.1;P15;CAH-XI;OCD
antq_legal_petitions,Han and East Asian: Legal Petitions,age_1_traditions,1,statecraft,han_east_asian,han_east_asian,minor,stability_cost_efficiency,stability_cost_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.3;P15;BHR;Bielenstein
antq_municipal_charters,Han and East Asian: Municipal Charters,age_1_traditions,1,statecraft,han_east_asian,han_east_asian,minor,stability_cost_efficiency,stability_cost_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.3;P15;BHR;Bielenstein
antq_public_granaries,Roman and Italic: Public Granaries,age_1_traditions,2,statecraft,roman_italic,roman_italic,standard,global_monthly_control,global_monthly_control,country,percent,2,0.002,0.20%,100 reference units -> 100.20,0.001,0.003,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.1;P15;CAH-XI;OCD
antq_frontier_dispatches,Han and East Asian: Frontier Dispatches,age_1_traditions,2,statecraft,han_east_asian,han_east_asian,standard,global_monthly_control,global_monthly_control,country,percent,2,0.002,0.20%,100 reference units -> 100.20,0.001,0.003,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.3;P15;BHR;Bielenstein
antq_imperial_archives,Roman and Italic: Imperial Archives,age_1_traditions,3,statecraft,roman_italic,roman_italic,standard,tax_income_efficiency,tax_income_efficiency,country,percent,2,0.02,2.00%,100 reference units -> 102.00,0.02,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.1;P15;CAH-XI;OCD
antq_standing_administration,Han and East Asian: Standing Administration,age_1_traditions,2,statecraft,han_east_asian,han_east_asian,standard,global_monthly_control,global_monthly_control,country,percent,2,0.002,0.20%,100 reference units -> 100.20,0.001,0.003,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.3;P15;BHR;Bielenstein
