tag,name,profiles,principate,high_empires,crisis,dominate,federate_age,migrations,visible_total,target_total,gap,status
ABN,Ahar-Banas Highland,indic;law_indic,37,41,41,45,21,19,204,160,0,pass
ABW,American Bottom Woodland,american;law_transoceanic,32,36,36,32,21,16,173,160,0,pass
ACU,Acutuba Central-Amazon,american;law_transoceanic,32,36,36,32,21,16,173,160,0,pass
ADI,Adiabene,law_iranian;near_eastern,32,36,36,36,14,21,175,160,0,expansion_required
AES,Aestii,baltic;law_northern,33,37,37,37,19,19,182,160,0,pass
AGA,Anga Janapada,indic;law_indic,37,41,41,45,21,19,204,160,0,pass
AGR,Agraeans,law_arabian;near_eastern,32,36,36,36,14,21,175,160,0,expansion_required
AGS,Agusan River,law_eastern;oceanian,32,36,32,32,21,18,171,160,0,pass
AIR,Air Massif,law_african;subsaharan,38,42,50,42,24,19,215,160,0,pass
AKF,Akan Forest,law_african;subsaharan,38,42,50,42,24,19,215,160,0,pass
AKL,Forest-Steppe Altai Kulay,law_steppe;uralic,33,37,37,37,19,19,182,160,0,pass
AKS,Aksum,law_african;nile_north_african,41,46,45,46,22,24,224,160,0,pass
ALA,Alans,iranian;law_hellenistic,42,46,46,42,19,24,219,160,0,pass
ALC,Caucasian Albania,law_iranian;near_eastern,32,36,36,36,14,21,175,160,0,expansion_required
ALT,Altai Xiongnu-Contact Horizon,inner_asian_steppe;law_steppe,38,42,42,46,26,21,215,160,0,pass
AMB,Ambari Horizon,indic;law_indic,37,41,41,45,21,19,204,160,0,pass
ANG,Angles,germanic;law_germanic,32,32,36,36,25,16,177,160,0,pass
ANR,Anarta-Sarasvati Settlement Networks,indic;law_indic,37,41,41,45,21,19,204,160,0,pass
ANU,Anuradhapura,indic;law_indic,37,41,41,45,21,19,204,160,0,pass
AOR,Aorsi,iranian;law_hellenistic,42,46,46,42,19,24,219,160,0,pass
ARI,Aria,iranian;law_steppe,42,46,46,42,19,24,219,160,0,pass
ARJ,Arjunayana,indic;law_indic,37,41,41,45,21,19,204,160,0,pass
ARK,Arakan Littoral Networks,law_eastern;oceanian,32,36,32,32,21,18,171,160,0,pass
ARM,Kingdom of Armenia,law_iranian;near_eastern,38,36,42,36,20,21,193,160,0,pass
ARO,Aromata Emporion,law_african;subsaharan,38,42,50,42,24,19,215,160,0,pass
ATB,Atrebates,celtic;law_celtic,33,41,37,41,26,16,194,160,0,pass
ATC,Atico-Caraveli Valley,american;law_transoceanic,32,36,36,32,21,16,173,160,0,pass
ATR,Media Atropatene,iranian;law_iranian,42,46,46,42,19,24,219,160,0,pass
ATY,Atiyaman of Tagadur,indic;law_indic,37,41,41,45,21,19,204,160,0,pass
AUD,Audumbara,indic;law_indic,37,41,41,45,21,19,204,160,0,pass
AUT,Autini,celtic;law_celtic,33,41,37,41,26,16,194,160,0,pass
AVA,Avalites,law_african;subsaharan,38,42,50,42,24,19,215,160,0,pass
AVN,Aviones,germanic;law_germanic,32,32,36,36,25,16,177,160,0,pass
AYM,Ayodhya Mitra Kingdom,indic;law_indic,37,41,41,45,21,19,204,160,0,pass
AZA,Northern Azania,law_african;subsaharan,38,42,50,42,24,19,215,160,0,pass
BAR,Guban Pastoralists,law_african;subsaharan,38,42,50,42,24,19,215,160,0,pass
BAS,Bastarnae,law_northern;roman_italic,44,41,44,41,29,16,215,160,0,pass
BAT,Herodian Batanea,law_hellenistic;near_eastern,35,36,39,36,17,21,184,160,0,pass
BCH,Bauchi Plateau,law_african;subsaharan,38,42,50,42,24,19,215,160,0,pass
BCP,Bicol Peninsula Metal-Age,law_eastern;oceanian,32,36,32,32,21,18,171,160,0,pass
BED,Chaulotaeans,law_arabian;near_eastern,32,36,36,36,14,21,175,160,0,expansion_required
BEJ,Beja,law_african;nile_north_african,38,46,42,46,19,24,215,160,0,pass
BER,Gaetuli,law_african;nile_north_african,38,46,42,46,19,24,215,160,0,pass
BGL,Son-Vindhya Iron-Age Networks,indic;law_indic,37,41,41,45,21,19,204,160,0,pass
BGT,Banggai-Tomini Maritime,law_eastern;oceanian,32,36,32,32,21,18,171,160,0,pass
BGU,Bungku-Kendari Coast,law_eastern;oceanian,32,36,32,32,21,18,171,160,0,pass
BJC,Chupicuaro-Bajio,american;law_transoceanic,32,36,36,32,21,16,173,160,0,pass
BLF,Beloe-Mologa Late Dyakovo Horizon,law_northern;uralic,33,37,37,37,19,19,182,160,0,pass
BLG,Belgae,celtic;law_celtic,33,41,37,41,26,16,194,160,0,pass
BLM,Blemmyes,law_african;nile_north_african,38,46,42,46,19,24,215,160,0,pass
BLR,Upper Dnieper-Dvina Culture,law_northern;slavic_eastern,33,37,37,37,14,24,182,160,0,expansion_required
BNC,Bone-Cenrana Coastal,law_eastern;oceanian,32,36,32,32,21,18,171,160,0,pass
BNT,Ngovo Horizon,law_african;subsaharan,38,42,50,42,24,19,215,160,0,pass
BOS,Bosporan Kingdom,iranian;law_hellenistic,42,46,46,42,19,24,219,160,0,pass
BPC,Brushed Pottery Culture,baltic;law_northern,33,37,37,37,19,19,182,160,0,pass
BPR,Banjar-Paser River-Coast Networks,law_eastern;oceanian,32,36,32,32,21,18,171,160,0,pass
BRC,Bructeri,germanic;law_germanic,32,32,36,36,25,16,177,160,0,pass
BRG,Burgundiones,germanic;law_germanic,32,32,36,36,25,16,177,160,0,pass
BRI,Brigantes,celtic;law_celtic,33,41,37,41,26,16,194,160,0,pass
BRT,Cantiaci,celtic;law_celtic,33,41,37,41,26,16,194,160,0,pass
BSK,Basketmaker II,american;law_transoceanic,32,36,36,32,21,16,173,160,0,pass
BSR,Bastar Megalithic Networks,indic;law_indic,37,41,41,45,21,19,204,160,0,pass
BSW,Bosumtwi Forest,law_african;subsaharan,38,42,50,42,24,19,215,160,0,pass
BTM,Buton-Muna Island,law_eastern;oceanian,32,36,32,32,21,18,171,160,0,pass
BTV,Batavi,germanic;law_germanic,35,32,39,36,28,16,186,160,0,pass
BUU,Buri,germanic;law_germanic,32,32,36,36,25,16,177,160,0,pass
BUY,Buyeo,han_east_asian;law_eastern,37,41,41,41,16,26,202,160,0,pass
BYE,Byeonhan,han_east_asian;law_eastern,37,41,41,41,16,26,202,160,0,pass
CAE,Caereni,celtic;law_celtic,33,41,37,41,26,16,194,160,0,pass
CAL,Caledoni,celtic;law_celtic,33,41,37,41,26,16,194,160,0,pass
CAP,Cappadocia,hellenic;law_hellenistic,35,36,39,36,17,21,184,160,0,pass
CAT,Catuvellauni,celtic;law_celtic,33,41,37,41,26,16,194,160,0,pass
CBA,Cusco Basin,american;law_transoceanic,32,36,36,32,21,16,173,160,0,pass
CBH,Cebu-Bohol Island,law_eastern;oceanian,32,36,32,32,21,18,171,160,0,pass
CCF,Central California Coast,american;law_transoceanic,32,36,36,32,21,16,173,160,0,pass
CCI,Cauci,celtic;law_celtic,33,41,37,41,26,16,194,160,0,pass
CED,Chedi Janapada,indic;law_indic,37,41,41,45,21,19,204,160,0,pass
CHA,Characene,iranian;law_iranian,45,46,49,42,22,24,228,160,0,pass
CHB,Chambal-Gird,indic;law_indic,37,41,41,45,21,19,204,160,0,pass
CHC,Chauci,germanic;law_germanic,32,32,36,36,25,16,177,160,0,pass
CHE,Chera,indic;law_indic,37,41,41,45,21,19,204,160,0,pass
CHG,Central Vietnamese Highland Networks,law_eastern;oceanian,32,36,32,32,21,18,171,160,0,pass
CHL,Chola,indic;law_indic,37,41,41,45,21,19,204,160,0,pass
CHT,Chatti,germanic;law_germanic,32,32,36,36,25,16,177,160,0,pass
CLC,Caulci,germanic;law_germanic,32,32,36,36,25,16,177,160,0,pass
CLZ,Colchis,law_iranian;near_eastern,32,36,36,36,14,21,175,160,0,expansion_required
CMB,Cimbri,germanic;law_germanic,32,32,36,36,25,16,177,160,0,pass
CMW,Mississippi Woodland,american;law_transoceanic,32,36,36,32,21,16,173,160,0,pass
CNA,Carnonacae,celtic;law_celtic,33,41,37,41,26,16,194,160,0,pass
CND,Coriondi,celtic;law_celtic,33,41,37,41,26,16,194,160,0,pass
CNP,Chota Nagpur Megalithic Networks,indic;law_indic,37,41,41,45,21,19,204,160,0,pass
CNV,Cornovii,celtic;law_celtic,33,41,37,41,26,16,194,160,0,pass
COL,Colima-Coahuayana,american;law_transoceanic,32,36,36,32,21,16,173,160,0,pass
COM,Commagene,law_hellenistic;near_eastern,32,36,36,36,14,21,175,160,0,expansion_required
COR,Corieltauvi,celtic;law_celtic,33,41,37,41,26,16,194,160,0,pass
CPH,Chiapas Highland-Lowland Networks,american;law_transoceanic,32,36,36,32,21,16,173,160,0,pass
CPS,Campsiani,germanic;law_germanic,32,32,36,36,25,16,177,160,0,pass
CRE,Creones,celtic;law_celtic,33,41,37,41,26,16,194,160,0,pass
CRU,Cherusci,germanic;law_germanic,32,32,36,36,25,16,177,160,0,pass
CRV,Carvetii,celtic;law_celtic,33,41,37,41,26,16,194,160,0,pass
CSB,Central-Southern Borneo River Networks,law_eastern;oceanian,32,36,32,32,21,18,171,160,0,pass
CTP,Changtang Pastoral Networks,indic;law_steppe,37,41,41,45,21,19,204,160,0,pass
CTU,Chattuarii,germanic;law_germanic,32,32,36,36,25,16,177,160,0,pass
CUI,Cuicuilco,american;law_transoceanic,32,36,36,32,21,16,173,160,0,pass
CXR,Central Luzon River,law_eastern;oceanian,32,36,32,32,21,18,171,160,0,pass
DAC,Dacian Kingdoms,law_northern;roman_italic,47,41,47,41,32,16,224,160,0,pass
DAM,Damnonii,celtic;law_celtic,33,41,37,41,26,16,194,160,0,pass
DAR,Darini,celtic;law_celtic,33,41,37,41,26,16,194,160,0,pass
DAY,Dayuan,iranian;law_steppe,42,46,46,42,19,24,219,160,0,pass
DCT,Decantae,celtic;law_celtic,33,41,37,41,26,16,194,160,0,pass
DDV,Doyang-Dhansiri Valley,indic;law_indic,37,41,41,45,21,19,204,160,0,pass
DEC,Deceangli,celtic;law_celtic,33,41,37,41,26,16,194,160,0,pass
DEM,Demetae,celtic;law_celtic,33,41,37,41,26,16,194,160,0,pass
DGU,Daga Highland,law_transoceanic;oceanian,32,36,32,32,21,18,171,160,0,pass
DJN,Djenne-Djenno,law_african;subsaharan,38,42,50,42,24,19,215,160,0,pass
DKS,Dakshina Kosala,indic;law_indic,37,41,41,45,21,19,204,160,0,pass
DNG,Dingling,inner_asian_steppe;law_steppe,38,42,42,46,26,21,215,160,0,pass
DNH,Danhuan,iranian;law_steppe,42,46,46,42,19,24,219,160,0,pass
DNP,Desna Zarubintsy,law_northern;slavic_eastern,33,37,37,37,14,24,182,160,0,expansion_required
DOB,Dobunni,celtic;law_celtic,33,41,37,41,26,16,194,160,0,pass
DOR,Dorset,american;law_transoceanic,32,36,36,32,21,16,173,160,0,pass
DRC,Drichu Highland Network,indic;law_steppe,37,41,41,45,21,19,204,160,0,pass
DUM,Dumnonii,celtic;law_celtic,33,41,37,41,26,16,194,160,0,pass
DUR,Durotriges,celtic;law_celtic,33,41,37,41,26,16,194,160,0,pass
EBL,Eblani,celtic;law_celtic,33,41,37,41,26,16,194,160,0,pass
EHW,Eastern Honshu,han_east_asian;law_eastern,37,41,41,41,16,26,202,160,0,pass
ELY,Elymais,iranian;law_iranian,42,46,46,42,19,24,219,160,0,pass
EME,Emesa,law_hellenistic;near_eastern,32,36,36,36,14,21,175,160,0,expansion_required
EMR,Early Mariana Island,law_transoceanic;oceanian,32,36,32,32,21,18,171,160,0,pass
EPC,Eastern Plateau Corridor Network,indic;law_steppe,37,41,41,45,21,19,204,160,0,pass
EPD,Epidii,celtic;law_celtic,33,41,37,41,26,16,194,160,0,pass
EPI,Epi-Olmec,american;law_transoceanic,32,36,36,32,21,16,173,160,0,pass
ERD,Erdini,celtic;law_celtic,33,41,37,41,26,16,194,160,0,pass
ETG,Early Tarand-Grave Horizon,baltic;law_northern,33,37,37,37,19,19,182,160,0,pass
EUD,Eudoses,germanic;law_germanic,32,32,36,36,25,16,177,160,0,pass
FIN,Fenni,law_northern;uralic,33,37,37,37,19,19,182,160,0,pass
FJS,Further Jushi,iranian;law_steppe,42,46,46,42,19,24,219,160,0,pass
FLP,Finger Lakes Peninsula,american;law_transoceanic,32,36,36,32,21,16,173,160,0,pass
FRI,Frisii,germanic;law_germanic,32,32,36,36,25,16,177,160,0,pass
GAL,Herodian Galilee-Peraea,law_hellenistic;near_eastern,35,36,39,36,17,21,184,160,0,pass
GAN,Gangani,celtic;law_celtic,33,41,37,41,26,16,194,160,0,pass
GAR,Garamantes,law_african;nile_north_african,38,46,42,46,19,24,215,160,0,pass
GER,Angrivarii,germanic;law_germanic,32,32,36,36,25,16,177,160,0,pass
GET,Getae,law_northern;roman_italic,41,41,41,41,26,16,206,160,0,pass
