key,installed_file,mod_status
feudalism,age_1_traditions_institutions.txt,removed_from_database
legalism,age_1_traditions_institutions.txt,removed_from_database
meritocracy,age_1_traditions_institutions.txt,removed_from_database
renaissance,age_2_renaissance_institutions.txt,removed_from_database
banking,age_2_renaissance_institutions.txt,removed_from_database
professional_armies,age_2_renaissance_institutions.txt,removed_from_database
new_world,age_3_discovery_institutions.txt,removed_from_database
printing_press,age_3_discovery_institutions.txt,removed_from_database
pike_and_shot,age_3_discovery_institutions.txt,removed_from_database
confessionalism,age_4_reformation_institutions.txt,removed_from_database
global_trade,age_4_reformation_institutions.txt,removed_from_database
artillery_institution,age_4_reformation_institutions.txt,removed_from_database
manufactories,age_5_absolutism_institutions.txt,removed_from_database
scientific_revolution,age_5_absolutism_institutions.txt,removed_from_database
military_revolution,age_5_absolutism_institutions.txt,removed_from_database
enlightenment,age_6_revolutions_institutions.txt,removed_from_database
industrialization,age_6_revolutions_institutions.txt,removed_from_database
levee_en_masse,age_6_revolutions_institutions.txt,removed_from_database
