key,name,age,earliest,birthplace,start_active,eligibility_profile,eligibility_summary,ordinary_trade_spread,source
"antq_hellenism","Hellenism","age_1_traditions","1.1.1","athens","yes","mediterranean_letters","Mediterranean civic and learned networks","yes","P14.3;CAH-XI"
"antq_roman_law_engineering","Roman Law and Engineering","age_1_traditions","1.1.1","rome","yes","roman_imperial_practice","Roman and provincial societies inside the historical imperial sphere","yes","P14.3;OCD;CAH-XI"
"antq_han_bureaucratic_statecraft","Han Bureaucratic Statecraft","age_1_traditions","1.1.1","jingzhao","yes","east_asian_administration","Sinitic, Korean, and adjacent East Asian administrative contexts","no","P14.3;BHR;Bielenstein"
"antq_buddhist_monasticism","Buddhist Monasticism","age_1_traditions","1.1.1","anuradhapura","yes","buddhist_networks","Buddhist communities across South, Central, and East Asian corridors","yes","P14.3;CAH-XI"
"antq_indic_inscriptional_statecraft","Indic Inscriptional Statecraft","age_1_traditions","1.1.1","patna","yes","indic_inscriptional","Indic inscriptional, court, and monastic knowledge networks","yes","P8.4;P14.3;CAH-XI"
"antq_monsoon_sea_networks","Monsoon Navigation","age_1_traditions","1.1.1","kodungallur","yes","monsoon_maritime","Indian Ocean and Austronesian seasonal maritime corridors","yes","P8.4;P8.9;P14.3;PER"
"antq_cataphract_warfare","Cataphract Warfare","age_2_renaissance","96.1.1","merv","no","iranian_steppe_cavalry","Iranian, steppe, Caucasian, and eastern Roman military corridors","no","P14.3;CAH-XI"
"antq_papermaking","Papermaking","age_2_renaissance","105.1.1","luoyang","no","east_central_asian_paper","East and Central Asian craft-transfer corridors","yes","P14.3;BHR"
"antq_roman_juristic_science","Roman Juristic Science","age_2_renaissance","130.1.1","rome","no","roman_imperial_practice","Roman and provincial societies inside the historical imperial sphere","yes","P8.1;P15;OCD;CAH-XI"
"antq_red_sea_oceanic_exchange","Red Sea Oceanic Exchange","age_2_renaissance","100.1.1","axum","no","red_sea_exchange","Nile, Horn, Arabian, and western Indian Ocean exchange societies","yes","P8.5;P14.3;PER;CAH-XI"
