tag,name,tier,kind,age,age_years,visible_cards,visible_total_points,visible_mean_points,visible_min_points,visible_max_points,opening_eligible_cards,opening_eligible_min_points,opening_eligible_max_points,status
ABN,Ahar-Banas Highland,3,sop,age_1_traditions,95,37,3737.50,101.01,75.00,125.00,15,87.50,125.00,pass
ABN,Ahar-Banas Highland,3,sop,age_2_renaissance,96,41,6387.50,155.79,125.00,175.00,0,,,pass
ABN,Ahar-Banas Highland,3,sop,age_3_discovery,92,41,8425.00,205.49,175.00,225.00,0,,,pass
ABN,Ahar-Banas Highland,3,sop,age_4_reformation,92,45,11475.00,255.00,225.00,275.00,0,,,pass
ABN,Ahar-Banas Highland,3,sop,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
ABN,Ahar-Banas Highland,3,sop,age_6_revolutions,82,19,6787.50,357.24,325.00,375.00,0,,,pass
ABW,American Bottom Woodland,3,sop,age_1_traditions,95,32,3200.00,100.00,75.00,125.00,14,87.50,125.00,pass
ABW,American Bottom Woodland,3,sop,age_2_renaissance,96,36,5600.00,155.56,125.00,175.00,0,,,pass
ABW,American Bottom Woodland,3,sop,age_3_discovery,92,36,7387.50,205.21,175.00,225.00,0,,,pass
ABW,American Bottom Woodland,3,sop,age_4_reformation,92,32,8212.50,256.64,225.00,275.00,0,,,pass
ABW,American Bottom Woodland,3,sop,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
ABW,American Bottom Woodland,3,sop,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
ACU,Acutuba Central-Amazon,3,sop,age_1_traditions,95,32,3200.00,100.00,75.00,125.00,14,87.50,125.00,pass
ACU,Acutuba Central-Amazon,3,sop,age_2_renaissance,96,36,5600.00,155.56,125.00,175.00,0,,,pass
ACU,Acutuba Central-Amazon,3,sop,age_3_discovery,92,36,7387.50,205.21,175.00,225.00,0,,,pass
ACU,Acutuba Central-Amazon,3,sop,age_4_reformation,92,32,8212.50,256.64,225.00,275.00,0,,,pass
ACU,Acutuba Central-Amazon,3,sop,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
ACU,Acutuba Central-Amazon,3,sop,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
ADI,Adiabene,1,subject,age_1_traditions,95,32,3187.50,99.61,75.00,125.00,13,112.50,125.00,pass
ADI,Adiabene,1,subject,age_2_renaissance,96,36,5587.50,155.21,125.00,175.00,0,,,pass
ADI,Adiabene,1,subject,age_3_discovery,92,36,7400.00,205.56,175.00,225.00,0,,,pass
ADI,Adiabene,1,subject,age_4_reformation,92,36,9187.50,255.21,225.00,275.00,0,,,pass
ADI,Adiabene,1,subject,age_5_absolutism,19,14,4300.00,307.14,275.00,325.00,0,,,pass
ADI,Adiabene,1,subject,age_6_revolutions,82,21,7475.00,355.95,325.00,375.00,0,,,pass
AES,Aestii,1,sop,age_1_traditions,95,33,3350.00,101.52,75.00,125.00,13,87.50,125.00,pass
AES,Aestii,1,sop,age_2_renaissance,96,37,5800.00,156.76,125.00,175.00,0,,,pass
AES,Aestii,1,sop,age_3_discovery,92,37,7650.00,206.76,175.00,225.00,0,,,pass
AES,Aestii,1,sop,age_4_reformation,92,37,9500.00,256.76,225.00,275.00,0,,,pass
AES,Aestii,1,sop,age_5_absolutism,19,19,5837.50,307.24,275.00,325.00,0,,,pass
AES,Aestii,1,sop,age_6_revolutions,82,19,6787.50,357.24,325.00,375.00,0,,,pass
