tag,name,tier,kind,culture,culture_group,technology_level,owned_age_i,eligible_count,eligible_keys,status
ROM,Roman Empire,1,country,antq_latin,antq_italic_group,3,89,6,antq_imperial_archives;antq_legionary_logistics;antq_river_port_dues;antq_collegia_distribution_halls;antq_juristic_responsa;antq_legionary_commentarii,pass
JUD,Herodian Judea,1,subject,antq_judean,antq_semitic_group,3,89,2,antq_caravan_diaspora_quarters;antq_civic_cult_associations,pass
GAL,Herodian Galilee-Peraea,1,subject,antq_judean,antq_semitic_group,3,89,2,antq_caravan_diaspora_quarters;antq_civic_cult_associations,pass
BAT,Herodian Batanea,1,subject,antq_judean,antq_semitic_group,3,89,2,antq_caravan_diaspora_quarters;antq_civic_cult_associations,pass
NAB,Nabataea,1,subject,antq_nabataean_arab,antq_semitic_group,3,89,2,antq_caravan_diaspora_quarters;antq_civic_cult_associations,pass
CAP,Cappadocia,1,subject,antq_greek_koine,antq_hellenic_group,3,89,2,antq_geometric_commentary_schools;antq_medical_case_histories,pass
COM,Commagene,1,subject,antq_aramaic,antq_semitic_group,3,89,2,antq_caravan_diaspora_quarters;antq_civic_cult_associations,pass
EME,Emesa,1,subject,antq_aramaic,antq_semitic_group,3,89,2,antq_caravan_diaspora_quarters;antq_civic_cult_associations,pass
THR,Odrysian Thrace,1,subject,antq_greek_koine,antq_hellenic_group,3,89,2,antq_geometric_commentary_schools;antq_medical_case_histories,pass
BOS,Bosporan Kingdom,1,subject,antq_sarmatian,antq_iranian_group,3,89,3,antq_scale_armour_workshops;antq_armoured_retinue_drill;antq_scholarly_correspondence,pass
MAU,Mauretania,1,subject,antq_berber,antq_berber_group,3,89,4,antq_oasis_tribute_stations;antq_nile_caravan_adjudication;antq_red_sea_entrepots;antq_sahel_iron_exchange,pass
PAR,Parthian Empire,1,country,antq_parthian,antq_iranian_group,3,89,3,antq_scale_armour_workshops;antq_armoured_retinue_drill;antq_scholarly_correspondence,pass
CHA,Characene,1,subject,antq_parthian,antq_iranian_group,3,89,3,antq_scale_armour_workshops;antq_armoured_retinue_drill;antq_scholarly_correspondence,pass
ELY,Elymais,1,subject,antq_persian,antq_iranian_group,3,89,3,antq_scale_armour_workshops;antq_armoured_retinue_drill;antq_scholarly_correspondence,pass
PRS,Persis,1,subject,antq_persian,antq_iranian_group,3,89,3,antq_scale_armour_workshops;antq_armoured_retinue_drill;antq_scholarly_correspondence,pass
ATR,Media Atropatene,1,subject,antq_median,antq_iranian_group,3,89,3,antq_scale_armour_workshops;antq_armoured_retinue_drill;antq_scholarly_correspondence,pass
ADI,Adiabene,1,subject,antq_aramaic,antq_semitic_group,3,89,2,antq_caravan_diaspora_quarters;antq_civic_cult_associations,pass
OSR,Osroene,1,subject,antq_syriac,antq_semitic_group,3,89,2,antq_caravan_diaspora_quarters;antq_civic_cult_associations,pass
GOR,Gordyene,1,subject,antq_aramaic,antq_semitic_group,3,89,2,antq_caravan_diaspora_quarters;antq_civic_cult_associations,pass
SKT,Sakastan,1,subject,antq_saka,antq_iranian_group,3,89,3,antq_scale_armour_workshops;antq_armoured_retinue_drill;antq_scholarly_correspondence,pass
MRG,Margiana,1,subject,antq_sogdian,antq_iranian_group,3,89,3,antq_scale_armour_workshops;antq_armoured_retinue_drill;antq_scholarly_correspondence,pass
ARM,Kingdom of Armenia,1,country,antq_armenian,antq_caucasian_group,3,89,2,antq_caravan_diaspora_quarters;antq_civic_cult_associations,pass
IBR,Caucasian Iberia,1,country,antq_kartvelian,antq_caucasian_group,3,89,2,antq_caravan_diaspora_quarters;antq_civic_cult_associations,pass
CLZ,Colchis,2,country,antq_colchian,antq_caucasian_group,3,89,2,antq_caravan_diaspora_quarters;antq_civic_cult_associations,pass
ALC,Caucasian Albania,2,country,antq_caucasian_albanian,antq_caucasian_group,3,89,2,antq_caravan_diaspora_quarters;antq_civic_cult_associations,pass
HAN,Western Han,1,country,antq_han,antq_sinitic_group,3,89,4,antq_relay_market_stations;antq_salt_iron_bureau_exchange;antq_calendrical_offices;antq_hydraulic_administration_manuals,pass
XIO,Xiongnu Confederation,1,country,antq_xiongnu,antq_steppe_group,3,89,3,antq_scale_armour_workshops;antq_armoured_retinue_drill;antq_scholarly_correspondence,pass
KHT,Khotan,1,subject,antq_bactrian,antq_iranian_group,3,89,3,antq_scale_armour_workshops;antq_armoured_retinue_drill;antq_scholarly_correspondence,pass
KUC,Kucha,1,subject,antq_bactrian,antq_iranian_group,3,89,3,antq_scale_armour_workshops;antq_armoured_retinue_drill;antq_scholarly_correspondence,pass
KAS,Kashgar,1,subject,antq_bactrian,antq_iranian_group,3,89,3,antq_scale_armour_workshops;antq_armoured_retinue_drill;antq_scholarly_correspondence,pass
LOU,Loulan,1,subject,antq_bactrian,antq_iranian_group,3,89,3,antq_scale_armour_workshops;antq_armoured_retinue_drill;antq_scholarly_correspondence,pass
TUR,Turfan,1,subject,antq_bactrian,antq_iranian_group,3,89,3,antq_scale_armour_workshops;antq_armoured_retinue_drill;antq_scholarly_correspondence,pass
GOG,Goguryeo,1,country,antq_korean,antq_korean_group,3,89,4,antq_relay_market_stations;antq_salt_iron_bureau_exchange;antq_calendrical_offices;antq_hydraulic_administration_manuals,pass
BUY,Buyeo,2,country,antq_korean,antq_korean_group,3,89,4,antq_relay_market_stations;antq_salt_iron_bureau_exchange;antq_calendrical_offices;antq_hydraulic_administration_manuals,pass
MAH,Mahan,2,sop,antq_samhan,antq_korean_group,1,10,4,antq_legal_petitions;antq_municipal_charters;antq_bronze_cash_strings;antq_bamboo_slip_collation,pass
JIN,Jinhan,2,sop,antq_samhan,antq_korean_group,1,10,4,antq_legal_petitions;antq_municipal_charters;antq_bronze_cash_strings;antq_bamboo_slip_collation,pass
BYE,Byeonhan,2,sop,antq_samhan,antq_korean_group,1,10,4,antq_legal_petitions;antq_municipal_charters;antq_bronze_cash_strings;antq_bamboo_slip_collation,pass
WAA,Wa Polities,2,sop,antq_wa,antq_japonic_group,1,10,4,antq_legal_petitions;antq_municipal_charters;antq_bronze_cash_strings;antq_bamboo_slip_collation,pass
SAT,Satavahana,2,country,antq_indo_aryan,antq_indian_group,3,89,5,antq_fortified_river_camps;antq_monsoon_campaign_stores;antq_seasonal_markets;antq_ayurvedic_compendia;antq_astronomical_reckoning,pass
ISK,Indo-Scythian Realm,2,country,antq_saka,antq_iranian_group,3,89,3,antq_scale_armour_workshops;antq_armoured_retinue_drill;antq_scholarly_correspondence,pass
IGR,Indo-Greek Rump,2,country,antq_greek_koine,antq_hellenic_group,3,89,2,antq_geometric_commentary_schools;antq_medical_case_histories,pass
YUE,Yuezhi Confederation,2,country,antq_bactrian,antq_iranian_group,3,89,3,antq_scale_armour_workshops;antq_armoured_retinue_drill;antq_scholarly_correspondence,pass
YDH,Yaudheya,2,country,antq_indo_aryan,antq_indian_group,3,89,5,antq_fortified_river_camps;antq_monsoon_campaign_stores;antq_seasonal_markets;antq_ayurvedic_compendia;antq_astronomical_reckoning,pass
ARJ,Arjunayana,2,country,antq_indo_aryan,antq_indian_group,3,89,5,antq_fortified_river_camps;antq_monsoon_campaign_stores;antq_seasonal_markets;antq_ayurvedic_compendia;antq_astronomical_reckoning,pass
KUN,Kuninda,2,country,antq_indo_aryan,antq_indian_group,3,89,5,antq_fortified_river_camps;antq_monsoon_campaign_stores;antq_seasonal_markets;antq_ayurvedic_compendia;antq_astronomical_reckoning,pass
KAL,Kalinga,2,country,antq_indo_aryan,antq_indian_group,3,89,5,antq_fortified_river_camps;antq_monsoon_campaign_stores;antq_seasonal_markets;antq_ayurvedic_compendia;antq_astronomical_reckoning,pass
CHE,Chera,2,country,antq_tamil,antq_indian_group,3,89,5,antq_fortified_river_camps;antq_monsoon_campaign_stores;antq_seasonal_markets;antq_ayurvedic_compendia;antq_astronomical_reckoning,pass
CHL,Chola,2,country,antq_tamil,antq_indian_group,3,89,5,antq_fortified_river_camps;antq_monsoon_campaign_stores;antq_seasonal_markets;antq_ayurvedic_compendia;antq_astronomical_reckoning,pass
PND,Pandya Kingdom,2,country,antq_tamil,antq_indian_group,3,89,5,antq_fortified_river_camps;antq_monsoon_campaign_stores;antq_seasonal_markets;antq_ayurvedic_compendia;antq_astronomical_reckoning,pass
ANU,Anuradhapura,2,country,antq_indo_aryan,antq_indian_group,3,89,5,antq_fortified_river_camps;antq_monsoon_campaign_stores;antq_seasonal_markets;antq_ayurvedic_compendia;antq_astronomical_reckoning,pass
KUS,Kush,2,country,antq_nubian,antq_nile_group,3,89,4,antq_oasis_tribute_stations;antq_nile_caravan_adjudication;antq_red_sea_entrepots;antq_sahel_iron_exchange,pass
AKS,Aksum,2,country,antq_nubian,antq_nile_group,3,89,4,antq_oasis_tribute_stations;antq_nile_caravan_adjudication;antq_red_sea_entrepots;antq_sahel_iron_exchange,pass
GAR,Garamantes,2,country,antq_berber,antq_berber_group,3,89,4,antq_oasis_tribute_stations;antq_nile_caravan_adjudication;antq_red_sea_entrepots;antq_sahel_iron_exchange,pass
BLM,Blemmyes,2,sop,antq_blemmyan,antq_nile_group,1,10,2,antq_meroitic_temple_stewardship;antq_garamantian_oasis_stages,pass
BEJ,Beja,2,sop,antq_nubian,antq_nile_group,1,10,2,antq_meroitic_temple_stewardship;antq_garamantian_oasis_stages,pass
DJN,Djenne-Djenno,2,sop,antq_middle_niger,antq_subsaharan_group,1,10,2,antq_meroitic_temple_stewardship;antq_garamantian_oasis_stages,pass
WAF,West African Iron-Age Societies,3,sop,antq_mande,antq_subsaharan_group,1,10,2,antq_meroitic_temple_stewardship;antq_garamantian_oasis_stages,pass
BNT,Ngovo Horizon,3,sop,antq_ngovo,antq_subsaharan_group,1,10,2,antq_meroitic_temple_stewardship;antq_garamantian_oasis_stages,pass
URW,Urewe Horizon,3,sop,antq_urewe,antq_subsaharan_group,1,10,2,antq_meroitic_temple_stewardship;antq_garamantian_oasis_stages,pass
KWL,Kwale Horizon,3,sop,antq_kwale,antq_subsaharan_group,1,10,2,antq_meroitic_temple_stewardship;antq_garamantian_oasis_stages,pass
RUV,Ruvuma-Lurio Frontier,3,sop,antq_ruvuma_lurio,antq_subsaharan_group,1,10,2,antq_meroitic_temple_stewardship;antq_garamantian_oasis_stages,pass
LMP,Limpopo Hunter-Herder Networks,3,sop,antq_limpopo_hunter_herder,antq_subsaharan_group,1,10,2,antq_meroitic_temple_stewardship;antq_garamantian_oasis_stages,pass
ZHF,Zambezi Hunter-Herder Networks,3,sop,antq_zambezi_forager,antq_subsaharan_group,1,10,2,antq_meroitic_temple_stewardship;antq_garamantian_oasis_stages,pass
WDP,Wadai Plateau Communities,3,sop,antq_wadai_plateau,antq_subsaharan_group,1,10,2,antq_meroitic_temple_stewardship;antq_garamantian_oasis_stages,pass
BCH,Bauchi Plateau Communities,3,sop,antq_post_nok,antq_subsaharan_group,1,10,2,antq_meroitic_temple_stewardship;antq_garamantian_oasis_stages,pass
BAR,Guban Pastoralists,3,sop,antq_northern_horn_coastal,antq_subsaharan_group,1,10,2,antq_meroitic_temple_stewardship;antq_garamantian_oasis_stages,pass
AVA,Avalites,2,sop,antq_northern_horn_coastal,antq_subsaharan_group,1,10,2,antq_meroitic_temple_stewardship;antq_garamantian_oasis_stages,pass
MLA,Malao,2,sop,antq_northern_horn_coastal,antq_subsaharan_group,1,10,2,antq_meroitic_temple_stewardship;antq_garamantian_oasis_stages,pass
MUN,Mundu,2,sop,antq_northern_horn_coastal,antq_subsaharan_group,1,10,2,antq_meroitic_temple_stewardship;antq_garamantian_oasis_stages,pass
MOS,Mosyllon,2,sop,antq_northern_horn_coastal,antq_subsaharan_group,1,10,2,antq_meroitic_temple_stewardship;antq_garamantian_oasis_stages,pass
ARO,Aromata Emporion,2,sop,antq_northern_horn_coastal,antq_subsaharan_group,1,10,2,antq_meroitic_temple_stewardship;antq_garamantian_oasis_stages,pass
OPO,Opone,2,sop,antq_northern_horn_coastal,antq_subsaharan_group,1,10,2,antq_meroitic_temple_stewardship;antq_garamantian_oasis_stages,pass
HAU,Haud Pastoralists,3,sop,antq_horn_pastoral,antq_subsaharan_group,1,10,2,antq_meroitic_temple_stewardship;antq_garamantian_oasis_stages,pass
AZA,Northern Azania,3,sop,antq_northern_azanian,antq_subsaharan_group,1,10,2,antq_meroitic_temple_stewardship;antq_garamantian_oasis_stages,pass
SAB,Saba,2,country,antq_south_arabian,antq_semitic_group,3,89,2,antq_caravan_diaspora_quarters;antq_civic_cult_associations,pass
HIM,Himyar,2,country,antq_south_arabian,antq_semitic_group,3,89,2,antq_caravan_diaspora_quarters;antq_civic_cult_associations,pass
QAT,Qataban,2,country,antq_south_arabian,antq_semitic_group,3,89,2,antq_caravan_diaspora_quarters;antq_civic_cult_associations,pass
HAD,Hadramawt,2,country,antq_south_arabian,antq_semitic_group,3,89,2,antq_caravan_diaspora_quarters;antq_civic_cult_associations,pass
KIN,Kindah,2,sop,antq_arab,antq_semitic_group,1,10,3,antq_port_customs;antq_desert_waystations;antq_temple_city_almonries,pass
THM,Thamud,2,sop,antq_arab,antq_semitic_group,1,10,3,antq_port_customs;antq_desert_waystations;antq_temple_city_almonries,pass
AGR,Agraeans,2,sop,antq_arab,antq_semitic_group,1,10,3,antq_port_customs;antq_desert_waystations;antq_temple_city_almonries,pass
GRH,Gerrha,2,country,antq_arab,antq_semitic_group,3,89,2,antq_caravan_diaspora_quarters;antq_civic_cult_associations,pass
QTR,Cataraei,2,sop,antq_arab,antq_semitic_group,1,10,3,antq_port_customs;antq_desert_waystations;antq_temple_city_almonries,pass
OMN,Omanitae,2,sop,antq_arab,antq_semitic_group,1,10,3,antq_port_customs;antq_desert_waystations;antq_temple_city_almonries,pass
MCM,Marcomanni,1,country,antq_germanic,antq_germanic_group,3,89,2,antq_wergild_arbitration;antq_fosterage_and_hostages,pass
CRU,Cherusci,1,country,antq_germanic,antq_germanic_group,3,89,2,antq_wergild_arbitration;antq_fosterage_and_hostages,pass
CHT,Chatti,1,country,antq_germanic,antq_germanic_group,3,89,2,antq_wergild_arbitration;antq_fosterage_and_hostages,pass
FRI,Frisii,1,country,antq_germanic,antq_germanic_group,3,89,2,antq_wergild_arbitration;antq_fosterage_and_hostages,pass
BTV,Batavi,1,subject,antq_germanic,antq_germanic_group,3,89,2,antq_wergild_arbitration;antq_fosterage_and_hostages,pass
LAN,Langobardi,1,country,antq_germanic,antq_germanic_group,3,89,2,antq_wergild_arbitration;antq_fosterage_and_hostages,pass
SEM,Semnones,1,country,antq_germanic,antq_germanic_group,3,89,2,antq_wergild_arbitration;antq_fosterage_and_hostages,pass
HER,Hermunduri,1,country,antq_germanic,antq_germanic_group,3,89,2,antq_wergild_arbitration;antq_fosterage_and_hostages,pass
QUA,Quadi,1,country,antq_germanic,antq_germanic_group,3,89,2,antq_wergild_arbitration;antq_fosterage_and_hostages,pass
GUT,Gutones,1,country,antq_gothic,antq_germanic_group,3,89,2,antq_wergild_arbitration;antq_fosterage_and_hostages,pass
VAN,Vandili,1,country,antq_vandalic,antq_germanic_group,3,89,2,antq_wergild_arbitration;antq_fosterage_and_hostages,pass
RUG,Rugii,1,country,antq_germanic,antq_germanic_group,3,89,2,antq_wergild_arbitration;antq_fosterage_and_hostages,pass
BRG,Burgundiones,1,country,antq_germanic,antq_germanic_group,3,89,2,antq_wergild_arbitration;antq_fosterage_and_hostages,pass
ANG,Angles,1,country,antq_germanic,antq_germanic_group,3,89,2,antq_wergild_arbitration;antq_fosterage_and_hostages,pass
SAX,Saxons,1,country,antq_germanic,antq_germanic_group,3,89,2,antq_wergild_arbitration;antq_fosterage_and_hostages,pass
JUT,Jutes,1,country,antq_germanic,antq_germanic_group,3,89,2,antq_wergild_arbitration;antq_fosterage_and_hostages,pass
SUI,Suiones,1,sop,antq_suionian,antq_germanic_group,1,10,3,antq_field_engineering;antq_frontier_patrols;antq_household_retinue_feasts,pass
AES,Aestii,1,sop,antq_aestian,antq_baltic_group,1,10,2,antq_amber_coast_assemblies;antq_amber_route_waystations,pass
WBB,West Balt Barrow Culture,2,sop,antq_west_balt_barrows,antq_baltic_group,1,10,2,antq_amber_coast_assemblies;antq_amber_route_waystations,pass
BPC,Brushed Pottery Culture,2,sop,antq_brushed_pottery_baltic,antq_baltic_group,1,10,2,antq_amber_coast_assemblies;antq_amber_route_waystations,pass
WSC,West Lithuanian Stone-Circle Culture,2,sop,antq_west_lithuanian_circle,antq_baltic_group,1,10,2,antq_amber_coast_assemblies;antq_amber_route_waystations,pass
ETG,Early Tarand-Grave Horizon,2,sop,antq_early_tarand,antq_baltic_group,1,10,2,antq_amber_coast_assemblies;antq_amber_route_waystations,pass
VEN,Venedi,1,sop,antq_venedi,antq_slavic_group,1,10,2,antq_forest_ambush_routes;antq_riverside_hamlet_cooperation,pass
FIN,Fenni,1,sop,antq_finnic_culture,antq_uralic_group,1,10,2,antq_seasonal_round_councils;antq_route_memory_specialists,pass
CAT,Catuvellauni,1,country,antq_catuvellaunian,antq_celtic_group,3,89,4,antq_tribute_feast_tallies;antq_clientage_oath_networks;antq_champion_retinues;antq_oppidum_supply_caches,pass
TRI,Trinovantes,1,country,antq_trinovantian,antq_celtic_group,3,89,4,antq_tribute_feast_tallies;antq_clientage_oath_networks;antq_champion_retinues;antq_oppidum_supply_caches,pass
ICE,Iceni,1,country,antq_icenian,antq_celtic_group,3,89,4,antq_tribute_feast_tallies;antq_clientage_oath_networks;antq_champion_retinues;antq_oppidum_supply_caches,pass
BRI,Brigantes,1,country,antq_brigantian,antq_celtic_group,3,89,4,antq_tribute_feast_tallies;antq_clientage_oath_networks;antq_champion_retinues;antq_oppidum_supply_caches,pass
ATB,Atrebates,1,country,antq_british_atrebatic,antq_celtic_group,3,89,4,antq_tribute_feast_tallies;antq_clientage_oath_networks;antq_champion_retinues;antq_oppidum_supply_caches,pass
SIL,Silures,1,country,antq_silurian,antq_celtic_group,3,89,4,antq_tribute_feast_tallies;antq_clientage_oath_networks;antq_champion_retinues;antq_oppidum_supply_caches,pass
ORD,Ordovices,1,country,antq_ordovician,antq_celtic_group,3,89,4,antq_tribute_feast_tallies;antq_clientage_oath_networks;antq_champion_retinues;antq_oppidum_supply_caches,pass
